Complexity,Loss,Equation
1,1.0,"4.448994e-5"
2,0.8677936,"sin(U)"
3,0.78412926,"U / 2.1521587"
7,0.7755416,"(U / 2.1680346) - (d * 0.08654821)"
8,0.4453483,"sin((-3.2599013 - k) * (3.2675767 + d))"
10,0.35566202,"sin(((-3.0062819 - k) * (d + 2.999822)) / 0.8519909)"
11,0.30763805,"sin((-3.2599013 - k) * (d + 3.2675767)) + sin(U)"
12,0.22651021,"(U * 0.46723792) + sin((-3.2599013 - k) * (d + 3.2675767))"
13,0.21861562,"sin((-3.0062819 - k) * ((d + 2.999822) / 0.8519909)) + sin(U)"
14,0.137268,"(U * 0.46723792) + sin(((d + 2.999822) / 0.8519909) * (-3.0062819 - k))"
16,0.12585399,"(U * 0.46708968) + (sin(((-3.0062819 - k) * (d + 2.999822)) / 0.8519909) * 1.1424506)"
18,0.029325394,"(((U + 2.5457344) * sin(((d + 3.0108335) * 1.1649942) * (-3.021742 - k))) + U) * 0.4648945"
20,0.027691588,"((U - -2.6150558) * ((sin(((-3.0031474 - k) * (d + 3.0003786)) * 1.1741222) * 0.43619865) + 0.4501037)) - 1.202367"
24,0.027100261,"(d * -0.03656924) + (((U - -2.7939787) * ((sin((-3.0036757 - k) * ((d + 3.0019352) * 1.1754508)) * 0.41819146) + 0.46174246)) - 1.323498)"
25,0.02497093,"((exp(-4.4666576 - d) + ((sin(((-3.0036757 - k) * 1.1754508) * (d + 3.0019352)) * 0.44363043) + 0.44363043)) * (U - -2.5884702)) - 1.2223223"
27,0.017940326,"(((exp(-4.7872005 - (d + k)) + 0.4400416) + (sin(((-3.0036757 - k) * (d + 3.0019352)) * 1.1754508) * 0.44363043)) * (U - -2.5884702)) - 1.2223223"
28,0.017937468,"(((0.44363043 * sin((-3.0036757 - k) * ((d + 3.0019352) * 1.1754508))) + (exp(-4.7872005 - (d + k)) + 0.4400416)) * (U - -2.5884702)) - exp(0.19664162)"
29,0.014580843,"((U - -2.4682996) * ((exp((-2.650443 - k) * (d + 2.8025322)) + (sin((d + 2.9731658) * ((-2.9862602 - k) * 1.1883218)) * 0.45943272)) + 0.44906804)) - 1.1844394"
31,0.014331384,"(((sin(((-2.9875643 - k) * 1.1882564) * (d + 2.9726944)) * 0.44630396) + (exp((-2.9532878 - (k * 1.25993)) * (d + 2.9486902)) + 0.44630396)) * (U - -2.5910625)) - 1.2240088"
33,0.0006206095,"((U - -2.6227992) * ((sin(((-2.9905543 - k) * (d + 2.9762697)) * 1.1951233) * 0.2472987) + ((sin((-2.2164364 - k) * ((d * 1.5103961) + 3.3512607)) * -0.20842949) + 0.45460564))) + -1.2340624"
35,0.00061843416,"((U - -2.6225827) * ((sin(((-2.9847867 - k) * 1.1960541) * (d + 2.9776056)) * 0.25454766) + (((sin(((d * 1.5125428) + 3.347716) * (-2.2176585 - k)) * -0.20051847) + 0.45024377) / 0.9934687))) + -1.2261144"
37,0.00027585716,"((U - -2.6157625) * (((sin((-3.0567553 - k) * ((d + 3.0508828) * 1.1367701)) + ((k * d) * (sin(((d * 1.2942711) + 3.4195516) * (-2.6522882 - k)) * -0.19703281))) * 0.45285878) + 0.45210913)) + -1.2251629"
38,0.0002519118,"((((sin((-3.0567553 - k) * ((d + 3.0508828) * 1.1367701)) + (sin((d * -0.20275967) * k) * sin((-2.6522882 - k) * ((d * 1.2942711) + 3.4195516)))) * 0.45329276) + 0.45197856) * (U - -2.6157458)) + -1.2242968"
