Complexity,Loss,Equation
1,0.9999998,"-9.130673e-5"
3,0.15186694,"x * -0.9208889"
5,0.14971718,"(0.0014103428 / y) - x"
6,0.12755235,"sin(0.08684614 / y) - x"
8,0.07769134,"(sin(y * -3.0439415) + -1.7511777) * x"
9,0.06424698,"x * (-0.45124143 - exp(sin(y * 3.0721736)))"
11,0.043683648,"x * ((-0.85463756 / ((y * -8.598745) - x)) + -0.7777775)"
12,0.032122537,"(sin(x) / (x - (-9.897135 * y))) - (x / 1.2286927)"
13,0.02766207,"x * (-0.39351654 - exp(sin((-0.4647186 / x) - (y * -3.1639686))))"
15,0.017157864,"(-0.6550699 - ((y * 0.27391258) + (1.5936258 / ((y * -6.3943334) - x)))) * x"
16,0.014251272,"(-0.6984698 - ((1.6753072 / ((-5.877703 * y) - x)) + (sin(y) * 0.45373932))) * x"
18,0.013550841,"x * ((-0.64438885 - (1.6773602 / ((y * -5.800041) - x))) - (sin(-0.18077077 - y) * -0.5272617))"
19,0.010621404,"(x - (y * 0.09035455)) * ((-2.4452775 - y) * ((0.5999124 / ((y * -6.1120515) - x)) + 0.31118643))"
21,0.010149001,"(x - (y * 0.08754008)) * (((0.5304052 / ((y * -5.9576917) - (x + 0.11261178))) + 0.294959) * (-2.5500383 - y))"
22,0.009905561,"(-0.74463964 - (0.2950323 * y)) * ((-0.07606146 * y) + (exp(1.7211456 / ((-5.611725 * y) - (x + -0.4871562))) * x))"
23,0.008381943,"(x * ((exp(sin(-1.0667379 / (x - (y * -4.486634)))) - exp(-0.94365346 - y)) - (exp(x) * 0.11587044))) * -1.3794888"
24,0.0073620845,"x * (((exp(sin(-1.276975 / (x - (y * -4.322338)))) - ((y * -0.35670102) + 0.51620764)) * -1.3583481) - (exp(x) * -0.27447984))"
25,0.0058793887,"(x * -1.233669) * ((exp(sin(-1.1607054 / (x - (y * -4.586821)))) + (sin(1.2394378 / x) * -0.16479832)) - exp(-0.87519217 - y))"
27,0.005052267,"(exp(sin(-1.101576 / (x - (y * -4.5325985)))) - (exp(-0.89826536 - y) + ((exp(x) * x) * 0.17700082))) * ((x * -1.3345197) + -0.0539001)"
28,0.004842888,"((0.050839245 + x) * ((exp(sin(-1.136047 / (x - (y * -4.6209555)))) - exp(-0.89796823 - y)) + (-0.24913108 * sin(x * exp(x))))) * -1.3011705"
29,0.004833323,"(exp(sin(-1.0890032 / (x - (y * -4.624228)))) + ((sin(x) * sin(exp(x) * -0.19983347)) - exp(-0.942235 - y))) * ((x + 0.04170784) * -1.3369308)"
30,0.0045234044,"((x * -1.4526633) + -0.08812058) * (((sin(x * exp(x)) * -0.26348892) + exp(sin(-1.0363331 / (x - (y * -4.506549))))) - exp((y * -0.7221591) + -0.6901545))"
31,0.0026066406,"(((exp(sin(-1.2553531 / (x - (y * -5.171392)))) - ((y * -0.2917304) + 0.47067308)) * -1.2135133) * x) - (((0.31806096 - sin(y * -5.0079346)) * exp(x)) * -0.37477523)"
33,0.0013207252,"(x * ((-1.6330854 * (exp(sin(-1.0503097 / (x - (y * -4.757221)))) - ((y * -0.29958388) + 0.62407416))) - (exp(x) * -0.3068654))) - (-0.23209387 * sin(x - (y * -4.7776756)))"
34,0.0013044119,"((((exp(sin(-1.0209465 / (x - (y * -4.7792735)))) - (sin(y * -0.29620165) + 0.6292138)) * -1.6760145) - (exp(x) * -0.29790613)) * x) - (sin(x - (y * -4.7934794)) * -0.22615711)"
35,0.0011591165,"((((exp(sin(-1.0209465 / (x - (y * -4.757221)))) - ((y * -0.28931153) + 0.62940025)) * -1.6760145) - (exp(x) * -0.29518995)) * x) - (sin((x + -0.10406372) - (y * -4.7776756)) * -0.22985922)"
36,0.0011489704,"(x * (((exp(sin(-1.0215381 / (x - (y * -4.757221)))) - ((y * -0.28943393) + 0.62940025)) * -1.6760145) - sin(exp(x) * -0.3130421))) - (sin((x - (y * -4.7792735)) + -0.11525533) * -0.23153475)"
37,0.001137232,"(x * (((exp(sin(-1.0209465 / (x - (y * -4.757221)))) - ((-0.28931153 * y) + 0.6292138)) * -1.6760145) - (exp(x) * -0.2955103))) - (sin(((1.0299481 * x) - (y * -4.7776756)) + -0.10540899) * -0.22729078)"
38,0.0011183383,"((((exp(sin(-1.0185505 / (x - (y * -4.7507243)))) - ((y * -0.2855819) + 0.627608)) * -1.6829803) - sin(exp(x) * -0.33349133)) * x) - (sin(((x + -0.06649924) * 1.0714358) - (y * -4.7836847)) * -0.2296856)"
39,0.0010247782,"(-0.05623232 + ((((exp(sin(-1.0316945 / (x - (y * -4.7362766)))) - ((y * -0.29535073) + 0.61295664)) * -1.6389302) - (exp(x) * -0.3130352)) * (x + -0.04028844))) - (-0.24074106 * sin(x - ((y + -0.042232208) * -4.7934794)))"
40,0.0009974863,"-0.05639155 + (((((exp(sin(-1.0275481 / (x - (-4.7362766 * y)))) - (0.6139999 + (y * -0.29398564))) * -1.6480001) - sin(-0.34526882 * exp(x))) * (x - 0.038770854)) - (-0.24559516 * sin(x - ((y + -0.04110264) * -4.7934794))))"
