Complexity,Loss,Equation
1,0.7935386,"q"
2,0.66495353,"sin(q)"
3,0.6361127,"q * 0.60322493"
5,0.49461177,"(q - d) * 0.50201905"
6,0.48811916,"(q - sin(d)) * 0.5751235"
7,0.3424889,"(q - (epsilon + d)) * 0.46728703"
8,0.2814661,"exp(q + ((-2.4635434 - d) - epsilon))"
9,0.22171028,"sqrt(exp((q - d) - epsilon)) + -1.4451115"
10,0.08051482,"exp((q - (d + epsilon)) * 0.41726953) + -1.2921346"
11,0.047260348,"sqrt(exp(q - epsilon) / (d - -1.9470825)) + -1.0728714"
12,0.037967775,"(exp((q - epsilon) * 0.66547024) / (d - -2.4543266)) + -0.7776927"
13,0.030496303,"(exp((d * -0.5781209) + sin(q)) / (epsilon - -2.4153202)) + -0.79245144"
14,0.028536057,"(exp(((q * 1.2626493) - epsilon) * 0.58773047) / (d - -2.4543266)) + -0.7836826"
15,0.0125393085,"((exp(sin(q)) / (d + 2.591574)) / (0.7926247 - (epsilon * -0.30307788))) + -0.92495763"
16,0.00862848,"((exp(q * 0.6531991) / (d - -2.6285224)) / (0.6974917 - (epsilon * -0.26213714))) + -0.96078587"
17,0.0063553047,"((exp(sin(q * 0.7901111)) / (d - -2.6517391)) / (0.66625595 - (epsilon * -0.24682477))) + -0.991932"
18,0.00023058182,"(((exp(q * 0.37155908) + -0.49925092) / (d - -2.5830073)) / (0.36374515 - (epsilon * -0.14021151))) + -0.8923617"
19,4.8727747e-5,"(((exp(sin(q * 0.4328335)) + -0.44873956) / (d - -2.5929427)) / (0.40189952 - (epsilon * -0.15509348))) + -0.8947571"
21,4.6960773e-5,"(((-0.44873956 + exp(sin(q * 0.4328335))) / (d - -2.5929427)) / (0.40189952 - (epsilon * (-0.11923752 * 1.2994049)))) + -0.8947571"
25,2.5237898e-5,"(((((exp(sin((q + -0.20857517) * 0.39426973)) + -0.4540414) / (d - -2.586176)) / (0.4190279 - (epsilon * -0.16187437))) - 1.1738582) / 0.81786835) + 0.5430436"
34,2.0057185e-5,"((((((exp(sin(q * 0.43188307)) + -0.4493403) / (d - -2.5985863)) / (0.47639468 - (epsilon * -0.18343893))) - 1.191491) / 0.8361815) + 0.5288037) - ((exp(q) * sin(1.2938806 - exp(q))) * -0.003226125)"
36,1.873476e-5,"(((d - exp(q)) * sin(1.1373824 - exp(q))) * -0.0029109328) + (0.5288037 + (((((exp(sin(q * 0.43188307)) + -0.4493403) / (d - -2.5985863)) / (0.47639468 - (epsilon * -0.18343893))) - 1.191491) / 0.8361815))"
37,1.3983584e-5,"(((((exp(sin(q * 0.43188307)) + -0.4493403) / (d - -2.5985863)) / (0.47639468 - (-0.18343893 * epsilon))) - 1.191491) / 0.8361815) + (0.5288037 - ((exp(q - sin(epsilon)) * -0.002910931) * sin(1.2687379 - exp(q))))"
38,1.2856737e-5,"((((((exp(sin(q * 0.43188307)) + -0.4493403) / (d - -2.5985863)) / (0.47639468 - (-0.18343893 * epsilon))) - 1.191491) / 0.8361815) + 0.5288037) - (sin(1.2687379 - exp(q)) * (exp(q - (0.6314398 * epsilon)) * -0.002910931))"
40,5.1139073e-6,"((((((exp(sin(q * 0.43188307)) + -0.4493403) / (d - -2.5985863)) / (0.47639468 - (epsilon * -0.18343893))) - 1.191491) / 0.8361815) - ((exp(q - (0.5204063 * (d + epsilon))) * -0.0029109328) * sin(1.2442764 - exp(q)))) + 0.5288037"
