Complexity,Loss,Equation
1,0.61366427,"mom"
2,0.5314976,"sin(mom)"
3,0.51951826,"mom * 0.693036"
4,0.40102255,"mom + sin(n_rho)"
5,0.26522067,"(n_rho + mom) * 0.6065669"
6,0.25635678,"(sin(n_rho) + mom) * 0.6940641"
7,0.24993172,"((n_rho / 1.3364648) + mom) * 0.69409937"
8,0.20339711,"sin(mom) + (n_rho / (2.5017505 - mom))"
9,0.19190934,"(mom / 1.4411829) + (n_rho / (2.5033438 - mom))"
10,0.18574359,"((n_rho / (1.7030869 - sin(mom))) + mom) * 0.69528306"
11,0.17928274,"(((B - T) * 0.34128055) + (n_rho + mom)) * 0.60739374"
12,0.14628726,"(((n_rho * (mom - -2.174365)) + B) / 4.1659474) + sin(mom)"
13,0.134542,"((((mom - -2.174365) * n_rho) + B) / 4.1659474) + (mom * 0.6933206)"
14,0.10856191,"((B + (((mom + 2.3194046) * n_rho) - T)) / 4.437772) + sin(mom)"
15,0.09695006,"((B + (((2.3194046 + mom) * n_rho) - T)) / 4.437772) + (mom * 0.69438565)"
16,0.069856144,"((((n_rho * (mom + 2.3681834)) + B) - (kb + T)) / 4.5445533) + sin(mom)"
17,0.05841195,"(mom / 1.4391202) + (((((mom + 2.364607) * n_rho) + B) - (T + kb)) / 4.5475397)"
19,0.05234778,"((((B - T) + (n_rho * (mom - -2.4911423))) - kb) / (5.414146 - mom)) + (mom * 0.694104)"
20,0.050578374,"(((B + (((2.4608073 + mom) * n_rho) - T)) - kb) / (5.095307 - sin(mom))) + (mom * 0.695204)"
21,0.049830336,"((((((B + (mom - -2.7635958)) * n_rho) - T) + B) - kb) / (B - -5.0618124)) + (mom * 0.6952068)"
22,0.048366725,"(mom * 0.69440365) + (((B + ((n_rho * (mom + (sin(B) - -2.6192696))) - T)) - kb) / (5.619421 - mom))"
23,0.039312303,"(((B + ((n_rho * (B + (mom + 2.7170105))) - T)) - kb) / ((B - mom) + 5.6960254)) + (mom / 1.4140168)"
24,0.037261274,"((B + (((((B + sin(mom)) - -2.6337292) * n_rho) - T) - kb)) / (5.382465 - (mom - B))) + (0.7111891 * mom)"
26,0.0341091,"(mom / 1.4055192) + (((n_rho * ((mom + B) - -2.5818293)) + ((B - kb) - T)) / (4.761363 - ((mom / exp(mom)) - B)))"
27,0.032718066,"((((n_rho * ((T * -0.4132074) + (mom + (B - -2.7144914)))) - T) + (B - kb)) / (B + (5.6960254 - mom))) + (mom * 0.70892227)"
28,0.030392071,"(mom / 1.4140168) + ((((B - kb) - T) + (n_rho * (mom + ((B + 2.8041677) - sin(kb + T))))) / (5.806083 - (mom - B)))"
29,0.026241962,"(mom * 0.70892227) + ((((((mom + (B - -2.7144914)) + ((T + kb) * -0.4132074)) * n_rho) + (B - kb)) - T) / (B + (5.6960254 - mom)))"
30,0.024217043,"((((B + ((sin(mom) - -2.6337292) + ((kb + T) * -0.3826948))) * n_rho) + ((B - T) - kb)) / (5.382465 - (mom - B))) + (mom * 0.7111891)"
31,0.024193887,"((((((sin((kb + T) * -0.44094127) + sin(mom)) + (B - -2.6519713)) * n_rho) + (B - kb)) - T) / (5.440364 - (mom - B))) + (mom * 0.7067336)"
32,0.020731533,"(mom / 1.4008268) + (((B - kb) + ((((((T + kb) * -0.40505922) + (B - -2.6109245)) + mom) * n_rho) - T)) / (4.800682 - ((mom / exp(mom)) - B)))"
33,0.0207153,"(mom / 1.4047341) + ((((((((mom + B) - -2.5471065) + sin((T + kb) * -0.45741662)) * n_rho) + B) - kb) - T) / (4.6714497 - ((mom / exp(mom)) - B)))"
34,0.018841002,"(mom / 1.4553707) + (((((n_rho + 0.08730019) * ((mom - -2.544773) + (B + ((kb + T) * -0.39517525)))) + (B - T)) - kb) / (4.7756076 - ((mom / exp(mom)) - B)))"
35,0.018653678,"(((((mom + (sin((T + kb) * -0.46120694) - -2.544773)) + B) * (n_rho + 0.08718934)) + ((B - T) - kb)) / (4.712591 - ((mom / exp(mom)) - B))) + (mom / 1.4553707)"
36,0.017692523,"(mom / 1.3969884) + ((((B + ((n_rho * ((((kb + T) * -0.37951866) + B) + ((mom / 1.2943203) - -2.574993))) - kb)) - T) / (4.569097 - ((mom / exp(mom)) - B))) - -0.045088023)"
37,0.017599825,"((((B - kb) - T) + (n_rho * ((((mom / 1.2846389) + sin((kb + T) * -0.44082034)) + 2.5791395) + B))) / (4.569097 - ((mom / exp(mom)) - B))) + ((mom / 1.3984683) + 0.04429217)"
38,0.015198144,"(mom / 1.4047341) + ((((B - kb) + (((kb * (T * -0.12163048)) + n_rho) * ((B - -2.5471065) + (mom + ((T + kb) * -0.38836223))))) - T) / (4.6714497 - ((mom / exp(mom)) - B)))"
39,0.015129435,"(mom / 1.4047341) + ((((((T * (kb * -0.121932395)) + n_rho) * ((mom + sin((kb + T) * -0.456123)) + (B - -2.5471065))) + (B - kb)) - T) / (4.6714497 - ((mom / exp(mom)) - B)))"
40,0.01305534,"(((((((kb * T) - 0.7114695) * -0.120169714) + n_rho) * (((B + mom) - -2.5471065) + ((T + kb) * -0.3883628))) + ((B - kb) - T)) / (4.6714497 - ((mom / exp(mom)) - B))) + (mom / 1.4536009)"
