Complexity,Loss,Equation
1,0.21543995,"d"
3,0.20383635,"d * 0.89230615"
5,0.10584146,"(G * -0.33101273) + d"
7,0.0932405,"((m1 + G) * -0.24652857) + d"
8,0.084456876,"((sin(m1) + G) * -0.29061127) + d"
9,0.07141848,"d + ((m1 + (G + m2)) * -0.2185749)"
10,0.06781367,"(((m1 + sin(m2)) + G) * -0.23982683) + d"
11,0.05287717,"((((G / 0.4956834) + m2) + m1) * -0.16339459) + d"
13,0.034294806,"((((G * (-2.1430795 - d)) - m1) - m2) * 0.15422939) + d"
15,0.023004642,"((((G * (-2.1430795 - d)) - m1) - m2) * 0.15422939) + (d * 0.8946523)"
17,0.013438321,"(d * 0.8939276) + ((m1 + ((G + m2) + G)) * ((-2.3965802 - d) * 0.06852471))"
19,0.013429899,"(((((((m1 + m2) * 0.9894482) + G) + G) * 0.07697217) * (-2.3965802 - d)) + d) * 0.8935563"
20,0.013002144,"(((d * -0.06295638) - 0.15775861) * (((m1 + m2) + (G * 2.1118917)) - sin(d))) + (d * 0.7795318)"
21,0.009354325,"(((-0.06948778 - (G * -0.007951055)) * (m1 + (m2 + (G * 1.9870245)))) * (d - -2.3863094)) + (d * 0.87758934)"
22,0.009316974,"(d + ((d - ((m2 + (G + sin(G - -0.63889927))) + m1)) * ((-2.54288 - d) * -0.10220106))) * 0.73014"
23,0.006664947,"((-0.065158226 - (G * -0.013305954)) * (((G * 2.16133) + ((m1 + m2) + 0.4287449)) * (d - -2.457357))) + (d * 0.897414)"
24,0.004818352,"(d * 0.76559234) + ((((((G * 2.3416972) + m2) + m1) + sin(1.0626503 - G)) - d) * ((d - -2.3255503) * -0.07080339))"
25,0.0033630466,"(((d + 2.7039928) * (-0.060809266 - (G * -0.011725614))) * ((m2 + (G * 2.0674295)) + ((m1 - d) + 0.77012473))) - (d * -0.7517576)"
26,0.003179319,"0.7516258 * (d + ((d - -2.7427952) * ((((2.0592418 * G) + (m2 + 0.77922714)) + (m1 - d)) * (-0.078250915 / exp(0.19796954 * G)))))"
27,0.0031624825,"(((((G * 2.0879273) + 0.7480144) + ((m1 + m2) - d)) * (((d - -2.6773138) * -0.092467114) / ((G * 0.22946785) + 1.2208896))) + d) * 0.7605128"
28,0.0025496061,"(d + ((m1 + (((G * 2.2479444) + (m2 + sin(1.249299 - G))) - d)) * ((d + 2.4586687) * (-0.08747201 - (m1 * -0.008134305))))) * 0.7609397"
29,0.002509115,"(d * 0.7565389) + ((-0.059506793 - (G * -0.011083281)) * (((d - -2.7368693) * ((((G * 2.0791497) + (0.7565389 - d)) + m2) + m1)) - (m1 * m2)))"
30,0.0010029437,"0.75223005 * (d + (((-0.08627043 - ((m2 + m1) * -0.0072875265)) * (d + 2.5379112)) * (((m2 - d) + (G * 2.1779006)) + (m1 + sin(1.3393599 - G)))))"
32,0.00077506184,"(((((G * 2.0247383) + ((((m2 + m1) + 0.95034987) - d) / exp((m1 + m2) * 0.10908704))) * (-0.07675531 - (G * -0.015140886))) * (d - -2.9668326)) + d) * 0.7416386"
33,0.00075392704,"(((-0.07646029 - (G * -0.015086277)) * ((((((m2 + m1) - d) + 0.96655124) / (((m2 + m1) * 0.11059628) + 1.0323285)) + (G * 2.06064)) * (d - -2.9037318))) + d) * 0.74945605"
34,0.0006985285,"((((d - -2.8174613) * ((G * 1.9770156) + (((m1 + (1.0089285 - d)) + m2) / exp((m2 + (m1 - G)) * 0.09702268)))) * (-0.08168519 - (G * -0.019092979))) + d) * 0.74595606"
35,0.00043100046,"((((d - -2.9458303) * (-0.08938302 - (log(G + 2.0137444) * -0.02427675))) * ((((m2 + 0.92379534) + (m1 - d)) / exp((m1 + m2) * 0.10678619)) + (G * 1.9380745))) + d) * 0.74435115"
