Complexity,Loss,Equation
1,0.8233451,"mom"
2,0.6859321,"sin(mom)"
3,0.6437414,"B + mom"
4,0.5070806,"sin(mom) + B"
5,0.30689812,"(B + mom) / 1.6971529"
7,0.12785111,"((B + mom) + chi) * 0.5396173"
8,0.11761638,"((mom + sin(chi)) + B) * 0.5893945"
9,0.113048166,"(chi + ((B + mom) * 1.3393908)) * 0.44003323"
10,0.05470192,"exp((mom + (chi + B)) * 0.40264323) + -1.2699807"
11,0.042896073,"exp(((sin(chi) + B) + mom) * 0.44115248) + -1.2750717"
12,0.0383862,"(exp((mom + (B + chi)) * 0.28574845) + -1.1286258) * 1.700803"
13,0.027567845,"(exp((sin(chi) + (B + mom)) * 0.31280106) + -1.1312578) / 0.58804274"
14,0.023131764,"(exp((chi + ((mom + B) * 1.3126162)) * 0.23356335) + -1.1277136) * 1.7286882"
15,1.7063204e-14,"((B + 2.5930848) * (((chi * 0.065251715) + 0.22711703) * (mom + 2.5960205))) + -1.5285904"
17,1.6135615e-14,"(((((chi * 0.065251715) + 0.22711703) * (mom + 2.5960205)) * (B + 2.5930848)) - 0.12877746) + -1.3998129"
19,1.600928e-14,"((((((chi * 0.065251715) + 0.22711703) * (mom + 2.5960205)) * (B + 2.5930848)) + -0.007831539) - 0.120945916) + -1.3998129"
23,5.1066032e-15,"(((chi * 0.16936226) + 0.5894872) * (B + ((mom + (mom + 0.0009970715)) * (0.49953055 - (B * -0.19263953))))) - (chi * -0.4391707)"
25,4.841487e-15,"(((((mom + mom) * 0.49943462) + (0.00049795915 - ((mom * -0.38520503) * B))) + B) * ((chi * 0.1693948) + 0.58960044)) - (chi * -0.4391707)"
27,4.8253015e-15,"((B + ((((mom + mom) + -0.056076035) * 0.49943462) - ((B * mom) * -0.38520503))) * ((chi * 0.1693948) + 0.58960044)) - ((chi * -0.44399917) - 0.01680613)"
29,4.6295954e-15,"(((chi * 0.16942777) + 0.5897152) * ((((mom + (mom + 0.0009970427)) * 0.49933743) - ((((mom + mom) + -0.001010505) * B) * -0.19256504)) + B)) - (chi * -0.4391707)"
33,4.538217e-15,"(((chi * 0.16911677) + 0.5886327) * (((((B * 0.023945661) + ((mom + 0.97530884) * 0.00051140506)) - ((((mom + mom) + -0.115600996) * -0.19291916) * B)) + B) + mom)) - (chi * -0.4391707)"
37,4.308962e-15,"((mom + ((((((chi / chi) + (mom - -0.7463795)) * 0.0002855384) + (B * 0.023722788)) - (B * ((mom + (mom + -0.115643956)) * -0.19287561))) + B)) * ((chi * 0.16915496) + 0.5887656)) - (chi * -0.4391707)"
