Complexity,Loss,Equation
1,0.12372763,"c"
3,0.119900495,"c * 0.9381974"
5,0.11931587,"c + (v * 0.06580117)"
6,0.10096904,"exp(u * 0.14252998) * c"
7,0.090122856,"((v * -0.18321057) * u) + c"
8,0.08100043,"c * exp((v + u) * 0.13618945)"
9,0.06502097,"(((c - v) * u) * 0.17215812) + c"
10,0.06475581,"c + sin(u * ((v - c) * -0.18150924))"
11,0.04331591,"(((c - u) * (c - v)) * -0.12965026) + c"
12,0.039140087,"c + (((v - sin(c)) * (c - u)) * 0.15840623)"
13,0.022358786,"(((c - u) * ((v - c) * 0.16362627)) + c) + 0.16260557"
14,0.021881292,"(sin(((v - c) * (c - u)) * 0.18965156) + c) + 0.16378468"
15,0.014279977,"c + (((v - c) * ((0.38255522 + (c - u)) * 0.1628971)) + 0.1628971)"
16,0.014106787,"(((sin((v - c) * 0.16362627) + -0.06433757) * (c - u)) + c) + 0.16085118"
17,0.0065343725,"(c + (((v * -0.04911066) + 0.16314599) * ((c - u) * (v - c)))) + 0.16314599"
18,0.0062013906,"(c + 0.16362627) + ((((sin(v) * -0.07206727) + 0.16362627) * (c - u)) * (v - c))"
19,0.0027702525,"(((c - u) * ((c - v) * (((u + v) * 0.03109901) + -0.16361625))) + c) + 0.16281646"
20,0.0027641095,"(((sin(((v + u) * 0.03109901) + -0.1643552) * (c - u)) * (c - v)) + c) + 0.16354454"
21,0.0025681572,"(c + 0.15907629) + (((c - (u / 0.933496)) * (v - c)) * (((u + v) * -0.029763797) + 0.15907629))"
22,0.0016783673,"(sin(((c - v) * 0.14596985) * (c - u)) * (((v + u) * 0.24661788) - 1.2587928)) + (c + 0.1679933)"
24,0.0016408986,"c + (((c - v) * (sin((c - (u / 0.9283361)) * -0.36113146) * (((u + v) * -0.09459811) + 0.50021946))) + 0.16057144)"
25,0.00084930495,"(((c - v) * ((c - u) * (((c * c) * 0.022791252) - (0.20308751 - ((u + v) * 0.030768108))))) + 0.16031356) + c"
26,0.00075959973,"(((((sin(c) * c) * 0.0452644) - (0.21729293 - ((v + u) * 0.030768909))) * ((c - v) * (c - u))) + 0.15974496) + c"
27,0.0007479963,"(c + (((c - v) * (c - u)) * (((c * sin(c)) * 0.039794795) - sin(0.21197374 - ((u + v) * 0.031772736))))) + 0.15995376"
28,0.00072720717,"((((((c * 0.08861688) * c) - 0.8787781) - ((u + v) * -0.13786457)) * ((c - v) * sin((c - u) * 0.23828374))) + 0.16356) + c"
29,0.0006562578,"((((((sin(c) * 0.1337484) * c) - sin(0.7647238 - ((v + u) * 0.1337484))) * 0.3228327) * ((c - u) * (c - v))) + 0.16189645) + c"
30,0.0005885542,"c + (((((c - u) * (c - v)) * (((sin(c) * 0.1464677) * c) - sin(exp(-0.17869245 - ((v + u) * 0.22062056))))) * 0.29265776) + 0.16181467)"
32,0.0005790435,"(((sin(c + 0.1464677) * (c * 0.1464677)) - sin(exp(-0.17869245 - ((v + u) * 0.22062056)))) * (((c - v) * (c - u)) * 0.29265776)) + (c + 0.16045456)"
33,0.00052573654,"((((c - v) * sin((c - u) * 0.2747691)) * (((c * 0.055927277) * (c - sin(v + 0.5397672))) - (0.77723664 - (0.1160523 * (v + u))))) + c) + 0.16336459"
34,0.0005233658,"c + (0.16563922 + (sin((c - u) * 0.28767562) * ((((c * (c - sin(v + 0.51544696))) * 0.056732304) - (0.7572671 - sin(0.11342784 * (v + u)))) * (c - v))))"
35,0.0004630244,"(((c - v) * ((((c - sin(v + 0.77290505)) * (c * 0.056965612)) - (0.74813443 - ((v + u) * 0.11448242))) * sin((c - u) * 0.28676865))) + (c / 0.9907165)) + 0.16411018"
36,0.00042894893,"(((((c * (c - sin(v + exp(u - 1.1460739)))) * 0.058440343) - (0.8047729 - (0.12625045 * (u + v)))) * (c - v)) * sin(0.26534215 * (c - u))) + (c + 0.16121693)"
38,0.00037426408,"(((((c * 0.057782598) * (c - sin(v + exp(u + -0.9120241)))) - (0.76397246 - ((u + v) * 0.1275379))) * (sin((c - u) * 0.2801714) * (c - v))) + (c + 0.16173884)) / 0.99292475"
40,0.00037353812,"((((((c * ((c - sin(v + exp((u + -0.91852283) * 0.9851927))) * 0.057782598)) - (0.76397246 - ((v + u) * 0.1275379))) * sin((c - u) * 0.2801714)) * (c - v)) + 0.16173884) + c) / 0.99292475"
