Complexity,Loss,Equation
1,0.9999999,"-7.398866e-5"
3,0.77510613,"q * -0.47428817"
5,0.72218305,"q / (-2.5908873 - Z_1)"
6,0.7038307,"(0.37461936 / exp(q)) + -0.59248555"
7,0.63637584,"q / (-3.6916075 - (Z_1 + q))"
8,0.6037344,"0.0630222 / exp((Z_2 + Z_1) + q)"
9,0.5255459,"(q + Z_2) / (-3.7236578 - (Z_1 + q))"
10,0.5224076,"(q + Z_2) / (-3.249994 - (q + sin(Z_1)))"
11,0.42864478,"(q + (Z_2 - epsilon)) / ((-3.7505612 - q) - Z_1)"
13,0.37819192,"(((q + Z_1) + Z_2) - epsilon) / (-3.7505612 - (q - L))"
14,0.33198428,"(-0.15852481 / exp(q)) * (Z_2 + (((q + Z_1) - L) - epsilon))"
15,0.32291886,"(((Z_1 - L) + q) - (epsilon - Z_2)) / ((-2.1034179 - q) * 2.4690092)"
16,0.26900384,"((((Z_1 + (Z_2 + -2.3933342)) - epsilon) - L) * (-0.1548742 / exp(q))) - 0.5883099"
18,0.20221454,"(((((-2.5625815 - L) - epsilon) * (Z_1 + (Z_2 + -2.3731432))) * 0.06126167) / exp(q)) - 0.5882226"
20,0.17679375,"((Z_1 + (-2.382452 + Z_2)) * (((((m - L) - 2.9997766) - epsilon) * 0.052709248) / exp(q))) - 0.5953488"
21,0.16515636,"((((sin(m) + (-2.7838905 - epsilon)) - L) / exp(q)) * (((Z_2 + Z_1) + -2.3466904) * 0.05815508)) - 0.6006077"
22,0.15103617,"(((0.05015223 * (((m - (L + E_n)) - 3.2177033) - epsilon)) * (Z_1 + (-2.3167508 + Z_2))) / exp(q)) - 0.5882554"
23,0.14179155,"((((((m - (L + sin(E_n))) - 3.2177033) - epsilon) * (Z_1 + (Z_2 + -2.329847))) * 0.05015223) / exp(q)) - 0.5913968"
24,0.1234637,"((((Z_1 + Z_2) + -2.3810682) / exp(q)) * ((((-2.7838905 - ((E_n - m) / 1.7438759)) - L) - epsilon) * 0.05815508)) - 0.60645795"
26,0.093227305,"(((((Z_2 - epsilon) + ((q - L) + Z_1)) / exp(q)) * 0.042158645) * ((Z_2 + m) + ((Z_1 + -3.2896385) - E_n))) - 0.31919459"
28,0.07977703,"((((m + -3.4871573) - (epsilon + E_n)) + (Z_2 + Z_1)) * ((((Z_2 + (q + Z_1)) - L) - epsilon) * (0.036876723 / exp(q)))) - 0.34885827"
29,0.07250619,"(((Z_2 + (((Z_1 - L) - sin(epsilon)) + q)) * 0.040171824) * (((((Z_1 + m) + -3.307588) + Z_2) - (E_n + epsilon)) / exp(q))) - 0.3506492"
30,0.059568703,"(((m + ((Z_2 - L) + ((Z_1 - epsilon) + -2.781761))) * (0.02949653 / exp(q))) * (((Z_1 - L) + (Z_2 + -2.781761)) - (epsilon + E_n))) + -0.5459981"
31,0.05940496,"((((((m + Z_2) - sin(epsilon)) + (Z_1 + (-2.7927306 - L))) * ((-2.8071914 - L) + ((Z_1 + Z_2) - (epsilon + E_n)))) / exp(q)) * 0.029977672) + -0.54753"
32,0.05152679,"((m + (q + ((Z_1 + ((Z_2 - epsilon) - L)) - 1.2705396))) * (0.030420007 * (((Z_2 - (epsilon + E_n)) + ((-2.693819 - L) + Z_1)) / exp(q)))) + -0.46514693"
33,0.05124037,"((((Z_2 - L) + Z_1) + (-2.7270873 - epsilon)) * ((((((m - 1.2505523) + Z_1) + (Z_2 + (q - (E_n + sin(epsilon))))) - L) * 0.031206409) / exp(q))) + -0.46558812"
34,0.048659828,"(((((((((Z_1 + q) + m) + Z_2) - 1.1862649) - (epsilon + E_n)) - L) * 0.028655432) / exp(q)) * (((((Z_2 + Z_1) * 1.2222104) + -2.8269072) - epsilon) - L)) + -0.46070725"
35,0.04550432,"(((((Z_2 + Z_1) + ((-2.79095 - L) - epsilon)) / exp(q)) * 0.030080464) * (((Z_2 - (Z_1 / sin(Z_1))) - L) + (((q - (E_n + epsilon)) + m) + Z_1))) + -0.46188956"
36,0.045342024,"((((Z_2 + (((Z_1 + -2.5087166) - L) - epsilon)) / exp(q)) * ((m + ((((q - (Z_1 / sin(Z_1))) + Z_1) - (E_n + sin(epsilon))) - L)) + Z_2)) * 0.032742124) + -0.45934945"
37,0.043654017,"((((Z_1 + m) + (q + (((Z_2 - (Z_1 / sin(Z_1))) - (E_n + sin(epsilon))) - sin(L)))) * 0.033461504) * (((Z_1 + Z_2) + ((-2.5087166 - L) - epsilon)) / exp(q))) + -0.45561504"
38,0.04323001,"((((((m + Z_2) - (Z_1 / sin(Z_1))) + (Z_1 - (E_n + sin(epsilon)))) + q) - L) * ((0.033461504 / exp(q)) * (Z_2 + ((Z_1 - (L * 0.7868347)) + (-2.5087166 - epsilon))))) + -0.4588567"
39,0.042703114,"(((0.028659355 / exp(q)) * (((((Z_2 + m) + (Z_1 - L)) + q) - (E_n + epsilon)) - (Z_2 / sin(Z_2 * 1.2992432)))) * ((((Z_1 * 1.2627656) + (Z_2 - epsilon)) - L) + -2.923479)) + -0.45030096"
