Complexity,Loss,Equation
1,1.0,"0.00015982408"
3,0.091929495,"theta * -0.95289046"
6,0.0032174666,"exp(theta * -0.78210104) - 1.3359644"
8,0.0020080616,"exp(0.1710263 - (theta * 0.6965072)) - 1.4964513"
9,0.00064028584,"((theta * 0.3374778) + -1.0579901) * (theta - -0.31869486)"
10,0.00027070602,"(0.6412796 - theta) - sin((theta * 0.8976339) + 1.644106)"
11,3.2267442e-5,"exp((theta * -0.5831843) - (sin(theta) * 0.29401198)) - 1.3488579"
12,6.120047e-11,"(exp((-1.1574755 - (theta * 0.16720991)) * theta) - 1.459486) / 1.3048595"
20,2.629254e-11,"(exp(theta * (-1.1574773 - (theta * 0.16721776))) - 1.4594775) / ((sin(exp(-0.28446087 - theta)) * 2.7410086e-5) + 1.3048388)"
22,5.2271048e-12,"((exp(theta * (-1.1574774 - (theta * 0.16721743))) - 1.4594775) / 1.3048388) + ((sin(exp(-0.28446087 - theta)) * theta) * 2.7409256e-5)"
24,3.959938e-12,"(((theta * 3.5646124e-5) * sin(exp(-0.26800403 - theta) + -0.051528547)) + (exp(theta * (-1.1574774 - (theta * 0.16721755))) - 1.4594775)) / 1.3048388"
26,3.0716577e-12,"(((theta * 3.4913905e-5) * sin((theta * -0.0641338) + exp(-0.2950939 - theta))) + (exp((-1.1574774 - (theta * 0.16721764)) * theta) - 1.4594775)) / 1.3048388"
27,2.3926993e-12,"((exp((-1.1574773 - (theta * 0.16721763)) * theta) + (theta * (sin((exp(theta) * -0.022444168) + exp(-0.2607966 - theta)) * 3.6338944e-5))) - 1.4594774) / 1.3048389"
28,1.4777424e-12,"((theta * ((sin(exp(-0.27127892 - theta)) + (sin(exp(theta)) * 0.12566395)) * 3.5667585e-5)) + (exp((-1.1574775 - (theta * 0.16721758)) * theta) - 1.4594774)) / 1.3048387"
30,1.2787318e-12,"((((((sin(exp(theta)) * 0.117834315) + -0.030279392) + sin(exp(-0.27127892 - theta))) * 3.5646124e-5) * theta) + (exp((-1.1574774 - (theta * 0.16721764)) * theta) - 1.4594775)) / 1.3048388"
32,1.2722374e-12,"(((((0.117834315 * sin(exp(theta + -0.04775292))) + -0.030279392) + sin(exp(-0.27127892 - theta))) * (3.5646124e-5 * theta)) + (exp(theta * (-1.1574774 - (theta * 0.16721764))) - 1.4594775)) / 1.3048388"
33,2.4655703e-13,"((exp((-1.1574575 - (theta * 0.16722487)) * theta) - 1.4594932) / 1.3048254) - (((sin(theta + (exp(theta * -0.46982476) * theta)) / 0.14520651) + (exp(theta * -2.7769644) + 8.064977)) * -1.7485463e-6)"
