Complexity,Loss,Equation
1,1.0,"0.0"
2,0.82614005,"sin(x)"
3,0.7545523,"x * 0.49519426"
5,0.5986187,"(x + omega) / 2.2335575"
7,0.5024382,"sqrt(exp(x + omega)) - 1.2754045"
8,0.46831843,"(exp(x + omega) * 0.18650149) + -0.46861613"
9,0.44970626,"(exp(x + sin(omega)) + -2.026902) * 0.27376157"
10,0.40498453,"exp(((x - y) + omega) * 0.36081985) + -1.2350188"
11,0.36847737,"sqrt(exp((x + omega) - (y + 1.0729774))) - 0.8457808"
12,0.3154426,"exp((m + ((x + omega) - y)) * 0.32964006) + -1.2334456"
13,0.25894046,"(sqrt(exp((omega + (m - y)) + x)) * 0.44974726) - 0.730237"
14,0.19585402,"(exp(x + -1.3920162) * sqrt(exp(m + (omega - y)))) - 0.56664556"
15,0.18567343,"(exp(x + -1.2718176) * sqrt(exp(omega + (sin(m) - y)))) - 0.605498"
16,0.09945587,"(exp(x + -1.6036263) * sqrt(exp((omega + alpha) + (m - y)))) - 0.51731974"
17,0.07706444,"(exp(x + -1.4740644) * sqrt(exp((omega + m) + (sin(alpha) - y)))) - 0.55721587"
18,0.061155617,"(exp(x + (((y - m) - alpha) * -0.36248982)) * sqrt(exp(omega - 2.44005))) + -0.6374014"
19,0.04203617,"(exp(x + ((y - (m + alpha)) * -0.37088788)) * exp((-2.1366947 + omega) / 1.5197982)) + -0.588674"
20,0.03613011,"((sqrt(exp(omega + -2.0020897)) + -0.1321804) * exp(((y - (m + alpha)) * -0.37925342) + x)) + -0.55386806"
21,0.03502944,"((sqrt(sin(exp(omega + -1.9707657))) + -0.1321804) * exp(((y - (m + alpha)) * -0.37925342) + x)) + -0.55142725"
23,0.03243052,"((sqrt(exp((omega + (m * 0.59346884)) - 2.0469706)) + -0.12511526) * exp(((y - sin(alpha)) * -0.44684145) + x)) + -0.55132794"
24,0.032403074,"((sqrt(exp((omega + sin(m * 0.6770154)) - 2.0469706)) + -0.12511526) * exp(((y - sin(alpha)) * -0.44684145) + x)) + -0.55132794"
25,0.031076321,"(exp(x + ((y - sin(alpha)) * -0.43211925)) * ((x * -0.08045059) + sqrt(exp((omega + (m * 0.57793146)) - 2.0027075)))) + -0.66879493"
26,0.029603522,"(exp(((y - sin(alpha)) * -0.43211925) + x) * ((exp(x) * -0.027581563) + sqrt(exp((omega + (m * 0.6024488)) - 2.0469706)))) + -0.632434"
27,0.024406452,"((sqrt(exp(omega + ((0.5945921 * m) - 3.0710995))) + -0.07986369) * (0.83608615 + (exp((-0.6274949 * (y - sin(alpha))) + x) + x))) + -0.5182949"
28,0.021679321,"((sin(x) + (0.9373283 + exp(((y - sin(alpha)) * -0.61106485) + x))) * (sqrt(exp((omega + (m * 0.5732728)) - 2.89391)) + -0.08781353)) + -0.5727028"
30,0.021426663,"-0.5886553 + ((sqrt(exp(((0.56366205 * m) + omega) - 2.8633637)) + -0.088757604) * ((sin(x) + 0.89816636) + (exp(x + ((y - sin(alpha)) * -0.5805782)) / 0.9555847)))"
32,0.021331549,"((sqrt(exp((m * 0.5732728) + (omega - 2.89391))) + -0.08781353) * (((x * 0.05456809) + sin(x)) + (0.9373283 + exp(x + ((y - sin(alpha)) * -0.61106485))))) + -0.5712822"
33,0.020958701,"((exp(((y - sin(alpha)) * -0.61106485) + x) + ((-0.05293353 / exp(alpha)) + (sin(x) + 0.9373283))) * (sqrt(exp((omega + (m * 0.5732728)) - 2.89391)) + -0.08781353)) + -0.54625404"
35,0.020389691,"((exp(((y - sin(alpha)) * -0.61106485) + x) + (sin(x) + (0.9373283 + (0.05456809 / (exp(alpha) / alpha))))) * (sqrt(exp(((m * 0.5732728) + omega) - 2.89391)) + -0.08781353)) + -0.54625404"
36,0.02036763,"(((sin(x) + (0.9373283 + (0.05456809 / (exp(alpha) / alpha)))) + exp(((y - sin(alpha)) * -0.61106485) + x)) * (sqrt(exp(((m * 0.5732728) + omega) - 2.89391)) + -0.08781353)) + sin(-0.6080673)"
37,0.020310683,"((exp(((y - sin(alpha)) * -0.61106485) + x) + (sin(x) + (0.9373283 + (0.05456809 / (exp(alpha) / alpha))))) * (sqrt(exp((omega + (m * 0.5732728)) - 2.89391)) + -0.08781353)) + (-0.588674 + 0.020040866)"
38,0.020270994,"(((exp((-0.61106485 * (y - sin(alpha))) + x) + sin(x)) + ((m / m) + (0.05456809 / (exp(alpha) / alpha)))) * (sqrt(exp(((m * 0.5732728) + omega) - 2.89391)) + -0.08781353)) + sin(-0.6215638)"
39,0.020150717,"((exp(((y - sin(alpha)) * -0.61106485) + x) + (sin(x) + ((m / m) + (0.05456809 / (exp(alpha) / alpha))))) * (sqrt(exp(omega + ((m * 0.5732728) - 2.89391))) + -0.08781353)) + (-0.588674 + 0.020040866)"
