Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8956063,"sin(H_G)"
3,0.7772087,"G * -0.4720589"
5,0.5789597,"(H_G - G) * 0.45973173"
7,0.4708904,"((H_G - r) - G) / 2.3801274"
9,0.37922636,"((H_G - r) - G) / (G + 2.8969193)"
11,0.30737546,"(c + ((H_G - r) - G)) / (G + 2.9937088)"
12,0.29458126,"(((H_G - r) - G) + sin(c)) / (G + 2.866804)"
13,0.23432808,"((H_G + (c - -2.966386)) / ((r + 3.8940907) + G)) - 0.92421114"
14,0.23156044,"((exp((r + (G - c)) * -0.5935488) + -1.5590817) + H_G) / 2.4805179"
15,0.22311057,"(((c + (H_G - r)) - G) / (G + (r + 3.9643965))) + -0.19095697"
16,0.21665817,"(H_G + ((sin(k_f) - r) + (c - G))) / (G + (r + 3.9904969))"
17,0.1915,"((((k_f + H_G) - r) + (c - G)) / ((G + r) + 3.976362)) - 0.19388148"
18,0.17764711,"((((H_G - r) + (c - G)) + sin(k_f)) / (G + (r + 3.928737))) - 0.2173622"
20,0.16632132,"((((c - G) - r) + ((H_G * 1.4054888) + sin(k_f))) / ((G + r) + 4.027147)) + -0.20208773"
22,0.16622537,"(((((sin(k_f) + ((H_G * 1.4054888) + c)) - G) - r) / ((r + G) + 4.027147)) - 0.13434194) + -0.045516804"
23,0.14706826,"(exp(((r + G) - c) * -0.8147966) + (H_G + (-4.815954 - (r - exp((G / -1.1507448) + H_G))))) / 7.435536"
24,0.12821814,"((exp((-0.8962315 * (r - sin(c))) - G) + (H_G - 4.319686)) + exp((G * -0.79711115) + H_G)) / (7.417087 - k_f)"
25,0.12728445,"(((H_G + exp((G + (r - c)) * -0.782528)) - ((r - k_f) - exp((G * -0.91306514) + H_G))) + -4.7439647) / 7.4457073"
27,0.11242488,"((exp((((r + 0.42071387) - c) * -0.8962315) - G) + H_G) + ((k_f - 4.319686) + exp((G * -0.79711115) + H_G))) / (7.417087 - k_f)"
29,0.09482709,"((k_f + -4.2593637) + ((exp(((r * 2.2827628) - (c - G)) * -0.5820792) - (0.9722132 - exp((G * -1.0905733) + H_G))) * 0.79994214)) / (6.0615845 - k_f)"
31,0.08732415,"(((exp((((r * 1.6853423) - c) * -0.72501534) - G) + exp((G * -1.2849122) + H_G)) * 0.4538969) + (-3.3974764 - ((H_G + k_f) / -0.9731128))) / (6.423512 - k_f)"
33,0.07131306,"(((0.41938028 * (exp(((r * 2.2109194) - (c - G)) * -0.7025942) - (G - exp(H_G + (G * -1.3578963))))) + -3.2320817) - ((H_G + k_f) / -1.2593975)) / (6.5955386 - k_f)"
35,0.057044584,"((((exp(((r * 2.2109194) - (c - G)) * -0.7025942) - (G - exp(H_G + (G * -1.3578963)))) * 0.41938028) + -3.2320817) - (((H_G + H_G) + k_f) / -1.2593975)) / (6.5955386 - k_f)"
37,0.051510707,"(((0.41938028 * (exp(((r * 2.2109194) - (c - G)) * -0.7025942) - ((0.4171461 - c) - exp(H_G + (G * -1.3578963))))) + -3.2320817) - (((k_f + H_G) + H_G) / -1.2593975)) / (6.5955386 - k_f)"
