Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8180778,"sin(omega)"
3,0.28170037,"c * -0.8476051"
4,0.13150121,"sin(omega) - c"
5,0.06269247,"(omega * 0.4922159) - c"
6,0.05577993,"(sin(omega) - c) * 0.7793136"
7,0.038560104,"(omega - (c * 1.7127149)) * 0.49311492"
10,0.010823554,"((omega + 13.341962) / sqrt(c + 4.1567636)) + -6.6982946"
11,0.010272148,"(((omega - -9.161062) / (c - -5.5384927)) * 2.6559193) + -4.5464115"
13,0.010257373,"(((omega - (c * 1.6714207)) / (c - -5.5890923)) * 2.664725) + -0.1520304"
14,0.0020200817,"((d * 0.09411977) + ((omega + 13.341962) / sqrt(c + 4.1567636))) + -6.6982946"
15,0.002020066,"(((omega + 13.341962) / sqrt(4.1567636 + c)) + -6.6981397) + (d * sin(0.09411977))"
16,0.001635996,"(-0.078711905 / exp(d)) + ((omega + (c * -1.6668353)) * (2.8951135 / (c - -6.014519)))"
17,0.0011893192,"(-0.11417824 / exp(sin(d))) + ((omega - (c * 1.6681386)) * (2.7115796 / (c - -5.667337)))"
18,0.00075602863,"(exp(d * -0.6808728) * -0.12089405) + (((omega - (c * 1.6714207)) / (c - -5.5890923)) * 2.664725)"
20,0.0007537298,"(exp(d * -0.67294794) * -0.12189831) + ((5.2977147 / ((c * 1.9719802) - -11.072698)) * (omega - (c * 1.6657155)))"
21,0.00067744433,"(-0.11643701 / exp(sin(d))) + ((2.7093868 / ((c - (d * -0.11617409)) - -5.6626625)) * (omega - (c * 1.6668406)))"
22,0.00025194304,"((omega - (c * 1.6681386)) * (2.7115796 / ((c - (d * -0.110620804)) - -5.667337))) + (exp(d * -0.7136487) * -0.1180624)"
24,0.00014522548,"(exp(d * -0.67674035) * -0.12090337) + (((5.285799 / ((c * 1.9634913) - -11.083859)) + (d * -0.012541214)) * (omega - (c * 1.6716645)))"
25,8.249259e-5,"((omega - (c * 1.6714935)) * ((5.141158 / ((c * 2.0422587) - -11.134321)) + (0.0093211485 / exp(d)))) + (exp(d * -0.66752607) * -0.12277349)"
26,4.3889206e-5,"(exp((d * -0.6561042) + ((c - omega) * 0.18013324)) * -0.121855676) + (((omega - (c * 1.7021679)) * 5.1085286) / ((c * 2.1486118) - -11.373047))"
28,1.5300615e-5,"(exp((omega * -0.15301505) + (d * -0.66246533)) * ((c * -0.027652716) - 0.12255732)) + (((omega - (c * 1.6714935)) * 5.150506) / ((c * 2.1325142) - -11.34425))"
32,1.29259e-5,"(((omega * -0.015262619) + 5.0898194) * ((omega - (c * 1.6611278)) / ((c * 2.1058865) - -11.147029))) + (exp((omega * -0.14277048) + (d * -0.6709339)) * ((c * -0.027618341) - 0.121695764))"
34,1.0823077e-5,"((-0.12256854 - (c * 0.030837884)) * exp((omega * -0.16055931) + (d * -0.66028863))) + (((((5.1404586 / d) + 0.017866056) * (omega - (c * 1.6650786))) / ((c * 2.1453323) - -11.34698)) * d)"
36,1.06581065e-5,"((exp((d * -0.66503245) + (omega * -0.16303705)) + 0.011649109) * (-0.121116236 - (c * 0.030828498))) + (((omega - (c * 1.6650971)) * (((5.1400495 / d) + 0.018180918) / ((c * 2.1458435) - -11.34866))) * d)"
37,9.358869e-6,"(exp(d * -0.6639675) * ((c * -0.027673889) - ((omega * -0.017315514) + 0.12088964))) + ((omega - (c * 1.6640778)) * ((exp(d * -0.6366465) * (omega * -0.0031456137)) + (5.08545 / ((c * 2.0972452) - -11.149105))))"
39,9.000097e-6,"((-0.120251365 - (c * 0.03141594)) * ((exp(omega) * 0.0106386915) + exp((omega * -0.1690262) + (d * -0.66752607)))) + (((omega - (c * 1.6608132)) * (((5.1447673 / d) + 0.023506062) * d)) / ((c * 2.1468625) - -11.346386))"
40,7.282629e-6,"((-0.12035906 - (c * 0.030392306)) * ((omega * (omega * 0.01737798)) + exp((omega * -0.16106066) + (d * -0.6690706)))) + (((5.1407714 / d) + 0.018193932) * (((omega - (c * 1.664922)) / ((c * 2.1472297) - -11.347799)) * d))"
