Complexity,Loss,Equation
1,1.0,"0.0"
2,0.91557074,"sin(q)"
3,0.7555085,"epsilon * -0.4944046"
5,0.5126885,"(r + epsilon) * -0.4944046"
7,0.33107817,"((q - epsilon) - r) * 0.47185406"
9,0.32847255,"((epsilon + r) * -0.4860879) - (q * -0.4322639)"
10,0.1371188,"exp(((q - epsilon) - r) * 0.40451205) - 1.2746783"
11,0.12573071,"exp(((sin(q) - epsilon) - r) * 0.44859514) + -1.2869669"
12,0.12209893,"exp((((q * 0.7576621) - epsilon) - r) * 0.43802923) - 1.2725099"
13,0.110868566,"(exp(((sin(q) - epsilon) - r) * 0.5882517) * 0.59639454) - 0.91354525"
14,0.10005041,"(((q + 2.362871) * exp((r + epsilon) * -0.5955402)) + -3.3351686) * 0.2714454"
16,0.086803995,"(((exp((r + epsilon) * -0.7064084) * (q + 2.1476047)) - c) * 0.21720675) + -0.75936633"
17,0.07232008,"((0.5882517 + (c * -0.09002303)) * exp(((sin(q) - epsilon) - r) * 0.5929963)) - 0.8985151"
19,0.06473533,"((0.5882517 + ((c - v) * -0.08887144)) * exp(((sin(q) - epsilon) - r) * 0.5882517)) - 0.8985151"
20,0.059787083,"((0.5882517 + ((c - sin(v)) * -0.08887144)) * exp(((sin(q) - epsilon) - r) * 0.5882517)) - 0.8985151"
21,0.058646616,"((0.5882517 + ((c + (v * -0.5955402)) * -0.08887144)) * exp(((sin(q) - epsilon) - r) * 0.5882517)) - 0.8985151"
22,0.058638554,"((0.5882517 + ((c + (v * -0.5955402)) * -0.08887144)) * exp(((sin(q) - epsilon) - r) * 0.5882517)) - sin(1.1205108)"
23,0.056950144,"((q - (epsilon - sin(-0.93767565 - (c / 1.6039712)))) - r) * ((exp(-0.69570196 * (epsilon + r)) * 0.15138072) - -0.21051513)"
24,0.055304844,"((q - ((epsilon - ((v - c) / 2.9617043)) + 0.66007465)) - r) * ((exp((r + epsilon) * -0.7236098) * 0.13558869) - -0.21534036)"
25,0.047256574,"((q - (epsilon - sin(231.6151 - (c / (2.4651465 - v))))) - r) * ((exp((epsilon + r) * -0.69570196) * 0.15138072) - -0.21051513)"
27,0.044359937,"((exp((epsilon + r) * -0.69553304) * 0.15138072) - -0.21051513) * ((q - (epsilon - sin(((v * 0.30007187) - (c / 1.6317612)) + -0.9426703))) - r)"
29,0.043036915,"((exp((epsilon + r) * -0.7002587) * 0.15138072) - -0.20893434) * (((-0.09395553 - (epsilon - sin(((v * 0.33160433) + -0.86769414) - (c / 1.6317612)))) + q) - r)"
31,0.038313728,"((exp((epsilon + r) * -0.74342185) * 0.15925132) - -0.20293258) * (q + (((r * (epsilon * -0.21145646)) - (epsilon - sin(-0.882493 + ((v - c) / 2.357025)))) - r))"
32,0.03675656,"((((r * (epsilon * -0.3980774)) + (q * 0.6840733)) - r) - (epsilon - (((v - c) * 0.17731075) + -0.84724534))) * ((exp((epsilon + r) * -0.6541618) * 0.34231192) - -0.12700127)"
33,0.03185633,"((((r * epsilon) * -0.38680604) + ((q * 0.6793323) - r)) - (epsilon - sin(((v - c) * 0.3693686) + -1.1086161))) * ((exp((epsilon + r) * -0.59233654) * 0.3693686) - -0.11941454)"
34,0.029165626,"((sin(r * (epsilon * -0.52250016)) + ((q * 0.6276771) - r)) - (epsilon - sin(((v - c) * 0.33024886) + -1.0320692))) * ((exp((epsilon + r) * -0.6154918) * 0.35774824) - -0.12460456)"
35,0.026374834,"((-0.33858 * (r * epsilon)) + (((q * 0.75674987) - r) - (epsilon - sin((((v * 0.5151359) - c) / 1.9716425) + -1.0318047)))) * ((exp((r + epsilon) * -0.6298754) * 0.2864784) - -0.1591217)"
36,0.024283132,"((exp((epsilon + r) * -0.59233654) * 0.3635488) - -0.11941454) * ((sin((epsilon * -0.45780218) * r) + ((q * 0.6793323) - r)) - (epsilon - sin((((v * 0.4633363) - c) / 1.9764321) + -1.1086161)))"
38,0.022825586,"(((q * 0.6400606) + ((sin(((r * epsilon) * -0.47195113) + -0.12656026) - (epsilon - sin((((v * 0.63155043) - c) / 1.9930767) + -1.0384245))) - r)) * (exp((r + epsilon) * -0.58555627) - -0.25734195)) * 0.3986964"
