Complexity,Loss,Equation
1,1.0,"-0.0"
2,0.8516354,"sin(H_G)"
3,0.7741601,"H_G * 0.47521326"
5,0.6597981,"(H_G + c) * 0.41108"
6,0.6541861,"0.4704114 * (H_G + sin(c))"
7,0.55394655,"(c + (alpha + H_G)) * 0.38660994"
8,0.5296141,"exp(H_G + (c + alpha)) * 0.06884846"
9,0.49835613,"((c - G) + (H_G + alpha)) * 0.35525385"
10,0.35605505,"exp(((H_G + alpha) + c) - G) * 0.03762549"
11,0.31849632,"exp((H_G + (sin(alpha) + c)) - G) * 0.05310127"
12,0.20766024,"exp((c + ((alpha - G) + H_G)) * 0.34964797) - 1.2713257"
14,0.13625099,"(exp(((c + (alpha - G)) * 0.5661538) + H_G) * 0.2101126) - 0.5263643"
16,0.12645902,"((H_G + exp(((alpha + (c + H_G)) - G) * 0.6656763)) - 2.3369389) * 0.20992117"
17,0.12301211,"(sin(H_G) + (exp((c + ((H_G + alpha) - G)) * 0.6327453) - 2.1443732)) * 0.2486068"
18,0.112644404,"((c + 1.5021145) * (exp((G / -1.8176137) + H_G) * ((alpha + 1.8568705) * 0.099109545))) + -0.50498855"
19,0.098992825,"((exp(sin(H_G) + (G / -2.0808988)) * ((c + 1.6218078) * 0.14634809)) * (alpha + 1.928251)) - 0.6598814"
20,0.09127387,"(((exp(H_G + (G / -1.8021324)) * (alpha + 1.8568705)) + r) * ((c + 1.478722) * 0.099109545)) - 0.4945373"
22,0.08251649,"((r + ((H_G + 1.221603) * ((alpha + 1.9203267) * exp(G / -1.7358165)))) * (0.1320796 * (1.4553657 + c))) - 0.531135"
23,0.07810966,"((((c + 1.6096053) * 0.12801272) * (((alpha + 1.9203296) * (H_G + 1.2807902)) + sin(r))) * exp(G / -1.9231932)) - 0.58095336"
24,0.06649248,"(((c + 1.5123389) * (exp(G / -1.9067794) * (((H_G + 2.3434978) * ((H_G + 1.1896987) + alpha)) + r))) * 0.079667255) - 0.528644"
25,0.06413241,"((c + 1.5019706) * (0.10271865 * (r + ((H_G + 1.7585096) * ((sin(H_G) + (alpha + 1.2584884)) * exp(G * -0.558052)))))) - 0.52566123"
26,0.06153401,"((exp(G * -0.55520886) * ((sin(r) + (((alpha + sin(H_G)) + 1.2584884) * (H_G + 1.7585096))) * (c + 1.5019706))) * 0.10271865) - 0.52566123"
27,0.056931954,"((((alpha + (sin(H_G) + 1.2127258)) * (H_G + 1.628343)) + (r * 0.61198527)) * ((c + 1.5192776) * (exp(G * -0.51491165) * 0.11417613))) - 0.5336318"
28,0.05263737,"(((((((H_G + 2.2104514) * (alpha + 1.6080468)) + (r + H_G)) * 0.018311383) * (H_G + 4.0529976)) * (c + 1.5631025)) * exp(G / -1.8796147)) - 0.55280066"
30,0.045034908,"(((r + ((alpha + 1.5538905) * (H_G + 2.0950625))) + H_G) * ((((c + 1.8985558) * exp(G / -1.8279955)) * (H_G + (c + 3.6567078))) * 0.015010634)) - 0.5308765"
32,0.042053927,"((((c + 1.9820807) * (((c + (H_G + 3.1521778)) * exp(G / -1.5762485)) + 1.499552)) * (r + (H_G + ((alpha + 1.6168398) * (H_G + 1.9820807))))) * 0.012764112) - 0.55618346"
33,0.039321862,"((((c + exp(G)) + (H_G + 3.1521778)) * (exp(G / -1.5145005) * ((H_G + (r + ((alpha + 1.6168398) * (H_G + 2.0979369)))) * (c + 1.9864621)))) * 0.012764112) - 0.55901176"
35,0.03859642,"(exp(G / -1.5145005) * (((H_G + ((r / 1.1422426) + ((H_G + 2.0979369) * (alpha + 1.6168398)))) * (0.012764112 * (c + 1.9864621))) * ((exp(G) + (H_G + 3.1521778)) + c))) - 0.5572372"
36,0.037831757,"((((exp(G) + c) + (H_G + 3.3545787)) * exp(G / -1.5431058)) * (((r - sin(k_f)) + ((H_G + (2.7243602 + H_G)) * (alpha + 1.8357166))) * (0.008814865 * (c + 1.9535425)))) - 0.5746446"
37,0.026650636,"-0.53485245 + (((exp(G / -1.5039246) * (((r / (r - -2.0956624)) + H_G) + ((H_G + 1.9781715) * (alpha + 1.8131051)))) * ((c + 1.9146342) * 0.013393369)) * (exp(G) + (c + (H_G + 3.086588))))"
39,0.026295263,"(exp(G / -1.5039246) * (((((r / (r - -2.0956624)) + ((alpha + 1.8131051) * (H_G + 1.9781715))) + H_G) * (((c + 1.9146342) * 0.013393369) * (((exp(G) + c) + H_G) + 3.086588))) + 0.013393369)) - 0.5482458"
