Complexity,Loss,Equation
1,0.9999999,"-8.710474e-5"
2,0.88148165,"sin(omega)"
3,0.78813,"0.46021438 * omega"
5,0.6232627,"(omega - omega_0) * 0.433827"
6,0.5705546,"exp(omega - omega_0) * 0.14329304"
7,0.47750905,"sqrt(exp(omega - omega_0)) + -1.276782"
8,0.38915607,"exp((omega + -1.593176) - omega_0) - 0.50564533"
10,0.37077975,"exp((Ef - omega_0) + (omega + -2.386314)) + -0.36398333"
11,0.29257423,"exp(((sin(Ef) + -2.0078988) + omega) - omega_0) + -0.43533224"
12,0.24779557,"((Ef - -2.4884129) * exp((omega - omega_0) + -2.492562)) - 0.5125087"
14,0.119951226,"((Ef + (r - -2.5482988)) * exp((omega - omega_0) + -2.5266504)) - 0.51259494"
16,0.10188919,"((Ef + 2.6115673) * (exp(omega + (-3.519245 - omega_0)) * (r + 2.6493616))) + -0.5069624"
17,0.090533204,"(exp(omega + (-2.5968683 - omega_0)) * (((r + sin(epsilon)) - -2.7691014) + Ef)) - 0.51218534"
18,0.06875582,"(exp(omega + (-3.3866744 - omega_0)) * (((Ef + 2.4334126) * (r + 2.4532423)) + epsilon)) + -0.5037262"
19,0.06592958,"(((sin(epsilon) + 2.983556) + r) * ((Ef + 2.5304897) * exp((omega - omega_0) + -3.6006758))) + -0.5151844"
20,0.034848694,"(exp((omega - omega_0) + -3.384624) * (epsilon + (((Ef + 2.4334126) * (r + 2.4334126)) + c))) + -0.4974476"
21,0.032644648,"(exp((omega + -2.658087) - omega_0) * (exp((c + (epsilon + r)) * 0.25139442) * (Ef + 2.6879804))) + -0.5169903"
22,0.020223757,"(sqrt(exp(r + ((epsilon + c) * 0.39181182))) * ((Ef + 2.6191542) * exp((omega - omega_0) + -2.7699764))) + -0.48150647"
23,0.008720669,"(((exp((omega - omega_0) + -3.5360103) * (Ef + 2.6243052)) * (r + 2.5618114)) * exp((epsilon + c) * 0.19411157)) - 0.50815487"
24,0.008621565,"(((r + 2.5618114) * (Ef + 2.6243052)) * (exp((omega - omega_0) + -3.5360103) * exp(sin((c + epsilon) * 0.20558682)))) - 0.50622797"
25,0.0074622137,"((((r + 2.6796184) * exp((c + epsilon) * 0.18804634)) * (Ef + 2.6796184)) * (exp(omega + (-3.598862 - omega_0)) + 0.0080128275)) + -0.5580745"
26,0.0065063694,"((exp(omega) * (Ef + 2.6014483)) * ((exp(-3.6085336 - omega_0) + 0.0045902086) * ((r + 2.6842997) * exp((epsilon + c) * 0.19173525)))) + -0.545214"
27,0.006415157,"-0.5396462 + ((0.0039134864 + exp(-3.6142523 - omega_0)) * ((((2.6885452 + r) * (Ef + 2.6477883)) * exp(sin((epsilon + c) * 0.20011172))) * exp(omega)))"
28,0.006295945,"(((exp(omega * 0.9455762) * (r + 2.7138278)) * (exp((c + epsilon) * 0.20029679) * (exp(-3.5646482 - omega_0) + 0.006174404))) * (Ef + 2.6066759)) + -0.5644395"
29,0.005283848,"((r + 2.6111076) * (((((-1.4962187 - omega) * -0.0065182643) + exp((omega + -3.598862) - omega_0)) * (Ef + 2.6589687)) * exp((epsilon + c) * 0.19173525))) + -0.5606883"
30,0.0052097137,"(((((-1.3004577 - sin(omega)) * -0.0100227) + exp((omega + -3.6390123) - omega_0)) * ((Ef + 2.6786697) * exp((c + epsilon) * 0.19249962))) * (r + 2.6786697)) + -0.5898085"
31,0.0051240525,"(((exp(sin(0.19370878 * (epsilon + c))) * (exp(omega + (-3.6390123 - omega_0)) + ((-1.313763 - sin(omega)) * -0.0100227))) * (Ef + 2.6786697)) * (r + 2.6875308)) + -0.5870102"
34,0.0049626427,"((Ef + 2.6796184) * (exp((c + epsilon) * 0.19056264) * ((((-1.9876257 - (omega - sin(1.5961618 - Ef))) * -0.0065183104) + exp((omega + -3.598862) - omega_0)) * (r + 2.5996947)))) + -0.5580745"
36,0.0045833546,"-0.5288965 + (((sqrt(exp((c + (r + epsilon)) * 0.39171696)) * exp(-3.5733602 + (omega - omega_0))) * ((r * 0.30345592) + 1.550962)) * (3.6124275 + (exp(sin(omega_0 + -0.6020759) + Ef) + Ef)))"
37,0.0035713948,"((((r * 0.21238504) + 1.0818505) * (sqrt(exp((r + (epsilon + c)) * 0.38231796)) * exp(omega + (-3.0019886 - omega_0)))) * ((exp(sin(omega_0 + -0.53727794) + sin(Ef)) + Ef) + 2.9815865)) + -0.53727794"
38,0.0035494124,"(((exp(sin(omega_0 + -0.53727794) + sin(Ef)) + (Ef + 2.9815865)) * (sin(r * 0.21401504) + 1.0818505)) * (sqrt(exp(((r + epsilon) + c) * 0.38231796)) * exp((omega + -3.0019886) - omega_0))) + -0.53727794"
39,0.0031025412,"(((exp(sin(omega_0 + (omega * -0.3643386)) + sin(Ef)) + 3.0368843) + Ef) * ((((r * 0.22381718) + 1.1562173) * sqrt(exp(((r + epsilon) + c) * 0.38168418))) * exp(omega + (-3.0821238 - omega_0)))) + -0.5527576"
