Complexity,Loss,Equation
1,1.0,"0.0"
3,0.68698794,"r * -0.55908227"
5,0.6114698,"r / (-2.5963933 - r)"
6,0.5679634,"(0.44807684 / exp(r)) + -0.70890105"
7,0.47681397,"(epsilon + r) / (-2.6067748 - r)"
8,0.45800608,"(0.16473177 / exp(epsilon + r)) + -0.32307276"
9,0.38837916,"((r + epsilon) - q1) / (-2.7771113 - r)"
10,0.3597928,"(q1 - (r + epsilon)) * (0.18913217 / exp(r))"
11,0.29874521,"(((r - q2) + epsilon) - q1) / (-2.7771113 - r)"
12,0.23765591,"(q1 + (q2 - (r + epsilon))) * (0.18567155 / exp(r))"
13,0.19623588,"(((q1 - epsilon) + (q2 - r)) / (r + 2.0002255)) / 2.509539"
14,0.15231058,"((((q1 + (q2 - -2.610678)) - epsilon) * 0.17335884) / exp(r)) + -0.7112372"
15,0.12895419,"(((((q1 + q2) - -2.6274729) - epsilon) / (r + 1.9932488)) / 2.707818) + -0.748399"
16,0.07274537,"(((q1 - (-2.7828894 - q2)) * 0.14446197) / exp(r - (epsilon * -0.46824884))) - 0.6907465"
17,0.071639925,"((exp(epsilon / -1.9581265) * ((q1 + (q2 - -2.7039692)) / exp(r))) * 0.1412681) + -0.69327474"
18,0.051407117,"(((q1 - -2.8333342) * ((q2 - -2.6045282) / exp(r - (epsilon * -0.46531734)))) * 0.054474585) + -0.71728224"
19,0.037738748,"(exp(epsilon / -1.8252059) * ((q1 + (q2 - -2.49555)) * (0.09002141 / (exp(r) + -0.085806824)))) + -0.5636828"
20,0.02412724,"((((q1 - -2.6115294) * 0.030885253) * (q2 - -2.4403715)) / exp((r * 1.4331915) - (epsilon * -0.53996104))) + -0.53996104"
22,0.022737453,"((q1 + (((q2 - -2.4403715) / exp((r * 1.4331915) - (epsilon * -0.5229448))) * (q1 - -2.6115294))) * 0.030885253) + -0.53996104"
24,0.022727964,"(((q1 - 0.1435948) + (((q2 - -2.4403715) / exp((r * 1.4331915) - (epsilon * -0.5229448))) * (q1 - -2.6115294))) * 0.030885253) + -0.53996104"
25,0.019495158,"(((sin(r * 1.5140736) + 2.127693) - (r - q2)) * ((0.057552762 * (q1 - -2.371709)) / exp(r - (epsilon * -0.51730436)))) + -0.59487873"
26,0.019116083,"((((q1 - -2.534982) / exp(r - sin((epsilon * -0.67512673) - 0.7154912))) * 0.09645125) * ((0.9783019 - (r - q2)) + exp(r))) + -0.635414"
27,0.017135732,"(((((exp(sin(r)) - (r - q2)) + 0.8014808) * 0.1007791) / exp(r - sin((epsilon * -0.6882085) - 0.7540932))) * (q1 - -2.4872563)) + -0.61062056"
28,0.011794031,"((((q1 - -2.439766) / exp(r - sin((epsilon * -0.61724436) - 0.63799715))) * ((sin(r * 1.4951494) + 1.9293996) - (r - q2))) * 0.10038646) + -0.5948799"
30,0.010859766,"((0.106091075 / exp(r - sin((epsilon * -0.64537895) - 0.6775701))) * ((q1 - -2.5641987) * (sin(r * 1.5022707) + (1.8896517 - ((r - q2) * 0.86349624))))) + -0.6086476"
35,0.010728368,"((((0.106091075 / exp(r - sin((-0.64537895 * epsilon) - 0.6775701))) * (q1 - -2.5641987)) * (sin(r * 1.5022707) + (1.8896517 - (0.86349624 * (r - q2))))) + -0.6086476) * (sqrt(0.8810697) / 0.92160225)"
