Complexity,Loss,Equation
1,0.119403385,"omega_0"
3,0.1158391,"omega_0 / 1.063498"
5,0.05713947,"omega_0 + (c * -0.2495473)"
7,0.04254401,"((v - c) / 5.1033497) + omega_0"
8,0.038525168,"omega_0 + ((sin(v) - c) / 4.372099)"
9,0.03253498,"omega_0 + ((v - c) / (c + 5.0537105))"
10,0.028329538,"((sin(v) - c) / (4.372099 - omega_0)) + omega_0"
11,0.022807451,"omega_0 + ((v - c) / (5.1815004 - (omega_0 - c)))"
12,0.019191617,"((sin(v) - c) / (4.8354015 - (omega_0 - c))) + omega_0"
13,0.015178815,"(((v - c) / (4.7402544 - (omega_0 - c))) + omega_0) / 1.1031483"
14,0.010993608,"(((sin(v) - c) / (4.4441323 - (omega_0 - c))) + omega_0) * 0.90509206"
15,0.010088743,"((((v * 0.6788346) - c) / (c + (4.5152016 - omega_0))) + omega_0) / 1.0978248"
16,0.006830825,"((omega_0 + ((sin(v) - c) / (4.362505 - (omega_0 - c)))) * 0.89676076) - 0.064425655"
17,0.0050889314,"(omega_0 + (((-0.29469368 - c) + (v * 0.60070443)) / (4.1812663 - (omega_0 - c)))) / 1.0906008"
18,0.0043622567,"omega_0 + (-0.16389343 * ((((c - sin(v)) / (c + 2.490291)) + 0.28807446) * (omega_0 + 2.5200882)))"
19,0.00038965305,"((omega_0 + -0.7125135) * 0.7336754) + ((((v * 0.117758654) + 0.4198156) / (c + 2.5005352)) * (omega_0 + 2.523))"
20,0.00038964668,"((omega_0 + -0.7125135) * 0.7336754) + (((sin(v * 0.11803253) + 0.4198156) / (c + 2.5005352)) * (omega_0 + 2.523))"
21,0.00037461895,"((((c + 0.9264528) - (v * 0.43740487)) * -0.26291323) * ((omega_0 + 2.6042943) / (c + 2.5149307))) + (omega_0 - -0.1538585)"
24,0.0002925099,"omega_0 + (((((c + sin(0.31131488 - (v * 0.49977952))) - -0.6552945) * (omega_0 + 2.599441)) * (-0.26764926 / (c + 2.5464997))) - -0.15596232)"
25,0.00013105442,"(omega_0 + 0.15342772) + (((((c - (v * 0.45030406)) + 0.9212793) * ((v * -0.013649797) + -0.28138086)) * (omega_0 + 2.5866494)) / (c + 2.6414008))"
26,0.000102783,"((((exp(v) * -0.009425711) + -0.26386482) * ((omega_0 + 2.5797067) * ((c + (0.9196099 - (v * 0.4460844))) / (c + 2.6256394)))) + 0.15109242) + omega_0"
28,3.931821e-5,"(((omega_0 + 2.5948825) * (((c - (exp(v - c) * 0.02095652)) + (0.9910015 - (v * 0.39882573))) * -0.27312642)) / (c + 2.7110798)) + (omega_0 - -0.15330027)"
29,3.048069e-5,"(omega_0 - -0.15199988) + (((c + (0.93872976 - (((exp(sin(v) - c) * 0.016356042) - -0.39052275) * v))) / (c + 2.650513)) * ((omega_0 + 2.5760956) * -0.2756514))"
30,1.7282893e-5,"((omega_0 + 2.5792875) * ((-0.2775362 / (c + 2.651556)) * ((c - ((0.4099327 - (((c - v) * 0.0127306385) / exp(c))) * v)) + 0.94011235))) + (omega_0 - -0.15436497)"
32,9.402435e-6,"(omega_0 + 0.15483472) + (((omega_0 + 2.5781407) / (c + 2.6582496)) * (((c - (v * (0.39674166 - (((c + (-0.6029843 - v)) / exp(c)) * 0.010923667)))) + 0.93591046) * -0.27918103))"
34,7.5000057e-6,"(omega_0 + ((((c + 0.93634635) - ((0.39776137 - (((c + -0.50769883) - v) * (0.011640128 / exp(c)))) * v)) * (omega_0 + 2.5886147)) * ((-0.27344772 / (c + 2.6516328)) + -0.001279874))) + 0.15526345"
36,7.4791287e-6,"(((((c + 0.93634635) - ((0.39776137 - (((c + (-0.51188666 - v)) / exp(c)) * 0.011640128)) * v)) * ((c * -0.001279874) + -0.27697554)) * ((omega_0 + 2.5886147) / (c + 2.6516328))) + omega_0) + 0.15526345"
38,7.4693426e-6,"((((omega_0 + 2.5886147) * (((c + 0.93634635) - ((0.39776137 - ((((c + -0.50769883) - v) / exp(c - -0.0024312176)) * 0.011640128)) * v)) * ((c * -0.001279874) + -0.27697554))) / (2.6516328 + c)) + omega_0) + 0.15526345"
39,7.346264e-6,"omega_0 + ((((((sin(c - 0.2463179) * -0.0015206104) + -0.27735737) * ((0.93709016 - (v * (0.39836806 - (((c + -0.494254) - v) * (0.011469695 / exp(c)))))) + c)) * (omega_0 + 2.588046)) / (c + 2.651802)) + 0.15573461)"
