Complexity,Loss,Equation
1,0.63288397,"Ef"
2,0.5469916,"sin(Ef)"
3,0.27064744,"Ef + q2"
4,0.18365273,"Ef + sin(q2)"
5,0.068889424,"(Ef + q2) * 0.68236333"
7,0.06888627,"(q2 / 1.4676656) + (Ef * 0.6839544)"
8,0.054318246,"sin(Ef) + (q2 / (2.34957 - Ef))"
9,0.014592038,"(q2 + (sqrt(exp(q2)) * Ef)) * 0.61675245"
10,0.0019994117,"((q2 * log(Ef + 2.9203422)) + Ef) * 0.68162984"
11,1.3229868e-9,"(q2 * (0.68162984 + (0.26230857 * Ef))) + (0.6842214 * Ef)"
13,3.238098e-15,"(q2 * ((Ef * 0.26230857) + 0.68162984)) + ((Ef + 5.3154654e-5) * 0.68422145)"
15,3.073158e-15,"((Ef + 5.315725e-5) * 0.68422145) + ((((Ef * 0.26230857) + -0.31837016) * q2) + q2)"
19,2.9612179e-15,"(q2 + (3.6373887e-5 + ((q2 * -0.31837016) + ((q2 + 0.4050511) * (Ef * 0.26230857))))) - (Ef * -0.57797307)"
