Complexity,Loss,Equation
1,1.0,"0.0"
3,0.7744766,"q * -0.4746065"
5,0.6445239,"0.42122203 * (h - q)"
6,0.61261696,"exp(h - q) / 7.3806877"
7,0.4839903,"(h - q) / (q + 2.669267)"
8,0.4509498,"(exp(h - q) / 5.221556) + -0.47731397"
9,0.31922552,"(h - q) / ((q + m) + 3.5636292)"
10,0.31347755,"exp((h - q) / (m + 2.966652)) + -1.1967478"
11,0.23204993,"(exp(sin(h) - q) / (m + 3.4127452)) - 0.6597112"
12,0.16466117,"(exp(h - q) / ((m + 4.7581744) - epsilon)) + -0.58128065"
13,0.08390245,"(exp(sin(h) - q) / (m + (4.0490046 - epsilon))) + -0.60106325"
14,0.07496585,"(exp(sin(h) - q) / ((m - sin(epsilon)) + 3.6382482)) - 0.6548117"
15,0.06520729,"(exp((h * 0.59306246) - q) / (m + (3.4127452 - sin(epsilon)))) - 0.65828145"
16,0.063947715,"(exp(sin(h * 0.7721045) - q) / ((m + 3.5227208) - sin(epsilon))) - 0.6540002"
17,0.06240619,"(exp(((m - sin(epsilon)) * -0.53516686) - q) * (exp(sin(h)) * 0.22261752)) + -0.5649918"
18,0.055902794,"(((2.7568579 + epsilon) * (exp(sin(h)) * exp((m * -0.49157152) - q))) * 0.09242558) + -0.5849994"
19,0.05244191,"(((exp((m * -0.49157152) - q) * 0.09785394) * (epsilon + 2.7568579)) * exp(h * 0.67363477)) + -0.5922846"
20,0.0327275,"((exp((m * -0.5345362) - (q * 1.4285498)) * 0.05474825) * (exp(sin(h)) * (epsilon + 2.445406))) + -0.47310635"
21,0.030992854,"((exp(0.7152728 * h) * ((2.375411 + epsilon) * 0.05474825)) * exp(((m * -0.36705676) - q) * 1.4461193)) + -0.46150973"
22,0.030914498,"((epsilon + 2.4300523) * (exp((m * -0.52799) - (1.4285498 * q)) * sin(0.05474825 * exp(h * 0.728129)))) + -0.4703139"
23,0.023876907,"(((epsilon + 2.5039337) * ((exp((m * -0.5505395) - (q * 1.5108051)) + 1.0418837) * 0.048491817)) * exp(h * 0.6418266)) + -0.6107228"
24,0.023808533,"((exp((sin(q + h) * -0.5104309) - q) * (epsilon + 2.505707)) * (exp((m * -0.5197545) + h) * 0.06539136)) - 0.4927921"
25,0.023301449,"((0.037429824 + (0.048491817 * exp((-0.5505395 * m) - (q * 1.5108051)))) * ((epsilon + 2.5039337) * (exp(0.67932713 * h) + -0.03750048))) + -0.5571494"
26,0.02245386,"(((exp((sin(q + h) * -0.6455178) - q) - -0.33254397) * ((epsilon + 2.58917) * exp(h + (m * -0.5136369)))) * 0.056637794) - 0.5480015"
28,0.016943991,"((exp(sin((q + h) * -0.6455178) - q) - -0.33254397) * (exp((h * 1.1481068) + (m * -0.50472695)) * ((epsilon + 2.58917) * 0.04865476))) - 0.5382012"
30,0.016862012,"(((exp((m * -0.50472695) + ((h + 0.007376985) * 1.1481068)) * (exp(sin((h + q) * -0.6455178) - q) - -0.33254397)) * 0.04865476) * (epsilon + 2.5315483)) - 0.531521"
32,0.015194632,"(exp((m * -0.49606398) + (h * 1.1481068)) * ((epsilon + 2.590113) * (((m / 127.66691) * m) + (exp(sin((q + h) * -0.6455178) - q) * 0.04865476)))) - 0.50015"
34,0.014926229,"((exp(((m + -0.046461944) * -0.49606398) + (h * 1.1481068)) * (epsilon + 2.590113)) * (((m / 127.66691) * m) + (exp(sin((q + h) * -0.6455178) - q) * 0.04865476))) - 0.50015"
36,0.008853086,"((exp(sin((h + q) * -0.7021398) - q) - -0.42175847) * (((m * (m / 127.66961)) + 0.054502327) * (exp(((h * 1.133895) + (m * -0.43538386)) + -0.20547809) * (epsilon + 2.4897733)))) - 0.5442299"
37,0.008852899,"((exp(sin((h + q) * -0.7021398) - q) - -0.42175847) * ((sin(m * (m / 127.66961)) + 0.054502327) * (exp(((h * 1.133895) + (m * -0.43538386)) + -0.20547809) * (epsilon + 2.4897733)))) - 0.5442299"
