Complexity,Loss,Equation
1,0.63059735,"V"
2,0.5452737,"sin(V)"
3,0.27139756,"pr + V"
4,0.1830469,"sin(pr) + V"
5,0.06877311,"(pr + V) * 0.6819485"
7,0.06876591,"(pr * 0.6800697) + (V * 0.6838588)"
9,0.015553783,"((sqrt(exp(V)) * pr) + V) * 0.6343533"
10,0.0025842558,"(pr + (V * exp(pr * 0.35264722))) * 0.66363895"
11,1.1827516e-7,"(((V * 0.2626186) + 0.6806166) * pr) + (V * 0.68383867)"
13,3.869435e-15,"((pr * ((V * 0.2626186) + 0.6806166)) + (V * 0.68383867)) - 0.00034391845"
15,3.236201e-15,"(V * 0.68383867) + (((pr * ((V * 0.26261863) + -0.31938335)) + -0.0003439132) + pr)"
17,3.163865e-15,"(pr + (((V * (0.26261863 * pr)) + (-0.31938335 * pr)) + -0.00034390556)) + (V * 0.68383867)"
19,3.1125155e-15,"((((((pr * 0.26261863) + 0.06867522) * V) + (pr * -0.31938335)) + -0.00034391202) + pr) + (V * 0.61516345)"
21,3.1025013e-15,"(V * 0.68383867) + (((pr * -1.1266249e-8) + (((pr * -0.31938335) + ((pr * 0.26261863) * V)) + -0.0003439132)) + pr)"
23,3.0449884e-15,"(V * 0.68383867) + ((((pr * -0.31938335) + ((pr * 0.26261863) * V)) + (((pr - V) * -1.1326808e-8) + -0.0003439132)) + pr)"
24,3.0446758e-15,"((((-0.31938335 * pr) + ((0.26261863 * pr) * V)) + (((pr - sin(V)) * -1.1326808e-8) + -0.0003439132)) + pr) + (0.68383867 * V)"
25,3.034301e-15,"(V * 0.68383867) + (pr + (((pr * -0.31938335) + ((0.26261863 * pr) * V)) + (((V * (-0.76272905 + pr)) * -1.1326808e-8) + -0.0003439132)))"
26,3.026991e-15,"((((pr * -0.31938335) + ((0.26261863 * pr) * V)) + ((-1.1326808e-8 * ((pr * V) - sin(V))) + -0.0003439132)) + pr) + (0.68383867 * V)"
27,3.0041976e-15,"(((((pr * 0.26261863) * V) + (pr * -0.31938335)) + ((((pr - 0.4263588) * (V + 0.70873374)) * -1.1326808e-8) + -0.0003439132)) + pr) + (V * 0.68383867)"
29,3.0034867e-15,"(0.68383867 * V) + ((((pr * -0.31938335) + ((pr * 0.26261863) * V)) + (-0.0003439132 + (-1.1326808e-8 * ((((V * pr) + pr) * 0.684771) - V)))) + pr)"
30,3.0010034e-15,"(0.68383867 * V) + ((((pr * -0.31938335) + ((pr * 0.26261863) * V)) + (-0.0003439132 + (-1.1326808e-8 * ((V * pr) + ((pr * 0.684771) - sin(V)))))) + pr)"
