Complexity,Loss,Equation
1,0.6317111,"h"
2,0.5468626,"sin(h)"
3,0.27109408,"omega + h"
4,0.18374673,"sin(omega) + h"
5,0.06856314,"0.68199646 * (h + omega)"
7,0.068560004,"(omega * 0.6806672) - (h * -0.68302727)"
8,0.05634893,"exp((h + omega) * 0.4918679) - 1.2690647"
9,0.014593135,"((h * sqrt(exp(omega))) + omega) / 1.6190276"
10,0.0026168656,"(omega + (h * exp(omega * 0.35447603))) * 0.661492"
11,1.1882656e-7,"(omega * 0.68000674) + (((omega * 0.2618446) + 0.68245137) * h)"
13,3.3813975e-15,"(omega * 0.680139) - ((h + -0.00050510763) * ((omega * -0.2618446) + -0.68245137))"
15,3.2666433e-15,"(omega * 0.68000674) + (h + ((h * ((omega * 0.2618446) + -0.31754863)) + -0.00034470978))"
17,3.183042e-15,"(omega * 0.68000674) + (h + (((h * 0.2618446) * omega) + ((h + 0.0010855381) * -0.31754863)))"
19,3.0830979e-15,"(omega * 0.68000674) + (h + ((((h + -0.0006296783) * -0.31754863) + ((omega * h) * 0.2618446)) + -0.0005446616))"
21,3.074261e-15,"(omega * 0.68000674) + ((((((h + h) - 0.026674999) * -0.15877432) + (omega * (h * 0.2618446))) - 0.0045800107) + h)"
23,2.9730285e-15,"(h + ((((omega * 0.2618446) * h) + (-0.00034471386 - (omega * -0.09746606))) + (h * -0.31754863))) + ((omega + omega) * 0.29127035)"
27,2.8738985e-15,"((omega + omega) * 0.2784646) + (((h * -0.28843147) + (((h * -0.029117173) + (-0.00034471115 - (omega * -0.12307758))) + ((omega * h) * 0.2618446))) + h)"
