Complexity,Loss,Equation
1,0.9999999,"1.033779e-5"
3,0.8637499,"g * -0.36918986"
5,0.7282566,"(g + m) * -0.36725557"
7,0.5978296,"(m + (x + g)) * -0.36605242"
9,0.49374124,"(kb - (g + (m + x))) * 0.35608283"
11,0.39050028,"(kb - (x + (m + (g - T)))) * 0.34972373"
13,0.32000852,"(T - (m + (((g - kb) - n_0) + x))) * 0.33665854"
14,0.31730533,"(T - (((x + g) + (m - kb)) - sin(n_0))) * 0.35115463"
15,0.29621398,"((T - ((x + (g + m)) - kb)) * -0.13959897) * (-2.512338 - n_0)"
17,0.23705854,"(((-2.176572 - n_0) * (T - ((x + m) + (g - kb)))) - n_0) * -0.1600387"
18,0.23017532,"(((-1.715095 - sin(n_0)) * (T - ((g + m) + (x - kb)))) - n_0) * -0.20476115"
19,0.20072724,"(((T - (((g + m) - kb) + x)) * ((-2.6578178 - n_0) + x)) - n_0) * -0.1308339"
20,0.19181584,"(((sin(x) + (-2.386453 - n_0)) * (T - ((g + x) + (m - kb)))) - n_0) * -0.14706668"
21,0.14639872,"((T - ((m + -2.7049618) + x)) * (((-2.9917326 - n_0) * (kb + (2.8057535 - g))) * -0.04178997)) + -0.94707024"
23,0.14104654,"((T - ((x + ((g - n_0) + m)) - kb)) * ((-3.8842852 - (n_0 - (g + m))) * -0.08831023)) - 0.264461"
24,0.13202214,"(((-3.850377 - ((n_0 - g) - m)) * -0.09318811) * (T - (((g + m) - kb) + (x - sin(n_0))))) - 0.2586529"
25,0.1088309,"((T - (g + ((m + (x - kb)) - n_0))) * ((-4.420599 - (n_0 - ((m + x) + g))) * -0.076393925)) - 0.30599353"
26,0.1023019,"((T - ((x - kb) + (g + (m - sin(n_0))))) * ((-4.2687526 - (n_0 - ((g + m) + x))) * -0.08184523)) - 0.30641612"
27,0.07928424,"-0.57878566 - ((((3.4981816 - (m + (g + x))) * (T - ((m + ((x - 1.1610273) + g)) - kb))) * (n_0 + 2.5787337)) * -0.0316996)"
29,0.071527265,"-0.6146595 - ((((T - ((m - kb) + ((x - 1.2465436) + g))) * (n_0 + 2.2833557)) * -0.028622862) * (kb - ((x - 4.2818475) + (m + g))))"
30,0.06586659,"-0.6363859 - (((sin(T) - ((((x - 1.3534464) + g) + m) - kb)) * ((n_0 + 2.384532) * -0.027995935)) * (T - ((g + m) + (x - 4.2722845))))"
32,0.060709927,"-0.6981571 - ((n_0 + 2.570135) * ((-0.026426112 * (T - (m + ((x + (g - 1.6713524)) - kb)))) * (sin(kb + T) - (((x - 3.77389) + m) + g))))"
33,0.056757506,"-0.6981571 - (((n_0 + 2.570135) * (T - ((((m + g) - 1.6713524) - kb) + x))) * ((sin(T) + (sin(kb) - (m + (x + (g - 3.77389))))) * -0.025247188))"
35,0.05355233,"-0.7234043 - ((T - (((x + g) - 1.6713524) + (m - kb))) * ((sin(T + 0.55588496) + (sin(kb) - ((x + g) + (m - 3.77389)))) * ((n_0 + 2.570135) * -0.024552003)))"
38,0.05259873,"-0.78924364 - (((n_0 + 2.5907874) * (T - ((x + m) + ((g - 3.8799086) - kb)))) * (((sin(T) + (sin(kb) - (((x - 2.8443928) + g) + m))) + sin(m - 1.4743716)) * -0.022918066))"
