Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8347089,"sin(p_d)"
3,0.76317054,"p_d * 0.4865695"
5,0.6756581,"(T - p_d) / -2.4850397"
6,0.67015123,"(p_d - sin(T)) * 0.46519464"
7,0.5801,"((T + kb) - p_d) / -2.6762078"
8,0.55163395,"exp((p_d - T) - (kb + 2.6700048))"
9,0.5050469,"((T + kb) - p_d) / (p_d + -3.1027224)"
10,0.44520223,"exp((p_d - T) / (kb - -3.1328807)) + -1.1674112"
11,0.39086646,"(kb - (Ef + p_d)) / ((p_d - T) + -3.7564986)"
12,0.31140205,"exp((p_d + (Ef - T)) / (kb - -3.3802626)) + -1.1981819"
13,0.26763567,"((kb - n_rho) - (Ef + p_d)) / ((p_d + -3.769546) - T)"
14,0.25731558,"(exp((p_d + (n_rho - T)) / 1.9300599) / (kb + 2.5280328)) - 0.71640885"
15,0.22824831,"((kb + T) - (Ef + (p_d + n_rho))) / ((p_d + -4.089234) - T)"
16,0.08421991,"(exp((((p_d - T) + Ef) + n_rho) / 2.0997708) / (kb + 2.5819678)) - 0.7228159"
18,0.08396593,"((exp((Ef + (p_d + (n_rho - T))) / 2.1284387) / (kb + 2.5935752)) - 0.71556586) * 1.0472741"
19,0.06402549,"(exp((n_rho + ((p_d + Ef) - T)) / 2.14827) / ((kb + 3.4053884) - sin(p_d))) - 0.6082504"
20,0.059318926,"(exp(((Ef + (n_rho + p_d)) - T) / 2.1284387) / (kb + 2.5922782)) - (0.7165833 - (p_d * 0.1622492))"
21,0.04720554,"(exp(sin(p_d)) * (sqrt(exp(-1.7884593 - T)) * (((n_rho + Ef) - -2.6037972) / (kb + 2.6026006)))) + -0.72327065"
22,0.03738571,"(((exp(-1.8629384 - T) + 0.22159183) * exp(sin(p_d))) * (((n_rho + Ef) - -2.7884033) / (kb + 2.6585593))) + -0.7555447"
23,0.028790293,"((sqrt(exp(-1.9740887 - T)) * exp(sin(p_d) + (n_rho / 2.7160523))) * ((Ef - -2.671479) / (kb + 2.5802426))) + -0.73690796"
24,0.017551243,"(exp((n_rho / 2.6229517) + sin(p_d)) * (((Ef - -2.5631323) * (exp(-1.9283363 - T) + 0.2173328)) / (kb + 2.6229517))) + -0.72858196"
25,0.013710104,"((Ef - -2.6489806) * (exp((n_rho / 2.7941787) + (p_d * 0.6517555)) * ((exp(-1.7983402 - T) + 0.2547066) / (kb + 2.6927183)))) + -0.7885564"
26,0.012024951,"(((Ef - -2.6489806) * exp(sin(p_d * 0.7943655) + (n_rho / 2.7941787))) * ((exp(-1.7983402 - T) + 0.2547066) / (kb + 2.6927183))) + -0.78688264"
27,0.009818278,"((((exp((n_rho / 3.1185627) + (p_d * 0.5452075)) + -0.26955602) * (exp(-1.5633565 - T) + 0.3139672)) / (kb + 2.634643)) * (Ef - -2.6108954)) + -0.7259918"
28,0.008442713,"((((exp(-1.5840864 - T) + 0.28396913) * (exp((n_rho / 3.1606731) + sin(p_d * 0.63907635)) + -0.26018065)) * (Ef - -2.5960941)) / (kb + 2.5718033)) + -0.7195979"
29,0.008328423,"(((Ef - -2.5960941) * (exp(sin(p_d * 0.63907635) + sin(n_rho / 3.1606731)) + -0.26018065)) * ((exp(-1.5840864 - T) + 0.28396913) / (kb + 2.5718033))) + -0.71355975"
31,0.0050723557,"(((Ef - -2.604284) * (exp(-1.6959991 - T) + 0.26615146)) * ((exp((p_d * (n_rho + 1.4593697)) / 4.1124268) + ((n_rho + p_d) / 3.0091083)) / (kb + 2.6132991))) + -0.7325674"
32,0.0037144015,"-0.72073454 + ((exp(((n_rho + 1.5527636) * p_d) / 4.075082) + sin((p_d + n_rho) / 2.7041757)) * ((exp(-1.6942139 - T) + 0.2594063) * ((Ef - -2.5650697) / (kb + 2.6084867))))"
33,0.0035066153,"(((exp(p_d * sin((n_rho + 1.4273881) / 3.5575514)) + sin((p_d + n_rho) / 2.7041757)) * (exp(-1.6942139 - T) + 0.2594063)) * ((Ef - -2.5650697) / (kb + 2.6084867))) + -0.72073454"
35,0.0034812256,"((((exp(p_d * sin((n_rho + 1.4323429) / 3.5575514)) + sin((n_rho + p_d) / 2.7041757)) * ((Ef * 0.9883919) - -2.5650697)) * (exp(-1.6942139 - T) + 0.2594063)) / (kb + 2.606861)) + -0.72073454"
37,0.0034676164,"(((sin(0.0054929256 + ((p_d + n_rho) / 2.7041757)) + exp(p_d * sin((n_rho + 1.4323429) / 3.5575514))) * (((0.9883919 * Ef) - -2.5650697) * (exp(-1.6942139 - T) + 0.25650677))) / (kb + 2.606861)) + -0.72073454"
