Complexity,Loss,Equation
1,1.0,"7.7559675e-10"
3,0.95094573,"I1 * 0.21766716"
4,0.7570778,"sin(delta + -1.93721)"
5,0.22062604,"(delta * delta) + -0.9999998"
7,0.17819273,"((delta + -0.20845312) * delta) + -0.99964416"
9,0.17286573,"(delta * delta) - ((I2 * -0.24116144) + 0.9811729)"
10,0.17230418,"(((delta - 0.19128071) * sin(delta)) * 1.5423083) + -1.1232957"
11,0.12551929,"(delta * delta) + (((I2 + I1) * 0.21043716) + -1.0076096)"
13,0.060240038,"(((I1 + I2) + 4.6604424) * ((delta * delta) * 0.21086687)) + -0.9797854"
14,0.056624595,"((I1 + (I2 + 4.600462)) * sin((delta * 0.22590847) * delta)) + -1.0006828"
15,0.014284874,"(((I2 + I1) + 4.6604424) * (delta * (0.21086687 * (delta - 0.21005177)))) + -0.9797854"
16,0.008876751,"(((delta - 0.19128071) * sin(delta)) * (((I1 + I2) * 0.30970436) + 1.5423083)) + -1.1232957"
18,0.004696563,"(((I2 + I1) + 4.889557) * (sin(((delta - 0.2371319) * delta) * 0.3808886) / 1.590022)) + -1.0579538"
24,0.0033466683,"(((I1 * I2) * -0.03198368) + -1.0653251) + (sin(delta * ((delta - 0.23894472) / 2.5524173)) * (((I1 + I2) * 0.617571) + 3.0158486))"
26,0.0033369611,"(I1 * (I2 * -0.03198368)) + (-1.0653251 + ((sin((delta * (delta - 0.23894472)) / 2.5524173) * (3.0124507 + ((I2 + I1) * 0.617571))) + 0.0033980147))"
29,0.0021696687,"((((I1 + I2) * 0.6189822) + 3.02066) * sin((delta / 2.5822861) * (delta - 0.23358785))) + (((I2 * (I1 / exp(delta * delta))) * -0.09022961) + -1.0539458)"
31,0.0021209405,"(I2 * (-0.09022961 * (I1 / exp((delta - 0.23358785) * delta)))) + ((sin((delta / 2.5822861) * (delta - 0.23358785)) * (3.019853 + ((I1 + I2) * 0.6189822))) + -1.0539458)"
33,0.0021051203,"((-0.09022961 * (I2 * I1)) / exp((delta - 0.23358785) * (delta / 0.93214995))) + (((3.019853 + ((I1 + I2) * 0.6189822)) * sin((delta / 2.5822861) * (delta - 0.23358785))) + -1.0539458)"
36,0.0020674688,"((sin((delta / 2.5822861) * (delta - 0.23358785)) * (((I1 + I2) * 0.6189822) + 3.02066)) + ((I2 * (sin((delta * delta) + 1.0289562) * (I1 / exp(delta * delta)))) * -0.09022961)) + -1.0539458"
37,0.0015031843,"((sin(((delta - 0.2400145) / 2.709656) * delta) * (((I1 + I2) * 0.6408034) + 3.146106)) + -1.0696052) + (((I1 * (0.7602776 - ((I2 * 0.22708917) * I1))) * (I2 * -0.11373571)) / exp(delta * delta))"
39,0.0015031842,"((((I1 + I2) * 0.6408034) + 3.146106) * sin(((delta - 0.2400145) / 2.709656) * delta)) + ((((I1 * ((0.031956602 - (I2 * (I1 * 0.22708917))) + 0.728321)) * (I2 * -0.11373571)) / exp(delta * delta)) + -1.0696052)"
40,0.0014644676,"(((I2 * -0.08240207) / exp(delta * delta)) * ((((sin(I1) - I2) * (I1 * 0.31782162)) + 0.6225051) * I1)) + ((sin(((delta - 0.22915894) * delta) / 2.5816061) * (((I1 + I2) * 0.6225051) + 3.0782387)) + -1.0892974)"
