Complexity,Loss,Equation
1,0.9999999,"3.4498496e-6"
3,0.5031186,"theta * -0.7052111"
4,0.40623796,"sin(0.3239093 - theta)"
5,0.35554913,"log(1.2512742 - sin(theta))"
6,0.27842298,"sin((theta - 0.3517552) * -1.5612819)"
8,0.26164386,"sin(0.5536644 - (theta * 1.5713313)) * 1.1799202"
10,0.16057174,"sin((theta - -1.6456465) * 1.5604863) * sqrt(exp(r))"
11,0.1564975,"exp(F * 0.44123945) * sin((theta * 1.54905) - -2.5682342)"
12,0.07226349,"sqrt(exp(r + F)) * sin((theta - -1.6470361) * 1.5497665)"
13,0.025641937,"exp((r + F) / 2.5554636) * sin((theta * 1.54905) - -2.5682342)"
14,0.024201991,"exp(sin((F + r) * 0.4775908)) * sin((theta - -1.655405) * 1.5482938)"
15,0.0091959005,"(exp(0.40406844 * (F + r)) * sin((theta - -1.725688) * 1.4547215)) + -0.16086872"
16,0.007407204,"(exp(sin((r + F) * 0.500023)) * sin((theta - -1.7302934) * 1.4495215)) + -0.16444461"
17,0.007297539,"((sin((theta - -1.7261962) * 1.4472029) * exp((r + F) * 0.37182415)) * 1.0709013) + -0.17285314"
18,7.865431e-14,"((sin((theta * 1.4441789) + -0.6403119) * ((r * -0.17983586) - 0.46821946)) * (F + 2.6008887)) + -0.17470689"
24,2.535689e-14,"(((r * -0.17983483) - 0.46821672) * (sin((theta * 1.4441788) + -0.6403122) * (((6.283616e-6 * (-0.51916635 + F)) + F) + 2.6009073))) + -0.1747071"
26,1.2099287e-14,"((((F + ((F + (F + -1.0418078)) * 3.0542305e-6)) + 2.6009073) * sin((theta * 1.4441788) + -0.6403122)) * ((r * -0.17983481) - 0.46821672)) + -0.17470708"
28,9.56924e-15,"((sin((theta * 1.4441788) + -0.6403122) * (((((F + (F + -1.5931185)) + F) * 2.00238e-6) + F) + 2.6009073)) * ((r * -0.17983481) - 0.46821672)) + -0.17470708"
30,9.503467e-15,"(((((((F + ((F + F) - -0.020279469)) + -1.6184626) * 2.0002176e-6) + F) + 2.6009073) * sin((theta * 1.4441788) + -0.6403122)) * ((r * -0.17983481) - 0.46821672)) + -0.17470708"
34,9.371144e-15,"(((r * -0.17983481) - 0.46821672) * ((((((((F + F) + -1.6184626) + F) - ((F - 1.4469295) * 0.015340775)) * 2.002739e-6) + F) + 2.6009073) * sin((theta * 1.4441788) + -0.6403122))) + -0.17470708"
36,9.343829e-15,"(((r * -0.17983481) - 0.46821672) * (((((-1.6184626 + (F + ((F + F) - ((F - sqrt(exp(theta))) * 0.015340775)))) * 2.002739e-6) + F) + 2.6009073) * sin((theta * 1.4441788) + -0.6403122))) + -0.17470708"
