Complexity,Loss,Equation
1,0.12372763,"c"
3,0.119900495,"0.9381157 * c"
5,0.11931547,"c + (v * 0.06646003)"
6,0.100969024,"exp(u * 0.1424471) * c"
7,0.09012289,"c + ((u * v) * -0.18306643)"
8,0.080952086,"c * exp((u + v) * 0.13228293)"
9,0.06502097,"c + ((u * (c - v)) * 0.17216177)"
10,0.064755894,"sin(((c - v) * u) * 0.18167119) + c"
11,0.043315917,"c + ((u - c) * ((c - v) * 0.12961018))"
12,0.039140552,"(((u - c) * 0.15795796) * (sin(c) - v)) + c"
13,0.02235866,"((((u - c) * 0.16343684) * (c - v)) + c) + 0.16258246"
14,0.021880921,"(sin(((u - c) * 0.18922856) * (c - v)) + c) - -0.16368115"
15,0.01427438,"((((u + -0.39062053) - c) * (c - v)) * 0.16343684) + (c + 0.1627102)"
16,0.0075903013,"(log(((v - c) * 0.15639904) + 0.9708295) * (c - u)) + (c + 0.16597946)"
17,0.0065284357,"(((((v + -3.2223618) * (c - v)) * (u - c)) * -0.050675567) + c) + 0.16173948"
18,0.0062129414,"c + ((((sin(v) + -2.2464905) * ((u - c) * -0.072032206)) * (c - v)) + 0.1591693)"
19,0.0027716085,"(c + 0.16360529) + ((((u + v) + -5.331268) * ((c - v) * -0.030729042)) * (u - c))"
20,0.0026738597,"(c + 0.16360529) + (((u + v) + -5.3619967) * sin(((u - c) * (c - v)) * -0.030729042))"
21,0.002540008,"(c + (((v + u) + -5.159336) * (((c / 1.0924636) - v) * ((u - c) * -0.032737188)))) + 0.15310615"
22,0.0025305364,"(((((v + u) + -5.159336) * sin(((c / 1.092112) - v) * -0.032737188)) * (u - c)) + c) + 0.15310615"
23,0.0010318722,"(c + 0.16102175) + (((((c * c) - 7.234908) + (u + v)) * ((u - c) * (c - v))) * -0.029827066)"
24,0.000895836,"c + (0.16129442 + ((((u + (v + (sin(c) * c))) - 6.375831) * (c - v)) * (-0.03154385 * (u - c))))"
25,0.0008415111,"c + (0.1617758 + (((v + (u - 6.395217)) + (c * sin(c))) * sin(((u - c) * (c - v)) * -0.03159988)))"
26,0.0007531836,"c + ((((c - v) * (u - c)) * ((sin(c) * (c * -0.04416451)) + (((u + v) * -0.030880125) - -0.21594831))) + 0.16074234)"
27,0.00074027525,"(((c - v) * ((((c * -0.044562567) * sin(c)) + sin(((u + v) * -0.03174151) - -0.2185757)) * (u - c))) + 0.16069709) + c"
28,0.00071412884,"c + ((((c - v) * ((0.24484506 * (c * c)) + (sin((v + u) * 0.39773914) - 2.192148))) * ((u - c) * -0.09240197)) + 0.16115831)"
29,0.0006126886,"c + (((((u - c) * -0.08824909) * (c - v)) * (sin((u + v) * 0.42760977) + (((c * 0.4804979) * sin(c)) - 2.4213362))) - -0.16056453)"
30,0.0005520875,"(c + (sin((u - c) * ((c - v) * -0.087515034)) * (sin((u + v) * 0.4688674) + (((sin(c) * 0.4090812) * c) - 2.428279)))) - -0.1619193"
31,0.00052248547,"(c + 0.16130641) + ((c - v) * ((u - c) * ((((c * (sin(c) * 0.50792426)) - 2.4089143) + sin(((u + v) + -0.36490658) * 0.458206)) * -0.0857942)))"
33,0.0004986344,"(((sin(((u + v) + -0.35569468) * 0.4812375) + (((c * 0.50996846) * sin(c)) - 2.4101741)) * ((c - v) * (u - c))) * -0.0858998) + ((c / 0.9936764) + 0.16070817)"
34,0.00046067566,"(c + 0.16149306) - ((c - v) * (((u - c) * (v + ((u + -5.7189326) + ((c - ((u * -0.30901885) * (v + -0.7433233))) * sin(c - -0.18627389))))) * 0.03750586))"
36,0.00040437272,"c + (0.16133186 - ((u - c) * ((c - v) * (((((c * (sin(c - -0.43204486) - ((u - 0.4160661) * ((v + -0.3986035) * -0.23585021)))) + u) - 5.411495) + v) * 0.039674282))))"
38,0.0003977212,"(c + ((c - v) * (((u - c) * ((sin(c + 0.28243604) * c) + (((v - 6.166212) - ((c * 0.16726618) * (v - (u * (v + -0.9284899))))) + u))) * -0.035280824))) + 0.16387571"
39,0.00039506788,"((((u - c) * (c - v)) * (((((v + u) - (sin(c) * ((((v + -1.0237433) * u) - v) * -0.2407273))) + (sin(c + 0.18320726) * c)) - 6.2017665) * -0.03534524)) + 0.16209291) + c"
40,0.00038294084,"(c + (((c - v) * (((u + ((sin(c + 0.28243604) * c) + (v - 6.166212))) - (((v - ((v + -0.9284899) * u)) + 0.1967817) * (c * 0.16726618))) * -0.035280824)) * (u - c))) + 0.16387571"
