Complexity,Loss,Equation
1,0.92067206,"T"
2,0.7580641,"sin(kb)"
3,0.7087628,"T / 1.8534132"
4,0.5978517,"sin(T + kb)"
5,0.4199777,"0.53795594 * (mob + T)"
7,0.1341841,"((kb + T) + mob) * 0.5354414"
9,0.13418287,"(T + ((kb + mob) / 1.0017303)) * 0.53600514"
10,0.03671529,"exp(((mob + kb) + T) * 0.40626293) + -1.2762177"
12,0.026024228,"exp((kb + ((T + mob) - -1.3898413)) * 0.30926687) + -1.7721628"
14,0.016415257,"((exp((kb + mob) * 0.21086735) + -0.50964546) * (T + 2.460729)) + -1.3191862"
15,2.040224e-12,"((((kb * 0.07946538) + 0.20667243) * (T + 2.6012807)) * (mob + 2.5934489)) - 1.3961121"
17,7.970886e-14,"((((T + 2.6012893) * (mob + 2.593457)) * ((kb * 0.32840976) + 0.8541261)) * 0.2419688) - 1.3961172"
23,4.6846326e-15,"((0.5359946 * T) + -0.0018402162) + (((T * 0.20667173) + 0.5376134) * (mob + ((kb * ((mob * 0.38449773) + -0.0028209954)) + kb)))"
25,4.400894e-15,"(((((((mob * 0.38449776) + -0.002820991) * kb) + 0.099627785) + mob) + kb) * ((T * 0.20667173) + 0.5376134)) + ((T * 0.51540434) + -0.05540144)"
27,4.3355826e-15,"((T * 0.51540434) + -0.05540144) + ((mob + (kb + (((kb * mob) * 0.38449776) + ((kb * -0.0028209947) + 0.099627785)))) * ((T * 0.20667173) + 0.5376134))"
