Complexity,Loss,Equation
1,1.0,"0.0"
2,0.9411419,"sin(T)"
3,0.7708323,"-0.47890604 * V"
5,0.60091865,"(V - T) * -0.4473984"
6,0.60091835,"(V - T) * sin(-0.46362257)"
7,0.43232113,"((V - kb) - T) * -0.43556887"
9,0.26389214,"(V - ((kb + n) + T)) * -0.42954487"
11,0.26050866,"((kb + n) + ((V / -0.86528957) + T)) * 0.4140459"
12,0.060773227,"exp(((n + (T - V)) + kb) * 0.35492745) + -1.289904"
14,0.050142273,"(exp((kb + (T + n)) * 0.45858312) / (V + 2.26066)) + -0.7877987"
16,0.022095807,"(exp(((n + kb) + (T + 2.136579)) * 0.35905156) / (V + 2.6701233)) + -1.1613443"
18,0.019736119,"((exp(((n + kb) + (T + 3.0535536)) * 0.30821154) + -0.7114633) / (V + 2.5833495)) + -1.0333457"
19,2.9948248e-9,"((((T + 2.593506) * ((n + 2.5969698) / (V + 2.5908267))) * 0.13221171) * (kb + 2.594658)) + -1.0761786"
25,1.870052e-9,"(((0.13221079 * ((2.5969698 + n) * (2.594658 + kb))) / (2.5908253 + V)) * ((T + (0.105058916 / (V + -28.975153))) + 2.596967)) + -1.076122"
27,1.8700401e-9,"(((((kb + 2.594658) * (n + 2.5969698)) * 0.13221079) / (V + 2.5908253)) * ((T + 2.596967) + (0.105058916 / ((V - -0.0057747485) + -28.975153)))) + -1.076122"
29,1.7414487e-9,"-1.076122 + (((T + 2.596967) + (0.105058916 / (V + (-28.687311 - (0.223228 * kb))))) * (((2.5969698 + n) / (V + 2.5908267)) * ((kb + 2.594658) * 0.13221171)))"
31,1.5583171e-9,"(0.13221171 * (((0.105058916 / ((V - (kb / (n + 2.4220483))) + -28.687311)) + (T + 2.596967)) * ((kb + 2.594658) * ((n + 2.596967) / (V + 2.5908267))))) + -1.076122"
