Complexity,Loss,Equation
1,0.15751578,"x"
3,0.15131296,"x * 0.92129755"
5,0.08149785,"x - (t * 0.27566248)"
7,0.021221757,"x - ((t + u) * 0.26150244)"
9,0.014976595,"(x * 0.9207505) - ((u + t) * 0.26150244)"
11,0.0145213995,"(((t * -0.3005261) + x) - (u * 0.26884434)) * 0.9204374"
13,0.010021813,"(x + ((t + ((c * 0.2503255) + u)) * -0.28556633)) * 0.9172845"
15,0.0095398305,"((((t * -0.29909334) + x) - (c * 0.07861231)) - (u * 0.26812986)) * 0.9204374"
16,0.0074383756,"(((u + t) * -0.28174466) + ((exp(c * -4.149869) * 0.0003904418) + x)) / 1.0763125"
18,0.005980979,"(x * 0.9271123) + (((((exp(c * -2.4945443) * -0.021152321) - -0.17416485) + u) + t) * -0.2625397)"
19,0.0054059913,"(((x + ((t + (-0.40744874 / (c + 1.9267383))) * -0.30058804)) - (u * 0.27051505)) + -0.10912762) * 0.92480505"
21,0.0053811506,"(((x + (((-0.40744874 / (c + 1.9267383)) + t) * -0.30058804)) + (-0.18691935 - (u * 0.27051505))) * 0.92480505) - -0.07779173"
22,0.0030127487,"(((t + (exp(c * -3.8806186) * -0.0020438097)) * ((u * -0.06449525) + -0.29819468)) + (x + (u * -0.27754596))) * 0.91669935"
23,0.0014651474,"(((t + (-0.38703975 / (c + 1.8817306))) * ((u * -0.06794271) + -0.2996597)) + ((x - (u * 0.3007663)) + -0.10601146)) / 1.0951196"
24,0.0013991129,"(((x + ((t + (exp(c * -2.5614338) * -0.020184282)) * ((u * -0.064971566) + -0.29848242))) - (0.27993113 * u)) + -0.057506084) * 0.9204993"
28,0.0005573001,"(((-0.30643126 + (u * -0.06832112)) * (t + (exp((x * 0.28604648) + (c * -2.562116)) * -0.019560434))) + ((x + -0.06314) - (u * 0.2884979))) * 0.9023465"
30,0.00034667444,"0.9072433 * ((((-0.18969306 - u) * 0.29462954) + x) + (((u * -0.05924176) + -0.30229023) * ((-0.017548647 * exp((-2.5477967 * c) + ((x + u) * 0.24122234))) + t)))"
32,0.00034612848,"(((-0.19318378 - u) * 0.29730594) + (x + ((t + ((exp(((x + u) * 0.2453514) + (c * -2.5492067)) - t) * -0.01781854)) * ((u * -0.059786357) + -0.29840136)))) * 0.9072737"
34,0.00033383237,"((((-0.19708416 - u) * 0.29730594) + x) + ((((exp((c * -2.5492067) + ((u + x) * 0.2453514)) + (t * c)) * -0.01781854) + t) * ((-0.05975453 * u) + -0.29840136))) * 0.9072737"
35,0.0002761124,"(((-0.19708416 - u) * 0.29730594) + (x + ((((exp((c * -2.5492067) + ((u + x) * 0.2453514)) - (t / exp(c))) * -0.01781854) + t) * ((-0.05975453 * u) + -0.29840136)))) * 0.9072737"
36,0.00025614307,"(((-0.19708416 - u) * 0.29730594) + (x + ((t + ((exp(((x + u) * 0.2453514) + (c * -2.5492067)) - (t / (c + 1.7847162))) * -0.01781854)) * ((u * -0.059786357) + -0.29840136)))) * 0.9072737"
37,0.00025467173,"(((sin(-0.19708416) - u) * 0.29730594) + (x + ((((exp(((x + u) * 0.2453514) + (c * -2.5492067)) - (t / (c + 1.7847162))) * -0.01781854) + t) * ((u * -0.059786357) + -0.29840136)))) * 0.9072737"
38,0.0002356609,"(((-0.19708416 - u) * 0.29730594) + (x + ((t + ((exp(((x + u) * 0.2453514) + (c * -2.5492067)) - ((t + -0.425042) / (c + 1.7847162))) * -0.01781854)) * ((u * -0.059786357) + -0.29840136)))) * 0.9072737"
