Complexity,Loss,Equation
1,0.9234657,"m"
2,0.75990206,"sin(m)"
3,0.7102685,"m * 0.53845125"
4,0.60002524,"sin(z + m)"
5,0.4226141,"(m + z) * 0.53668827"
7,0.13434683,"((m + g) + z) / 1.8616577"
10,0.03744588,"exp((z + (m + g)) * 0.40819606) + -1.2711573"
12,0.026555788,"(exp((m + (z + g)) * 0.30934057) + -1.1584103) * 1.5255406"
14,0.016588258,"((g + 2.4774132) * (exp((m + z) * 0.21114355) + -0.5044939)) + -1.3394656"
15,1.619833e-14,"((((0.07933211 * m) + 0.20631233) * (z + 2.5992296)) * (g + 2.6058257)) + -1.397321"
19,1.5450887e-14,"(((((g * 0.07933211) + 0.20672566) * m) + ((g + 2.6058257) * 0.20631233)) * (z + 2.5992296)) + -1.397321"
23,1.3966048e-14,"(((z + 2.5992296) * m) * ((g + 2.605826) * 0.079332106)) + (((z + 2.5992296) * ((g + 2.605826) * 0.20631233)) + -1.3973211)"
