Complexity,Loss,Equation
1,0.80052114,"alpha"
2,0.6698476,"sin(alpha)"
3,0.62064344,"alpha + n"
4,0.48533833,"alpha + sin(n)"
5,0.28994313,"(alpha + n) / 1.6823881"
7,0.2735232,"(alpha + n) / (2.6421847 - n)"
8,0.16294953,"exp((n + alpha) * 0.49212158) + -1.2705534"
9,0.14918642,"((alpha * sqrt(exp(n))) + n) / 1.7524084"
10,0.14639543,"(((sin(n) + 1.0514219) * alpha) + n) / 1.7629336"
11,0.1406389,"(n / 1.6850462) + ((alpha * (n + 1.5351647)) * 0.3898733)"
12,0.099668555,"exp(((n + alpha) - (Ef * -0.32938662)) * 0.49212158) + -1.2851181"
14,0.09962369,"(exp(0.49212158 * (n + (alpha - (-0.32938662 * Ef)))) + -1.2821819) * 0.99103874"
15,0.069019295,"(n + ((alpha - ((epsilon + Ef) * -0.27226895)) * (n + 1.2668003))) / 2.0720303"
16,0.053536925,"(((1.0786031 + sin(n)) * (((Ef + epsilon) * 0.2925548) + alpha)) + n) / 1.7837538"
17,0.009487708,"(((epsilon + (Ef + 5.2204947)) * (alpha + 1.5493007)) * ((n * 0.07364737) + 0.11413787)) + -0.9220382"
19,0.009431786,"(((alpha + 1.5493007) * ((epsilon + (Ef + 5.2204947)) * ((n * 0.07288776) + 0.11413787))) + -0.9220382) * 1.0104216"
20,0.008050273,"((((Ef + epsilon) + 4.578752) + sin(n)) * (((n * 0.06614427) + 0.11927399) * (alpha + 1.5318456))) + -0.910276"
21,0.0065832017,"(((((alpha * 0.45430207) + Ef) + epsilon) + 4.794977) * ((alpha + 1.6746286) * ((n * 0.069551975) + 0.10863543))) + -0.9195896"
23,0.0035771118,"(((n * 0.07011846) + 0.11517589) * ((alpha + 1.6119823) * ((Ef + ((n + alpha) * 0.45197535)) + (epsilon + 4.1917973)))) + -0.88070136"
25,0.003574716,"(((n * 0.07011846) + 0.11517589) * ((alpha + 1.6119823) * (Ef + ((epsilon + 4.1917973) + ((n + (alpha * 0.97181386)) * 0.4571503))))) + -0.88070136"
27,0.0023735021,"((alpha + 1.5675883) * (((((alpha + n) + (Ef * epsilon)) * 0.25556898) + ((epsilon + Ef) + 4.6307545)) * ((n * 0.07293235) + 0.115231775))) + -0.8955576"
28,0.0014962602,"(((alpha + 1.7045012) * ((n * 0.066112526) + 0.10943402)) * (((Ef + (((exp(n) * alpha) + (epsilon * Ef)) * 0.1557742)) + epsilon) + 4.8343334)) + -0.9425144"
29,0.0011347573,"((((n * 0.06994838) + 0.114948906) * ((((Ef * 0.18489729) * epsilon) + 4.2825737) + (Ef + (((alpha + n) * 0.42160094) + epsilon)))) * (alpha + 1.6259023)) + -0.8964057"
33,0.0010666787,"((n + 1.6732959) * ((((((epsilon + Ef) - ((((Ef * 0.4398301) * epsilon) + (n + alpha)) * -0.4379576)) * 0.24258435) * (alpha + 1.5636638)) + (alpha + 1.6523786)) * 0.2911685)) + -0.9047901"
35,0.00079911796,"(0.3044424 * ((((epsilon + (Ef - (((alpha * (n + 1.2300152)) + (n + (Ef * epsilon))) * -0.20842762))) * (0.2344775 * (alpha + 1.5454315))) + (1.6971952 + alpha)) * (n + 1.6767724))) + -0.9343942"
37,0.0007785428,"((((((Ef + (epsilon - ((((n * alpha) + (((Ef * epsilon) * 0.85254294) + alpha)) + n) * -0.22472833))) * 0.23042995) * (alpha + 1.5589232)) + (alpha + 1.6717029)) * (1.7002404 + n)) * 0.30356917) + -0.92844"
39,0.0007203531,"((((alpha + ((alpha + 1.5568928) * (((Ef - (((n + ((n * alpha) + (Ef * (epsilon + (n * 0.20844115))))) + alpha) * -0.22181603)) + epsilon) * 0.22570553))) + 1.6906509) * 0.30291134) * (n + 1.7106234)) + -0.9395127"
