Complexity,Loss,Equation
1,1.0,"0.0"
2,0.88367957,"sin(G)"
3,0.7951737,"G * 0.45249048"
4,0.7483137,"sin(G + m2)"
5,0.5959962,"(m1 + G) * 0.4485984"
7,0.39964452,"((m2 + G) + m1) * 0.44577754"
9,0.38230482,"((m1 + G) + (m2 - y1)) * 0.39148116"
10,0.3571079,"((G - sin(z1)) + (m1 + m2)) * 0.42501992"
11,0.34720406,"(((m1 + m2) + G) * 0.44569) - (0.22948255 * y1)"
12,0.32770205,"(m1 + (G + (m2 - sin(z1 - z2)))) * 0.43764573"
13,0.29442194,"((m2 + (m1 + G)) * 0.44629827) - ((z1 + y1) * 0.23006131)"
15,0.24235821,"((m2 + (G + m1)) * 0.44629827) - (((z1 + y1) - z2) * 0.23006131)"
17,0.1911014,"((m2 + (m1 + G)) * 0.44629827) - (0.22916979 * (x1 + (z1 + (y1 - z2))))"
19,0.13953191,"((m1 + (m2 + G)) * 0.44629827) - (((y1 - y2) + ((x1 + z1) - z2)) * 0.22916979)"
21,0.08813949,"((m2 + (m1 + G)) * 0.44629827) - (((y1 + (x1 - z2)) + ((z1 - x2) - y2)) * 0.22820885)"
25,0.07055909,"(0.2254586 + (G * 0.026146375)) * ((((m2 + m1) + G) * 1.955768) - (((y1 + (x1 - y2)) + (z1 - x2)) - z2))"
26,0.06981734,"((sin(G) * 0.03928527) + 0.23035696) * ((((G + m2) + m1) * 1.9112535) - (((x1 - y2) + (y1 + (z1 - x2))) - z2))"
27,0.06248255,"(((m1 + G) * 0.02227308) + 0.23243363) * ((((m2 + G) + m1) * 1.8876956) - (((y1 - x2) + ((z1 - z2) + x1)) - y2))"
28,0.062480513,"(sin((m1 + G) * 0.022274923) + 0.23243363) * ((((m2 + G) + m1) * 1.8876956) - (((((z1 + x1) - y2) + y1) - x2) - z2))"
29,0.053436134,"((((m1 + G) * 0.028705783) + 0.23661724) * ((((m1 + G) + m2) * 1.8407842) - ((((z1 - x2) + (x1 + y1)) - z2) - y2))) + -0.09519106"
31,0.04423221,"(((((m1 + G) + m2) * 1.9577177) - (((x1 + (y1 - y2)) - z2) + (z1 - x2))) * (((G + (m2 + m1)) * 0.025020152) + 0.22752191)) + -0.15472648"
32,0.044110462,"((((m1 + (G + m2)) * 1.8407842) - ((x1 + y1) + (((z1 - x2) - y2) - z2))) * (((G + (sin(m2) + m1)) * 0.028705783) + 0.23661724)) + -0.14564295"
33,0.038360998,"((((G + (m2 + m1)) * 1.8773283) - ((y1 + (z1 + ((x1 - x2) - y2))) - z2)) * ((((m2 + (m1 + G)) + z2) * 0.022723205) + 0.23613214)) + -0.14881945"
34,0.03828573,"((((G + (m2 + m1)) * 1.8773283) - (((y1 + ((z1 + x1) - x2)) - y2) - z2)) * ((((m1 + (sin(x2) + m2)) + G) * 0.023076614) + 0.23613214)) + -0.14881945"
35,0.033503618,"((((G + m2) + m1) * 1.9038545) - (((y1 + 0.6447424) - z2) + (((x1 + z1) - x2) - y2))) * (((G + (m2 - ((y1 - x2) - m1))) * 0.020085393) + 0.23814751)"
37,0.028487952,"(((m2 + (m1 + G)) * 1.9059474) - ((y1 + 0.65687317) + ((((z1 + x1) - x2) - z2) - y2))) * ((((G + m2) - ((z1 - (m1 - y1)) - z2)) * 0.018883247) + 0.23814751)"
39,0.023688154,"((((z2 - ((z1 - ((x2 + m1) - y1)) - m2)) + G) * 0.018736886) + 0.24343786) * (((m1 + (m2 + G)) * 1.8857371) - ((z1 + (((y1 + 0.7161209) - x2) + (x1 - z2))) - y2))"
