Complexity,Loss,Equation
1,0.6509451,"m"
2,0.5607621,"sin(m)"
3,0.5450128,"m * 0.67448914"
5,0.43238693,"(m + u) * 0.5345209"
6,0.40280366,"(m + sin(u)) / 1.6056616"
7,0.29115286,"((u + m) + v) * 0.48824373"
8,0.25302783,"((u + w) / 2.5494268) + sin(m)"
9,0.14490612,"((u + w) + (m + v)) / 2.1503608"
10,0.09823349,"sin(m) + (((v + w) + u) / 2.5373025)"
11,0.08329914,"(m * 0.6792275) + ((u + (w + v)) * 0.39303)"
12,0.038600378,"sin(m) + ((w + (v + u)) / (2.9864583 - m))"
13,0.023716565,"(m * 0.6787523) + (((w + u) + v) / (2.98489 - m))"
14,0.02105648,"((((u + v) + w) / (2.0669973 - sin(m))) + m) * 0.6884789"
15,0.015761917,"((m + 2.6068516) * (((v + u) + w) / 6.6212244)) + (m * 0.67835546)"
17,0.015758319,"((0.67835546 * m) + (((v + u) + w) * ((2.6068516 + m) / 6.6212244))) - -0.0015715451"
18,0.011353101,"(((m + 2.5282528) * (u + (exp((v * 0.23494856) + 1.4457836) + w))) * 0.15478209) + -1.7054006"
20,0.010611982,"(((2.6282816 + m) * (w + ((exp(v / 5.360408) * v) + (u + 4.3763857)))) / 6.736732) + -1.7800707"
21,0.010509199,"(((w + 4.3453393) + (u + (v * ((5.4305263 + v) / 5.3484497)))) * ((m + 2.6270247) / 6.7019825)) + -1.7733467"
23,0.01047928,"(((-0.18557523 + (((((5.333578 + v) / 5.3132105) * v) + u) + w)) / 6.5845885) * (m + 2.5854063)) + (m * 0.676506)"
24,0.008732378,"((((u + ((v * exp((v * 0.11947158) * (w * w))) + w)) + 4.317881) * (m + 2.5554945)) * 0.15321814) + -1.7334365"
25,0.008407412,"((0.15125759 * (m + 2.6130338)) * (((v * ((w * ((0.15125759 * w) * v)) + 0.9948206)) + (u + 4.2955613)) + w)) + -1.7557465"
26,0.00826173,"(((m + 2.6130338) * ((((v * (sin(w * ((w * 0.15125759) * v)) + 0.9948206)) + 4.2955613) + u) + w)) * 0.15125759) + -1.7557465"
27,0.0052863564,"((((u + (((w * w) + ((v + 5.377318) * v)) / 5.377318)) + w) * ((m + 2.5620105) / 6.516002)) + (m * 0.6239433)) + -0.14471789"
29,0.0052576317,"(m * 0.59144825) + ((((m + 2.5934842) * ((((((v + 5.2164335) * v) + (w * w)) + 0.9992989) / 5.2031283) + (w + u))) / 6.590738) + -0.2248243)"
31,1.9270512e-6,"-0.2250918 + ((((m + 2.5937104) * ((((u * u) + ((v * (v + 5.2087274)) + (w * w))) / 5.1952457) + (u + w))) * 0.15169634) + (m * 0.59148467))"
33,7.346744e-8,"((((((v * (v + 5.202082)) + ((u * u) + (w * (w + -0.023374088)))) / 5.1999726) + (w + u)) * ((m + 2.5935235) / 6.577119)) + (m * 0.591339)) + -0.22537431"
35,1.119389e-8,"-0.22548613 + ((((((((u * u) + (w * w)) + (v * ((v / 0.99646646) + 5.2047486))) / 5.2029586) + (u + (w / 1.0044864))) * (m + 2.5934684)) / 6.5771513) + (m * 0.5912593))"
39,2.9422385e-9,"-0.19051656 + ((m * 0.6047627) + (((m + 2.5937257) / 6.577611) * ((((w * (w / 1.0013908)) + (((((v / 0.9963567) + 5.205289) * v) + (u * u)) + -0.4602723)) / 5.2032084) + ((w / 1.00448) + u))))"
