Complexity,Loss,Equation
1,0.9999999,"0.0"
3,0.24940394,"theta * -0.8664575"
6,0.17084473,"sin(sigma * theta) - theta"
7,0.07722955,"(theta / sqrt(exp(sigma))) * -0.76390034"
8,0.07661787,"(theta / (exp(sigma) + 0.68544525)) * -1.3872546"
9,0.07395037,"((theta + 0.060257442) * -0.7643137) / sqrt(exp(sigma))"
10,0.053848267,"sin((sigma * 0.20504743) - theta) / sqrt(exp(sigma))"
11,0.05178175,"sin((sigma * 0.20504743) - theta) / exp(sigma * 0.54245853)"
12,0.043199908,"(1.793717 - ((theta + 2.1922886) / (exp(sigma) + 0.38273925))) - sigma"
13,0.028539374,"(((theta + 2.6184623) / sqrt(exp(sigma))) * -0.7645556) + (2.264111 - sigma)"
14,0.026111754,"(((sigma - -2.1421695) - theta) * (exp(sigma * -0.48308125) * 0.77946645)) + -1.470172"
15,0.024693506,"((exp(sin(sigma * -0.5243144)) * ((sigma - -2.1421695) - theta)) * 0.77946645) + -1.470172"
17,0.024427425,"((((sigma - -2.1436179) - theta) * 0.7482793) * exp(sin((sigma + -0.08418095) * -0.52709734))) + -1.4698176"
18,0.011471859,"(exp((theta * -0.14715286) + (sigma * -0.61592066)) * (((sigma - -1.6370136) - theta) * 0.6099225)) + -0.8955792"
19,0.010808329,"((((sigma - -1.5547106) - theta) * 0.5945268) * exp((sin(theta) * -0.24284117) + (sigma * -0.6452914))) + -0.83788776"
21,0.0027347677,"(sin(sigma - -1.2306336) - ((theta + 0.31975672) / 0.6491643)) * (exp(((theta * 0.15001148) + -0.52206326) * sigma) * 0.5016972)"
22,0.002424315,"((sin(sigma - -1.2418683) - ((theta / 0.6538893) + 0.49105525)) * 0.50589234) * exp(sigma * sin((theta * 0.17938158) + -0.5645735))"
23,0.001512049,"(sin((sigma * 0.7362613) - -1.3210347) - (theta + 0.6969821)) * (exp(sigma * -0.5332861) * (((theta * sigma) * 0.11190552) + 0.7816076))"
24,0.0014441767,"((sin((sigma * 0.72965384) - -1.3370793) - (theta + 0.7048336)) * exp(sigma * -0.55532944)) * sin((theta * (sigma * 0.1696708)) + 0.9117131)"
25,0.000778051,"((sin((sigma * 0.7692237) - -1.3735912) - (theta + 0.70736146)) * exp(sigma * -0.7336828)) * ((sigma * ((theta * 0.086158045) - -0.1418692)) + 0.7905869)"
26,0.0007754376,"((0.7905869 + (sigma * (sin(theta * 0.086158045) - -0.14234947))) * (sin((sigma * 0.7692237) - -1.3735912) - (0.70736146 + theta))) * exp(sigma * -0.7336828)"
27,0.00061090075,"(sin((0.77844614 * sigma) - -1.3839926) - (0.70624995 + theta)) * (((sigma * ((theta * 0.07221998) - -0.15935376)) + 0.72122884) * (0.081148304 + exp(sigma * -0.84232706)))"
28,0.0005461813,"((sin((sigma * ((theta * 0.09264521) - -0.14918318)) + 0.7567224) * exp(sigma * -0.7905061)) + 0.09752705) * (sin((sigma * 0.77579993) - -1.3963925) - (theta + 0.71430665))"
30,0.00050016877,"sin((((theta * 0.11344757) - -0.16263169) * sigma) + 0.9095112) * ((sin((sigma * 0.7768972) - -1.3986485) - (theta + 0.7127274)) * (0.8667568 * (exp(sigma * -0.7741245) + 0.13955942)))"
32,0.00050014193,"(sin((((theta * 0.11344757) - -0.16263169) * sigma) + 0.9095112) * (sin((sigma * 0.7768972) - -1.3986485) - (theta + 0.7127274))) * (((exp(sigma * -0.7741245) - 0.017931372) * 0.8667568) + 0.13639228)"
35,0.00032538647,"(((((theta * -0.019990461) * theta) + 0.916588) * (((sigma * ((theta * 0.08351624) - -0.1752599)) + 0.7917977) * exp(sigma * -0.8436332))) + 0.08379912) * (sin((sigma * 0.7693079) - -1.3957791) - (theta + 0.7179237))"
36,0.00030013296,"((((theta * (theta * -0.020809505)) + 0.9141003) * ((sin(((theta * 0.087494776) - -0.17387445) * sigma) + 0.7901614) * exp(sigma * -0.84208065))) + 0.08639717) * (sin((sigma * 0.7683218) - -1.3887029) - (theta + 0.7158853))"
40,0.00029446543,"((((theta * 0.075809985) - -0.19885238) * sigma) + 0.8161644) * (((sin(sigma) * (((theta * -0.027690053) / sigma) * theta)) + 0.94259006) * ((exp(sigma * -0.8584325) + 0.06751986) * (sin((sigma * 0.7683447) - -1.3933159) - (theta + 0.7163032))))"
