Complexity,Loss,Equation
1,0.9886945,"omega"
2,0.8069264,"sin(omega)"
3,0.5661372,"c * -0.6586502"
4,0.49249083,"sin(omega) - c"
5,0.32344425,"(c - omega) * -0.5812675"
6,0.31739014,"-0.6637653 * (c - sin(omega))"
7,0.09174519,"(omega - c) / (c + 2.3912435)"
9,0.0101570105,"((omega + 2.1841123) / (c + 2.2745159)) + -1.2621844"
10,0.008741517,"((sin(omega) - -1.5786864) / (c + 2.1078808)) - 1.0602094"
11,3.016634e-8,"(((omega * 0.7575895) - -1.6069556) / (c + 2.1147594)) - 1.0714093"
15,1.9679502e-9,"(((omega + -0.8693603) * 0.7763815) + (c * -1.0976336)) / ((c * 1.0246325) + 2.1668465)"
17,7.3295525e-10,"(((omega + -0.86936414) * 0.7763477) + ((c * -1.0976254) + -4.7186182e-5)) / ((c * 1.0246797) + 2.1668932)"
23,1.0667717e-10,"-0.14279789 - ((((((omega + ((-0.12597111 - omega) * 1.406342)) * -2.0085142) - c) + -0.7400568) / ((c / 0.9999729) + 2.1147594)) * -0.92838126)"
27,1.06448524e-10,"((omega + -0.14279789) - ((((((((-0.12597111 - omega) * 1.406342) + omega) * -2.0085142) - c) + -0.7400568) * -0.92838126) / ((c / 0.9999729) + 2.1147594))) - omega"
