Complexity,Loss,Equation
1,0.44674438,"c"
2,0.41112328,"sin(c)"
3,0.361314,"c + m"
4,0.1994348,"c + sin(m)"
5,0.13114306,"(c + m) * 0.6601026"
6,0.11086828,"(sin(m) + c) * 0.75994956"
7,0.07193146,"(m / (2.3802829 - c)) + c"
8,0.036444504,"(m / (2.3802829 - c)) + sin(c)"
9,0.022445109,"(c * 0.77771634) + (m / (2.3802829 - c))"
10,0.021138571,"(c / 1.2259439) + (m / (2.0121882 - sin(c)))"
11,0.013962155,"((c + 1.8255492) * (m / 3.356937)) + (c / 1.2889578)"
12,0.012522961,"(c * 0.77779806) + ((exp(c / 3.6268246) - 0.49422476) * m)"
15,0.007326721,"(m * 0.51603955) - (((m * -0.022919202) + -0.05884712) * ((c + 13.165296) * c))"
16,0.0051175584,"(m + (((c * (sin(c) + (m + 2.8252459))) / 1.9663748) + -0.3704722)) * 0.541007"
17,0.00025733016,"(-0.122519806 - (-0.49446237 * m)) - (((-0.04742639 * m) + -0.12376455) * ((c + 6.282745) * c))"
19,0.0002550515,"(-0.121779464 - (m * -0.49436858)) - (((m + (m * -1.0471791)) + -0.122796774) * ((c + 6.3356137) * c))"
21,2.3648914e-5,"((0.2503491 - m) * -0.49446237) - (((c + (v * 0.019099893)) * (c + 6.282745)) * ((m * -0.04742639) + -0.12376455))"
23,6.9670286e-6,"(-0.12173634 - (m * -0.4944575)) - (((m * -1.0471654) + (m + -0.12270354)) * (((c + 6.3379498) * c) + (v * 0.11992214)))"
24,4.8306274e-6,"(-0.24506645 - (m * -0.44685918)) - ((((m * -1.0471458) + m) + -0.12266114) * (exp(v * 0.1205937) + (c * (c + 6.3400855))))"
29,3.9201122e-6,"(-0.12365768 - (m * -0.49381512)) - ((((v / (0.11760463 - (v * 0.0150681455))) * 0.013663814) + (c * (c + 6.3401656))) * ((m * -1.047124) + (m + -0.1227229)))"
30,3.92004e-6,"(-0.123657905 - (m * -0.49381503)) - ((((v / (0.117604546 - sin(v * 0.015070382))) * 0.013663693) + (c * (c + 6.3401656))) * (m + ((m * -1.047124) + -0.12272287)))"
31,1.6536325e-6,"(-0.123526186 - (m * -0.49389923)) - (((m + (-1.0471324 * m)) + -0.122695304) * ((((v / 0.117450595) - (v * (c - v))) * 0.014191981) + (c * (c + 6.340083))))"
33,1.5475134e-6,"(-0.123526186 - (m * -0.49389923)) - (((((v / 0.117450595) - (v * ((c * 0.8229146) - v))) * 0.014191981) + (c * (c + 6.340083))) * (m + ((m * -1.0471324) + -0.12268041)))"
36,7.611328e-7,"(-0.115626775 - (-0.49688742 * m)) - ((m + (-0.122695304 + (m * -1.0471364))) * ((((((exp(-0.49688742 - c) + v) * v) - 4.4565344) + (v / 0.14051978)) * 0.0147989765) + ((c + 6.339369) * c)))"
38,7.3351225e-7,"(-0.115626775 - (m * -0.49688742)) - ((m + ((m * -1.0471364) + -0.122695304)) * ((((v / 0.14051978) + (((exp(-0.62453073 - (c * 1.1343281)) + v) * v) - 4.4565344)) * 0.0147989765) + ((c + 6.339369) * c)))"
