Complexity,Loss,Equation
1,0.013311701,"m_0"
3,0.013267409,"m_0 * 0.9932562"
5,0.0072103143,"(c * -0.07766548) + m_0"
7,0.00583608,"((v - c) * 0.060898554) + m_0"
8,0.005443374,"m_0 + (0.07452672 * (sin(v) - c))"
9,0.005262247,"((v - (c * 1.84281)) * 0.04281946) + m_0"
10,0.0036850977,"((exp(v - c) * 0.025817212) + m_0) + -0.06357599"
11,0.002513473,"m_0 + ((exp(sin(v) - c) * 0.03823727) - 0.0778725)"
12,0.0019874854,"m_0 + ((exp((v * 0.4512156) - c) * 0.05592973) - 0.097946785)"
13,0.001982296,"m_0 + ((exp(sin(v * 0.4983914) - c) * 0.055667624) - 0.09825178)"
14,0.0019435697,"(exp((v * 0.4512156) - c) * 0.05592973) + ((m_0 - 0.098741345) / 1.0081122)"
15,0.0019398772,"(((exp(sin(v * 0.4983914) - c) * 0.05592973) + m_0) - 0.098741345) / 1.0049827"
16,0.00092967163,"((0.030176422 * (v - c)) * exp((m_0 * 0.3021767) - c)) + (m_0 - 0.040219203)"
17,0.00089958415,"(((exp((m_0 * 0.28611955) - c) * 0.03437951) * (sin(v) - c)) + m_0) - 0.04774033"
18,0.0004888934,"(m_0 + (((exp((m_0 * 0.36012462) - c) * 0.031127479) * (v - c)) - 0.04473151)) / 1.0226482"
19,0.00041157965,"((sin(v) - c) * (exp((m_0 * 0.36747703) - c) * 0.033197306)) + ((m_0 - 0.048361696) / 1.0233672)"
20,0.00026240948,"(exp((m_0 * 0.36680096) - c) * (((v + 0.5751345) - c) * 0.025546111)) + ((m_0 + -0.06534) * 0.9715489)"
22,0.00025849594,"((((v - c) + 0.5763414) * 0.036025636) * exp(((m_0 + -0.9380334) * 0.37510738) - c)) + (0.9702034 * (m_0 + -0.06280609))"
23,0.00022646248,"((m_0 + -0.0672958) * 0.9683263) + ((exp((m_0 * 0.3604734) - c) * (exp(v * 0.3169901) + (v - c))) * 0.020454751)"
24,0.00021710244,"(m_0 + ((exp((m_0 * 0.38043496) - c) * (((v + 1.1950675) + (exp(sin(v)) - c)) * 0.014134844)) + -0.08013385)) * 0.9659264"
25,0.00017660827,"(((((v + 0.91825765) - c) + exp(v - 1.1597099)) * exp((m_0 * 0.37150976) - c)) * 0.01829931) + ((m_0 * 0.9683263) + -0.06994291)"
26,0.00017223216,"(exp(sin(m_0 * 0.38063464) - c) * ((((v + 0.91825765) - c) + exp(v - 1.1251754)) * 0.01829931)) + (-0.06994291 + (m_0 * 0.9683263))"
29,0.00017160652,"0.9683263 * ((exp(sin((m_0 + 0.2353025) * 0.38063464) - c) * ((((v + 0.91825765) - c) + exp(v - sqrt(1.9228746))) * 0.01829931)) + (-0.06994291 + m_0))"
30,0.00014779941,"(m_0 * 0.9703086) + ((exp((m_0 * 0.36607862) - c) * ((((((sin(m_0 + 1.1965361) + exp(v)) - c) * 0.44732875) + v) - c) * 0.016517237)) + -0.061915282)"
32,0.00014093299,"((m_0 * 0.9683263) + -0.06846959) + ((((((exp(v) + (sin(m_0 + 1.4922367) - -1.074366)) * 0.2969496) + (v + 0.42929012)) - c) * exp((m_0 * 0.38624257) - c)) * 0.01829931)"
33,0.00014093297,"(-0.06846959 + (0.9683263 * m_0)) + (0.01829931 * (exp((m_0 * 0.38624257) - c) * ((v - c) + ((0.2969496 * ((exp(v) + sin(sqrt(2.2267704) + m_0)) - -1.074366)) + 0.42929012))))"
34,0.00013906106,"((exp((m_0 * 0.38624257) - c) * ((v + ((exp(v) + (sin((m_0 * 1.1099192) + 7.694833) - -1.074366)) * 0.2969496)) + (0.42929012 - c))) * 0.01829931) + ((m_0 * 0.9683263) + -0.06846959)"
