Complexity,Loss,Equation
1,0.63284177,"r2"
2,0.5467352,"sin(r2)"
3,0.28307012,"r2 + r1"
4,0.19282953,"sin(r1) + r2"
5,0.07592054,"(r2 + r1) / 1.4734647"
7,0.075908,"(r2 + (r1 / 1.0069127)) / 1.4708543"
10,0.07237747,"sin(r1) + ((4.95917 - m1) * (r2 / 7.304725))"
11,0.057165455,"((((r2 * m1) * -0.20140764) + r1) + r2) / 1.4749027"
13,0.038827885,"((r1 + ((m1 - m2) * (r2 * -0.20004871))) + r2) / 1.4773893"
15,0.0027063,"((((r1 - r2) * (m1 - m2)) * 0.19892488) + (r2 + r1)) / 1.4744521"
16,0.002655681,"((r2 + r1) + (sin((m1 - m2) * 0.2058845) * (r1 - r2))) / 1.4752598"
18,0.002642832,"(r1 + (r2 + (sin(((m1 - 0.018492406) - m2) * 0.20472321) * (r1 - r2)))) / 1.4741557"
19,0.002295873,"(r2 + (r1 + (((m1 - m2) * ((m1 * -0.0107679395) + 0.19612493)) * (r1 - r2)))) / 1.4767278"
20,0.0022450434,"(r2 + (r1 + (sin(((m1 * -0.01961086) + 0.20043959) * (m1 - m2)) * (r1 - r2)))) / 1.4688945"
21,0.00023283834,"((r2 + (((r1 - r2) * (((m1 + m2) * -0.04137069) + 0.19836794)) * (m1 - m2))) + r1) / 1.4750907"
23,0.0002184111,"((r1 + (((((m1 + m2) * -0.041617505) + 0.197919) * ((-0.021370757 - m2) + m1)) * (r1 - r2))) + r2) / 1.4741595"
25,0.00021777555,"(r2 + (((r1 - r2) * (((m1 + -0.0225118) - m2) * ((((m2 + m1) + -0.0225118) * -0.04142984) + 0.19774811))) + r1)) / 1.4750907"
31,0.00014910841,"((r1 + (((r1 + ((((r1 - r2) * ((m2 * -0.03018114) + 0.20281346)) * ((m1 / -0.9422923) - m2)) - r2)) * (m1 - m2)) * 0.19735645)) + r2) / 1.4768264"
33,3.4198594e-5,"((r1 + r2) + (((((((m1 / -0.96193945) - m2) * (r1 - r2)) * (((m2 + m1) * -0.043737926) + 0.20784928)) + (r1 - r2)) * 0.19226103) * (m1 - m2))) / 1.4751341"
35,3.3635704e-5,"((((((r1 - r2) * ((m1 / -0.95715094) - m2)) * ((((m1 * -0.98910457) - m2) * 0.04437203) + 0.20969178)) + (r1 - r2)) * ((m1 - m2) * 0.1916375)) + (r1 + r2)) / 1.4745966"
36,3.36357e-5,"(r1 + (((((r1 - r2) + ((r1 - r2) * (((m1 / -0.95715094) - m2) * ((((sin(-1.4230448) * m1) - m2) * 0.04437203) + 0.20969178)))) * 0.1916375) * (m1 - m2)) + r2)) / 1.4745966"
38,2.3064316e-5,"((r2 + r1) + ((((((((m1 / (-0.25893253 - exp(m2))) - m2) * 0.040862568) + 0.20651178) * ((r1 - r2) * ((m1 / -0.93475515) - m2))) + r1) - r2) * (0.19337828 * (m1 - m2)))) / 1.4760289"
39,1.8955532e-5,"((r1 + r2) + ((((((m1 / -0.95715094) - m2) * (r1 - r2)) * ((((m1 / (-1.0565279 - (m2 * 0.325102))) - m2) * 0.04437203) + 0.20969178)) + (r1 - r2)) * ((m1 - m2) * 0.1916375))) / 1.4745966"
40,1.7505072e-5,"(((((r1 - r2) + ((((m1 / -0.95715094) - m2) * ((((m1 / (-1.0508823 - (sin(m2) * 0.5042986))) - m2) * 0.04437203) + 0.20969178)) * (r1 - r2))) * (m1 - m2)) * 0.1916375) + (r1 + r2)) / 1.4745966"
