Complexity,Loss,Equation
1,0.119403385,"omega_0"
3,0.11583912,"omega_0 * 0.94018376"
5,0.05713948,"omega_0 - (c * 0.24958548)"
7,0.042543977,"(0.19575134 * (v - c)) + omega_0"
8,0.03852534,"omega_0 + ((c - sin(v)) * -0.22890447)"
9,0.036876995,"omega_0 - ((c * 0.25370333) + (v * -0.14233156))"
10,0.035026014,"(omega_0 + ((c - sin(v)) * -0.24025445)) * 0.9470351"
11,0.03291405,"omega_0 - ((-0.0950317 / exp(c - sin(v))) + 0.24719287)"
12,0.020403396,"(-0.29474476 + ((0.1868168 - (v * -0.07454155)) / exp(c))) + omega_0"
14,0.01682833,"(((0.1868168 - (v * -0.07454155)) / exp(c)) + -0.29288232) + (omega_0 * 0.93862855)"
16,0.005811141,"(omega_0 * 0.8253164) + (((0.1868168 - ((v + omega_0) * -0.07454155)) / exp(c)) + -0.29474476)"
18,0.0057887477,"(omega_0 * 0.8253164) + (-0.29474476 + ((0.1868168 - ((v + omega_0) * -0.07454155)) / exp(c / 1.0044569)))"
20,0.002853399,"((omega_0 - (((v * -0.13618118) + (c * 0.21013047)) * exp((omega_0 - c) * 0.42715177))) + -0.10590117) * 0.90258545"
22,0.0015420833,"(omega_0 + (-0.6954447 - (((v * -0.081413545) + -0.29136264) * (1.8719245 - (exp(c * -0.4890726) * (c - omega_0)))))) * 0.70702803"
24,0.00060164736,"((omega_0 + -0.10746037) * 0.88926387) - (((c * 0.0692826) + (v * -0.04908405)) * (2.2884347 - ((c - omega_0) * exp(c * -0.6211195))))"
25,0.0006014111,"((omega_0 + -0.10746037) * 0.88926387) - ((sin(v * -0.049103778) + (c * 0.0692826)) * (2.2884347 - (exp(c * -0.6211195) * (c - omega_0))))"
26,0.0006003381,"((omega_0 + -0.10746037) * 0.88926387) - (((0.0692826 * c) + (v * -0.04908405)) * (2.2884347 - (exp(c * -0.6211195) * (c - (omega_0 * 0.99845123)))))"
27,0.00048436824,"((omega_0 * 0.8954659) + -0.096092716) - (((v * -0.07116126) + (c * 0.103345394)) * (1.6241684 - ((c - omega_0) * exp(sin((-0.75492364 - c) * 0.74654317)))))"
30,0.00042433487,"(omega_0 * 0.8950924) + (-0.09648381 - (((v * -0.07499531) + (c * 0.10804051)) * (1.5175139 - ((exp(-0.62581825 - (c * 0.8164327)) + (c * 0.12692721)) * (c - omega_0)))))"
31,0.0002908993,"(0.8973214 * (omega_0 + -0.1116808)) - (((c * 0.1015395) + (v * -0.06793676)) * (1.6363539 - ((c - ((v * 0.112594835) + omega_0)) * exp(sin(0.7284267 * (-0.7510663 - c))))))"
33,0.00028150956,"((omega_0 + -0.1116808) * 0.8973214) - (((c * 0.1015395) + (v * -0.06793676)) * (1.6349264 - (exp(sin((-0.7510663 - c) * 0.7284267)) * ((c * 0.9786349) - ((v * 0.14482793) + omega_0)))))"
35,0.0002812766,"((omega_0 + -0.1116808) * 0.8973214) - (((c * 0.1015395) + (v * -0.06793676)) * (1.6363539 - (((c * 0.9786349) - (omega_0 + (v * 0.14482793))) * exp(sin(((-0.7510663 - c) * 0.7284267) - 0.001427382)))))"
36,0.00028078948,"((omega_0 + -0.10607976) * 0.8985638) - ((1.5866219 - (((-0.05970669 * ((v * c) - exp(sin(c)))) + exp(-0.72879875 - (c * 0.753301))) * (c - omega_0))) * ((v * -0.07194144) + (c * 0.10840719)))"
38,0.00021494008,"((omega_0 + -0.10389038) * 0.90132076) - ((1.5710326 - ((exp(-0.7043137 - (c * 0.7806699)) + ((((v - 1.1830221) - sin(exp(v))) * c) * -0.057430293)) * (c - omega_0))) * ((c * 0.1099387) + (v * -0.07293671)))"
40,0.00020432478,"((omega_0 + -0.10389038) * 0.90132076) - (((c * 0.1099387) + (v * -0.07293671)) * (1.5710326 - ((exp(-0.7043137 - (c * 0.7806699)) + (((((v - 1.1830221) - sin(exp(v))) * c) + -0.21913534) * -0.057430293)) * (c - omega_0))))"
