Complexity,Loss,Equation
1,1.0,"0.0"
2,0.88148165,"sin(omega)"
3,0.78813,"omega * 0.4605132"
5,0.6232627,"(omega - omega_0) * 0.43380672"
6,0.5705547,"exp(omega - omega_0) * 0.14328207"
7,0.5166481,"(omega - omega_0) / (omega_0 + 2.7798347)"
8,0.38915145,"(exp(omega - omega_0) - 2.4928508) * 0.20418069"
10,0.34189296,"-0.5092655 - ((Ef + exp(omega - omega_0)) * -0.20488144)"
11,0.2539502,"exp((omega - omega_0) - sqrt(2.5190783 - Ef)) - 0.55682886"
12,0.24661373,"exp((omega + ((Ef * 0.42446288) - omega_0)) - 1.6712979) + -0.5097159"
14,0.120060965,"(((Ef + (r - -2.6289947)) * exp(omega - omega_0)) * 0.07775351) - 0.509814"
16,0.10185184,"(((r + 2.6423464) * exp(omega - omega_0)) * ((Ef + 2.529756) * 0.03031603)) - 0.50474936"
17,0.09071918,"((exp(omega - omega_0) * ((sin(epsilon) + (r + Ef)) + 2.6782513)) * 0.07623657) - 0.5066628"
18,0.07296185,"(exp(omega - omega_0) * ((((Ef + 2.4997447) * (r + 3.0158434)) + epsilon) * 0.027683629)) - 0.5164039"
19,0.06627036,"(((exp(omega - omega_0) * (Ef + 2.4997447)) * (sin(epsilon) + (r + 3.0158434))) * 0.027683629) - 0.5164039"
20,0.029615201,"((exp(omega - omega_0) * ((Ef + r) - -2.6266289)) * (((c + epsilon) + 4.7979174) * 0.016151307)) - 0.5062259"
22,0.020596344,"(((exp(omega - omega_0) * (Ef + 2.6137886)) * 0.015032026) * (epsilon + (((c + 5.2178893) + r) + r))) - 0.512484"
23,0.0100752665,"(((exp(r * 0.38290343) * 0.0139756175) * (exp(omega - omega_0) * (c + (epsilon + 5.215509)))) * (Ef + 2.6130645)) - 0.51064503"
24,0.009804527,"(((((Ef + 2.6130645) * exp(omega - omega_0)) * 0.0139756175) * exp(sin(r * 0.40558696))) * (epsilon + (5.215509 + c))) - 0.5113359"
25,0.008588671,"((((exp(r * 0.36651647) * 0.013461098) * ((c + epsilon) + 5.2849646)) * (exp(omega - omega_0) + 0.36651647)) * (Ef + 2.682812)) - 0.5798457"
26,0.008184221,"(((Ef + 2.683337) * exp(omega - omega_0)) * ((exp(r * 0.37830716) * 0.014021531) * ((epsilon + exp(omega_0)) + (c + 4.8453007)))) - 0.5516454"
27,0.0067160376,"((exp(r * 0.37327132) * ((omega + ((exp(omega - omega_0) + 0.36791328) * ((c + 5.229806) + epsilon))) * (Ef + 2.6758375))) * 0.013320682) - 0.56947315"
28,0.006446553,"((((epsilon + (c + 5.223303)) * (exp(omega - omega_0) + 0.38980073)) + omega) * ((exp(sin(r * 0.38980073)) * (Ef + 2.6758375)) * 0.013320682)) - 0.57410544"
29,0.0055337697,"(((Ef + 2.65818) * (((epsilon + (c + 4.955698)) * (exp(omega - omega_0) - -0.38343537)) + omega)) * ((exp(r * 0.17588878) - 0.54555875) * 0.03187652)) - 0.56765395"
30,0.005516792,"((exp(sin(r * 0.17680855)) - 0.54555875) * (((Ef + 2.65818) * ((((c + epsilon) + 4.955698) * (exp(omega - omega_0) - -0.38343537)) + omega)) * 0.03187652)) - 0.56765395"
31,0.005482617,"(((2.65818 + Ef) * (exp(r * 0.17279679) - 0.54555875)) * ((((exp(omega - omega_0) - -0.38343537) * (epsilon + (c + 4.955698))) + (omega / 0.89749384)) * 0.03187652)) - 0.56765395"
32,0.005476565,"(((Ef + 2.65818) * ((exp(sin(r * 0.17680855)) - 0.54555875) * 0.03187652)) * ((omega / 0.8761097) + ((exp(omega - omega_0) - -0.38343537) * (c + (epsilon + 4.955698))))) - 0.56765395"
33,0.005318879,"((Ef + 2.7920573) * ((exp(r * 0.38170856) * ((omega + Ef) + (((epsilon + ((epsilon * (c * 0.20281354)) + c)) + 4.811649) * exp(omega - omega_0)))) * 0.013784518)) - 0.5092327"
35,0.0045834756,"(((Ef + 2.7920573) * (((omega + (exp(omega - omega_0) * (epsilon + (((c * 0.19867586) * epsilon) + (c + 4.811649))))) * exp(r * 0.36850122)) + (Ef + r))) * 0.013784518) - 0.5089841"
37,0.004521672,"(((Ef + 2.7920573) * 0.013784518) * ((((omega * 1.1764741) + (exp(omega - omega_0) * (((epsilon + c) + 4.811649) + ((c * 0.19867586) * epsilon)))) * exp(r * 0.36850122)) + (Ef + r))) - 0.5089841"
39,0.004508138,"((sin(exp(r)) + ((Ef + 2.7920573) * (r + (Ef + (exp(r * 0.37526217) * ((((c + 4.811649) + (((epsilon * c) * 0.19876873) + epsilon)) * exp(omega - omega_0)) + omega)))))) * 0.013784518) - 0.5097275"
40,0.0044639623,"((sin(omega_0) + (((Ef * 1.0203816) + 2.7920573) * (r + (Ef + (exp(r * 0.37526217) * (((epsilon + ((c + 4.811649) + ((epsilon * 0.19876873) * c))) * exp(omega - omega_0)) + omega)))))) * 0.013784518) - 0.5089841"
