Complexity,Loss,Equation
1,0.7950445,"d2"
2,0.665199,"sin(d2)"
3,0.49426317,"d2 - n"
4,0.36761087,"sin(d2) - n"
5,0.21557774,"(d2 - n) * 0.6265195"
7,0.18881366,"0.51988256 * ((d1 + d2) - n)"
8,0.14494333,"((d2 + sin(d1)) - n) * 0.5793836"
9,0.12106026,"(((d2 - n) * 2.0590174) + d1) / 3.2770314"
11,0.08039564,"(d1 + ((d2 - n) * 2.127724)) / (n + 3.9195502)"
12,0.07799994,"(d1 + ((sin(d1) + 2.460886) * (d2 - n))) / 3.9325998"
13,0.046770897,"(((d1 + 3.2215307) * (d2 - n)) + d1) / (n + 5.421078)"
14,0.04289959,"(((d2 - n) * (sin(d1) + 2.8557227)) + d1) / (n + 4.9161143)"
15,0.031794466,"((((d2 - n) + 1.3106166) * (d1 + 3.6144133)) + -5.1019077) / (n + 6.0084257)"
16,0.024794241,"((((sin(d1) + 2.69866) * (d2 - n)) + d1) / (n + 4.5928535)) + -0.13734111"
17,0.018811407,"((d1 + ((d2 - n) * ((d1 * 0.5040988) + 2.3805256))) / (n + 4.127902)) - 0.14938143"
18,0.016108798,"((((3.5432825 - exp(d1 * -0.49172243)) * (d2 - n)) + d1) / (n + 4.1965017)) + -0.15318875"
19,0.014474027,"((((d2 - n) * (((d2 - d1) * -0.30592063) + 2.127724)) + d1) / (n + 3.6509457)) - 0.09061809"
20,0.012852533,"((d1 + ((d2 - n) * ((-0.36249435 * (sin(d2) - d1)) + 2.127724))) / (3.6524365 + n)) - 0.10951134"
21,0.004227679,"(((((d2 - d1) * -0.26980972) + 2.0513706) * ((d2 - d1) - n)) + (d1 / 0.34086403)) / (n + 3.49701)"
22,0.0040925136,"((d1 / 0.33687732) + (((d2 - d1) - n) * (sin((d2 - d1) * -0.30105388) + 2.0665069))) / (3.5198407 + n)"
23,0.00274858,"((((((d2 - d1) * -0.23593752) + 1.9750183) * ((d2 - d1) - n)) + (d1 / 0.35030195)) / (n + 3.4199078)) - 0.049841795"
25,0.002724156,"((((((d2 - d1) * -0.23593752) + 1.9750183) * ((d2 - d1) + (0.01526749 - n))) + (d1 / 0.35030195)) / (n + 3.4199078)) - 0.05269991"
26,0.0021198504,"(((((d2 - d1) - n) * (sin(((d2 - d1) * -0.27982405) - -0.32510284) + 1.695822)) + (d1 / 0.35203415)) / (n + 3.4040701)) + -0.044340413"
28,0.0020242762,"(((d1 + ((((d2 - n) - d1) * sin(((d2 - d1) + -2.246906) * -0.19299522)) + (d2 - n))) / (n + 3.4146676)) * 1.4150256) - 0.04802478"
30,0.0018757447,"(((((((d2 / 1.1270937) - n) - d1) * sin(((d2 + -2.2932963) - d1) * -0.194996)) - n) + ((d2 + d1) + -0.12515159)) * 1.4503113) / (n + 3.422425)"
32,0.0018742179,"(((((((d2 / 1.1270937) - n) - d1) * sin((d2 + (-2.2932963 - d1)) * -0.194996)) - n) + d2) + (d1 + -0.12515159)) * (-0.00045913964 + (1.4512297 / (n + 3.422425)))"
33,0.0015773361,"((((d2 - (n - ((d1 * d1) * 0.34976074))) - d1) * ((d2 - d1) * -0.24177493)) + ((((d2 - 0.07610878) - n) + (d1 * 0.3573157)) * 2.0497365)) / (n + 3.4323175)"
34,0.0015733156,"(((((d2 - 0.07610878) - n) + (d1 * 0.3573157)) * 2.0497365) + (((d2 - (n - (d1 * sin(d1 * 0.3653549)))) - d1) * ((d2 - d1) * -0.24177493))) / (n + 3.4323175)"
35,0.0015010058,"((2.0367 * ((d2 - n) + ((0.35299155 * d1) - 0.08211474))) + ((d2 - d1) * ((((d2 / 1.1150119) - (n - ((d1 * d1) * 0.3354187))) - d1) * -0.24902032))) / (n + 3.4124975)"
36,0.0014772452,"((((((d2 / 1.1001287) - (n - ((d1 * d1) * 0.36280614))) - d1) * -0.24623702) * (d2 - d1)) + (((sin(d1 * 0.36280614) + d2) - (n - -0.08594395)) * 2.0434585)) / (n + 3.4156601)"
38,0.0014769452,"((((((d2 / 1.1001287) - (n - (d1 * ((d1 - 0.0025341178) * 0.36280614)))) - d1) * -0.24623702) * (d2 - d1)) + (((sin(d1 * 0.36280614) + d2) - (n - -0.08594395)) * 2.0434585)) / (n + 3.4156601)"
39,0.0013682401,"(((d2 - d1) * ((((d2 / 1.1150119) - (n - (((d1 - (n * -0.24939242)) * d1) * 0.34922707))) - d1) * -0.24277365)) + (((((d1 * 0.35299155) - 0.08211474) + d2) - n) * 2.0367)) / (n + 3.4166255)"
40,0.0012731419,"((((d2 - n) + ((d1 * 0.59708875) - 0.12657481)) * 1.9213932) + (sin(((d2 + -1.1243154) - d1) * -0.2957636) * (((d2 - n) - ((d2 + ((d2 - n) * n)) * 0.20032574)) - d1))) / (n + 3.6150339)"
