Complexity,Loss,Equation
1,0.80850035,"q"
2,0.675485,"sin(q)"
3,0.43446177,"q - C"
4,0.30085292,"sin(q) - C"
5,0.17783563,"(q - C) * 0.61442065"
7,0.17281285,"(q / 1.6306592) + (C * -0.66781867)"
8,0.12594132,"(q - C) / (exp(C) + 0.68263483)"
9,0.0859785,"(2.997647 - C) * ((q - C) * 0.20634702)"
10,0.028475087,"((q - C) / (exp(C) + 0.68263483)) + -0.34211665"
11,0.014333198,"(((C * -0.90606976) + q) / (C + 2.3687205)) + -0.23487638"
13,0.006561042,"((((C * -0.39082232) / 0.37585777) + q) / (C + 2.3627813)) + -0.29578844"
27,1.8510079e-6,"((((((q - C) + 0.0010523275) / ((C * 0.44865468) + 1.1669763)) - 0.6184142) / 1.742478) - (C * ((0.4023937 / (C * 0.93932366)) / 1.731516))) + 0.336601"
