Complexity,Loss,Equation
1,0.9399157,"r1"
2,0.79083854,"sin(r1)"
3,0.7190553,"r1 * 0.53003246"
4,0.6395735,"sin(r1 - r2)"
5,0.4447907,"(r2 - r1) * -0.5267691"
7,0.4447801,"(r2 - (r1 / 0.9960958)) * -0.52604365"
9,0.36084974,"(m2 + 2.5896366) * ((r2 - r1) * -0.20349556)"
11,0.27747896,"(r2 - r1) * (((G + m2) + 2.5896366) * -0.20349556)"
13,0.19498372,"(-0.20349556 * (r2 - r1)) * (m1 + (G + (2.6024225 + m2)))"
15,0.17004125,"(((r2 - r1) * (m1 + (m2 + 2.5489593))) * (-2.5385637 - G)) * 0.08236861"
16,0.15313454,"(exp(((m2 - r1) - (r2 - m1)) * 0.4159944) * (r2 - r1)) * -0.4090926"
17,0.108462565,"(r1 + ((r2 + -2.4525478) - ((G + m1) + m2))) * ((r2 - r1) * 0.21299607)"
19,0.057245255,"(r2 - r1) * ((-2.6098683 - (G + m1)) * ((m2 + (2.4277482 - (r1 + r2))) * 0.083236255))"
20,0.024270672,"(r2 - r1) * (exp(((m2 - r1) - (r2 - m1)) * 0.4159944) * ((G + 2.5572062) * -0.1599764))"
21,0.024267409,"(r2 - r1) * (exp(0.4159944 * ((m2 - r1) - (r2 - m1))) * ((G + 2.5572062) * sin(-0.1599764)))"
22,0.0242645,"((r2 - r1) * exp(0.4159944 * ((m2 - r1) - (r2 - m1)))) * ((G + 2.5572062) * (-0.1599764 - -0.00036542406))"
24,0.019560287,"(G - -2.6462817) * (((r2 - r1) * (exp((((m1 - r1) - r2) - 1.4479345) * 0.4181127) * 0.11933224)) * (-2.5986629 - m2))"
26,0.01954802,"(((G - -2.6462817) * (-2.5986629 - m2)) * (((r2 - r1) * 0.11933224) * exp((((m1 - r1) - r2) - 1.4479345) * 0.4181127))) / 0.99679136"
36,0.018054245,"(((1.8116314 + (r1 * r1)) + (((G - r1) - (r2 - 2.4519672)) * ((sin(G) - r1) - (r2 - (m1 + (m1 + 3.1262007)))))) * (r2 - r1)) * (-0.042311653 - (m2 * 0.016387295))"
37,0.01696288,"((r2 - r1) * (-2.5648303 - m2)) * ((((r2 * r2) + (((G - r1) - (r2 - (m1 + (m1 + 3.1713662)))) * ((G - r1) - (r2 - 2.6254475)))) + (r1 * r1)) * 0.015433595)"
38,0.013994385,"(r2 - r1) * ((0.016452178 * ((r2 * r2) + ((((G - r1) - (r2 - 2.374285)) * ((sin(G) - r1) - (r2 - ((m1 + m1) + 3.1713662)))) + (r1 * r1)))) * (-2.6518962 - m2))"
39,0.0139105925,"(r2 - r1) * ((((((G - r1) - (r2 - 2.233591)) * (((G * 0.54082763) - r1) - (r2 - ((m1 + m1) + 3.47796)))) + ((r2 * r2) + (r1 * r1))) * 0.01721419) * (-2.5415852 - m2))"
40,0.013082005,"(((r2 - r1) * 0.016488224) * ((r1 * r1) + ((r2 * r2) + (((G - r1) - (r2 - 2.3820207)) * ((sin(G + 0.42576358) - r1) - (r2 - ((m1 + m1) + 3.0658782))))))) * (-2.6407106 - m2)"
