Complexity,Loss,Equation
1,0.9999999,"7.939388e-6"
3,0.95459366,"q * -0.21319555"
5,0.92224425,"(h - q) * 0.19797444"
6,0.8909654,"-0.07122796 / exp(epsilon - q)"
7,0.88956124,"(q - (h + n)) * -0.19381988"
8,0.6953672,"exp((q - epsilon) - n) * -0.056920983"
10,0.28322065,"-0.0405742 / exp(epsilon + (n + (h - q)))"
11,0.28322032,"sin(-0.0405742) / exp(epsilon + (n + (h - q)))"
12,0.21605782,"(-0.044237033 / exp(((h - q) + n) + epsilon)) + 0.2708476"
14,0.16413197,"((m * -0.018826457) + -0.041340504) / exp(epsilon + ((h + n) - q))"
15,0.16409917,"sin((m * -0.018826457) + -0.041352287) / exp(epsilon + (h + (n - q)))"
16,0.094487295,"0.2734067 + (((-0.017042326 * m) + -0.044870034) / exp(((h - q) + n) + epsilon))"
17,0.09448472,"(sin((m * -0.017043976) + -0.044885103) / exp(h + ((n + epsilon) - q))) + 0.2734067"
19,0.072913386,"0.007606044 * ((exp((-1.3754458 * epsilon) + q) / (exp(h + n) + -0.019601645)) * (-2.2969298 - m))"
20,0.069772266,"((((m * -0.030687004) + -0.083673954) / exp(((epsilon + n) - q) + h)) + 0.65025556) / (n - -3.2149565)"
21,0.035664484,"(((exp(q + (epsilon * -1.3754458)) * 0.007606044) * (-2.4237711 - m)) / (exp(h + n) + -0.019601645)) - -0.20418157"
23,0.029617038,"((((epsilon + exp(q + (-1.3754458 * epsilon))) * (-2.4237711 - m)) / (exp(n + h) + -0.019601645)) * 0.007606044) - -0.18507281"
24,0.02722353,"(((sin(epsilon) + exp((epsilon * -1.3754458) + q)) * 0.007606044) * ((-2.4237711 - m) / (exp(h + n) + -0.019601645))) - -0.18507281"
25,0.026910484,"(((0.007606044 * ((-0.6019372 - 1.9320073) - m)) * (epsilon + exp((epsilon * -1.3754458) + q))) / (exp(h + n) + -0.019601645)) - -0.18507281"
26,0.02432931,"(((epsilon + (sin(q) + exp((epsilon * -1.3754458) + q))) * ((-2.4237711 - m) / (exp(h + n) + -0.019601645))) * 0.007606044) - -0.18507281"
27,0.022305166,"(((-2.4237711 - m) * ((((q + epsilon) * 0.7356501) + exp(q + (epsilon * -1.3754458))) / (exp(n + h) + -0.019601645))) * 0.007606044) - -0.18507281"
29,0.022127913,"((-2.4237711 - m) * (((((q + (epsilon + -0.06311164)) * 0.7356501) + exp(q + (epsilon * -1.3754458))) / (exp(n + h) + -0.019601645)) * 0.007606044)) - -0.18507281"
37,0.020095922,"(((-2.4102068 - m) * ((((q + (exp((q + -0.8888022) - sin(epsilon)) * epsilon)) + exp((epsilon * -1.5260901) + (q * 1.105156))) / (exp(h + n) + -0.017779108)) + 0.64055395)) * 0.006478344) - -0.1823605"
40,0.019773958,"((sin(h) + (((-2.4102068 - m) * (exp((q * 1.105156) + (epsilon * -1.5260901)) + ((exp((q - sin(epsilon * 1.105156)) + -0.8888022) * epsilon) + q))) / (exp(n + h) + -0.017779108))) * 0.006478344) - -0.1823605"
