Complexity,Loss,Equation
1,0.87288636,"V2"
2,0.72878695,"sin(V2)"
3,0.6824037,"V2 * 0.56357527"
4,0.5678225,"sin(V2 - V1)"
5,0.36907408,"(V1 - V2) * -0.5600595"
7,0.3034513,"(V2 - V1) / (2.4881403 - kb)"
8,0.27797535,"(V2 - V1) / (2.0835736 - sin(kb))"
9,0.27207986,"(kb + 2.560467) * ((V1 - V2) * -0.21855174)"
10,0.24245326,"(V2 - V1) / (2.0423226 - sin(n + T))"
11,0.17713264,"(V1 - V2) * ((n + (T + 2.5713444)) * -0.21855174)"
12,0.16829443,"(V1 - V2) * (-0.49263826 * exp((kb + T) * 0.37558565))"
13,0.083570965,"((V1 - V2) * (((kb + n) + T) + 2.5916114)) * -0.21679948"
14,0.0489082,"(exp((n + (kb + T)) * 0.37554762) / -2.1757772) * (V1 - V2)"
16,0.047327176,"((V1 - V2) * -0.61735743) * (exp((kb + (T + n)) * 0.30917516) - 0.24275006)"
18,0.04377009,"(exp((kb + (T + n)) * 0.38089803) / ((-0.14015432 * V1) + -2.2209353)) * (V1 - V2)"
20,0.012452587,"((V1 - V2) * exp((n + (kb + T)) * 0.37554762)) / (((V2 + V1) * -0.4315361) + -2.250753)"
22,0.010983109,"(V1 - V2) * ((exp(((T + kb) + n) * 0.31737253) / (((V1 + V2) * -0.30159166) + -1.7511072)) - -0.11885971)"
24,0.010754671,"(((exp((kb + (T + n)) * 0.311274) - 0.24006796) * (V1 - V2)) * -0.7582926) / (((V1 + V2) * 0.24145168) + 1.2763137)"
25,0.010647638,"(V1 - V2) * ((-0.7582926 / (sin((V2 + V1) * 0.25347465) + 1.2763137)) * (exp(((T + n) + kb) * 0.311274) - 0.24145168))"
26,0.0098967375,"((((V1 + V2) * 0.109669164) + -0.49814984) * (((T * -0.080419876) * T) + exp(0.36098155 * (kb + (T + n))))) * (V1 - V2)"
28,0.009275089,"((V1 - V2) * ((exp((kb + (n + T)) * 0.35989702) + ((T * T) * -0.081406206)) * -1.1804793)) / (((V1 + V2) * 0.46339855) + 2.4481196)"
29,0.009274144,"((V1 - V2) * (exp((kb + (n + T)) * 0.35989702) + sin((T * -0.08149639) * T))) * (-1.1804793 / (((V1 + V2) * 0.46339855) + 2.4481196))"
30,0.008861737,"((V1 - V2) / (((V1 + V2) * 0.4588335) + 2.4003491)) * (((T * (T * -0.05998221)) + (exp(((kb + n) + T) * 0.33547345) - 0.10578343)) * -1.2846211)"
31,0.00471952,"(((V2 + V1) + -4.605531) * (V1 - V2)) * (((((n + T) + kb) * 0.046771694) + (((n * kb) + (T * (n + kb))) * 0.018182363)) - -0.12151945)"
33,0.0047168806,"(((V2 + V1) / 1.0132296) + -4.5144825) * ((V1 - V2) * (((((n + T) + kb) * 0.047854226) - -0.12401658) + ((((kb + n) * T) + (n * kb)) * 0.018508345)))"
35,0.004716813,"(((V1 + V2) / 1.0132296) + -4.5144825) * (((((n * kb) + (T * (kb + n))) * 0.018508345) + ((((n + T) + kb) * 0.047854226) - -0.12401658)) * (V1 - (V2 * 1.0000674)))"
36,0.003791862,"((V2 + V1) + -4.510047) * ((((((n * (kb + sin(kb * T))) + (T * (kb + n))) * 0.017907305) + ((kb + (n + T)) * 0.04757791)) - -0.12372146) * (V1 - V2))"
37,0.0025538432,"(((V2 + V1) + -4.605531) * (V1 - V2)) * (((n + (T + kb)) * 0.046771694) + ((((n * (((kb * T) / 2.5814254) + kb)) + (T * (n + kb))) * 0.018182363) - -0.12151945))"
39,0.0025515351,"(((V1 + V2) / 1.0186807) + -4.5144825) * (((((n + kb) + T) * 0.047835965) + (((((((T / 2.611188) * kb) + kb) * n) + (T * (n + kb))) * 0.018508345) - -0.12401658)) * (V1 - V2))"
