Complexity,Loss,Equation
1,0.9999999,"-7.0320304e-5"
3,0.6249679,"r * -0.6124625"
5,0.52678096,"r / (-2.4623168 - r)"
6,0.4773369,"exp(-0.69688874 - r) - 0.77925545"
7,0.3512727,"(epsilon + r) / (-2.5180492 - r)"
8,0.30934954,"exp((-1.5532773 - r) - epsilon) + -0.51930976"
9,0.23895052,"(r + (epsilon - q1)) / (-2.601384 - r)"
10,0.21661563,"(epsilon + (r - sin(q1))) / (-2.5108588 - r)"
11,0.16666849,"(0.46002725 / (-2.002812 - r)) * (r + (epsilon - q1))"
12,0.06869995,"exp((((-2.0542867 - epsilon) + q1) * 0.4236166) - r) + -0.78912556"
14,0.055249244,"((q1 + 2.9152277) * exp(((-3.942958 - epsilon) * 0.4814445) - r)) + -0.7803251"
16,0.02189713,"(exp(-2.6991315 - ((r * 1.5969275) - (epsilon * -0.5788792))) * (q1 - -2.3779485)) + -0.5397633"
18,0.019469744,"((q1 - -2.8235621) * (exp((-2.9960036 - (r * 1.6627758)) - (epsilon * 0.609076)) + 0.08586843)) + -0.76277"
19,0.012874147,"((exp(-0.32374007 - epsilon) + 0.86094964) * (exp(-3.1041384 - (r * 1.5152286)) * (q1 + 2.4274335))) + -0.56973994"
20,0.00597914,"((exp(sin(r + -1.1840278) - epsilon) - -0.8232774) * (exp(-2.2557774 - r) * (q1 + 2.6150618))) + -0.7333778"
22,0.0034818172,"((exp(-2.4005122 - (r / 0.55649054)) * (q1 + 2.4025226)) * (exp(sin(r) + (-0.4796981 - epsilon)) - -0.30542424)) + -0.61453027"
29,0.0026726983,"-0.7309737 + (((q1 + 2.6247184) * exp(-2.2385497 - r)) * ((exp(sin(r + -1.1465025) - epsilon) - (sin((r - 0.34542993) * r) * 0.19533373)) - -0.8965813))"
30,0.0026422082,"-0.7309737 + ((q1 + exp(0.9608652)) * (exp(-2.2385497 - r) * ((exp(sin(r + -1.1465025) - epsilon) - (sin((r - 0.34542993) * r) * 0.19533373)) - -0.8965813)))"
31,0.001651638,"(((((exp(-1.6923673 - r) * (-1.6954037 - r)) + exp(sin((r + -1.6543669) * 0.7839024) - epsilon)) - -0.9069485) * exp(-2.1107814 - r)) * (q1 + 2.5937326)) + -0.7041556"
32,0.0014409669,"((((sin(-1.6602492 - r) * exp(-1.6286885 - r)) - -0.87869793) + exp(sin((r + -1.6382452) * 0.7830929) - epsilon)) * (exp(-2.0986366 - r) * (q1 + 2.596465))) + -0.72289103"
33,0.0013972549,"(((q1 + 2.625193) * (exp(sin(0.802371 * (r + -1.6049625)) - epsilon) + (((-1.5252479 - r) * exp((r - -1.5614915) * -1.98509)) - -0.76141304))) * exp(-2.1385293 - r)) + -0.7147934"
35,0.0013438412,"(exp(-2.089996 - r) * ((q1 + 2.6031828) * (((exp((r - -0.90489763) * -1.5371385) * (-1.5048951 - r)) * 0.30857015) + (exp(sin((r + -1.6003773) * 0.79283476) - epsilon) - -0.7083418)))) + -0.70126086"
37,0.0013219912,"(((exp(sin((r + -1.5896109) * 0.80935556) - epsilon) + ((exp(-1.4889662 - r) * ((-1.5227782 - r) * sin(exp(-1.5129352 - r)))) - -0.76057214)) * (q1 + 2.6219285)) * exp(-2.1380508 - r)) + -0.71199137"
39,0.0010234669,"(exp(-2.1318586 - r) * ((q1 + 2.5988615) * ((exp(sin((r + -1.6400371) * 0.787975) - epsilon) + ((-1.4935291 - r) * (exp(((epsilon * 0.32993498) + -1.6400371) * (r - -0.91773003)) * 0.31630853))) - -0.7458468))) + -0.69983584"
