Complexity,Loss,Equation
1,0.9999999,"9.342163e-5"
2,0.8989254,"sin(alpha)"
3,0.73290914,"n * -0.5169418"
5,0.47321028,"(d + n) * -0.51172906"
7,0.27877796,"(d + (n - alpha)) * -0.49029008"
9,0.16022016,"((alpha - n) - d) / (n + 2.7064457)"
10,0.06858468,"exp(((alpha - n) - d) / 2.4198928) + -1.2847716"
11,0.059693333,"exp(((sin(alpha) - n) - d) / 2.2854257) + -1.2673235"
12,0.051974554,"exp((((alpha * 0.76202226) - n) - d) / 2.1908915) + -1.3031653"
13,0.023117846,"(((alpha + 2.457156) / sqrt(exp(n))) / (d + 2.7368639)) + -1.1972009"
14,0.022951644,"(exp(n * -0.48212188) * ((alpha + 2.4490912) / (d + 2.715116))) + -1.1940408"
15,9.075925e-9,"((alpha + 2.5951319) / ((d + 2.591792) * ((n * 0.4898945) + 1.2681545))) + -1.1517925"
17,4.298169e-9,"(((alpha + 2.5952084) / (((n * 0.4898591) + 1.2680906) * (d + 2.5919144))) + -1.1517794) / 0.9998922"
19,2.4049789e-9,"((((alpha + 2.5952084) / ((d + 2.5919144) * ((n * 0.4898591) + 1.2680906))) + -1.4069037) / 0.9998922) + 0.2551244"
21,1.9756203e-9,"((d + -1.1518275) + (((alpha + 2.5952084) / ((d + 2.5919144) * ((n * 0.4898591) + 1.2680906))) - d)) / 0.9998922"
25,1.974882e-9,"(((7.407175e-5 - d) + 1.68331e-6) + ((((alpha + 2.5952084) / (((n * 0.4898591) + 1.2680906) * (d + 2.5919144))) + -1.1519036) + d)) / 0.9998922"
27,1.6425905e-9,"((((alpha + 2.5952084) / ((d + 2.5919144) * ((n * 0.4898591) + 1.2680906))) + ((d + -1.1518296) - d)) + (-3.992601e-5 / (2.38449 / n))) / 0.9998922"
29,1.6422845e-9,"(((alpha + 2.5952084) / ((d + 2.5919144) * ((n * 0.4898591) + 1.2680906))) + (((d + -1.1518296) - d) + ((7.407175e-5 / (2.38449 / n)) * -0.53901803))) / 0.9998922"
31,1.2679783e-9,"(d + (((alpha + 2.5952084) / ((d + 2.5919144) * ((n * 0.4898591) + 1.2680906))) + (-1.1518296 - (d + (7.407175e-5 / ((n + 1.8946309) / (n * 0.13728768))))))) / 0.9998922"
