Complexity,Loss,Equation
1,0.9999999,"-5.914271e-5"
2,0.8180778,"sin(omega)"
3,0.28170037,"-0.8474373 * c"
4,0.13150121,"sin(omega) - c"
5,0.06269247,"(omega * 0.49222812) - c"
6,0.055779934,"(sin(omega) - c) / 1.2830999"
7,0.038560975,"(omega * 0.49222812) - (c / 1.1844006)"
10,0.029822504,"((omega + -2.5427442) / 2.022533) + exp(c * -0.69059503)"
11,0.023419393,"(omega - (c * 1.6609207)) / (2.010568 - (c * -0.20082654))"
12,0.015337352,"(exp((omega / 6.72217) + (c * -0.2685179)) + -1.0485584) / 0.32478103"
13,0.010261182,"((omega - (c * 1.670087)) / (2.0977554 - (c * -0.3787627))) + -0.15286519"
15,0.010260988,"((omega - (c * 1.670087)) / ((2.1038184 - (c * -0.3787627)) * 0.99711806)) + -0.15125778"
16,0.00169723,"((omega - (c * 1.6754466)) / ((c * 0.35782307) + 2.0980992)) - (0.08185491 / exp(d))"
17,0.0014893801,"((d * 0.09249168) + ((omega - (c * 1.669542)) / (2.1012616 - (c * -0.37391362)))) + -0.15100965"
18,0.00075964857,"(exp(d * -0.6658242) * -0.12286969) + ((omega - (c * 1.670087)) / (2.0977554 - (c * -0.3787627)))"
20,0.0007557768,"((exp(-0.6658242 * d) * -0.12286969) + ((omega - (1.670087 * c)) / (2.1038184 - (-0.3787627 * c)))) / 0.99711806"
22,0.00029094508,"(((((c * -0.094827786) + -0.25197896) * exp(d * -0.7014484)) - (c * 1.6077397)) + omega) / (2.0935266 - (c * -0.3725141))"
24,9.750635e-5,"((omega - (c * 1.7025957)) / (2.2127578 - (c * -0.40621322))) + ((((c - omega) * -0.0220326) + -0.1220102) * exp(d * -0.6658242))"
25,9.749877e-5,"((omega - (c * 1.7025957)) / (2.2127578 - (c * -0.40621322))) + ((((c - omega) * sin(-0.0220326)) + -0.1220102) * exp(-0.6658242 * d))"
26,1.536131e-5,"((omega - (c * 1.6712074)) / (2.2018936 - (c * -0.41346124))) + (((c * -0.027631618) + -0.122556634) * exp((d * -0.66234505) + (omega * -0.15277307)))"
30,1.4268683e-5,"(exp((d * -0.6608146) + (omega * -0.14858936)) * ((c * ((omega * 0.0006963659) + -0.028364155)) + -0.12334368)) + ((omega - (c * 1.6652752)) / (2.1988983 - (c * -0.41543365)))"
31,9.705471e-6,"((omega - (c * 1.6630096)) / (2.1889203 - (c * -0.41134492))) + ((((c * -0.027157547) + (exp(omega) * -0.0033512868)) + -0.117395766) * exp((omega * -0.1719209) + (d * -0.6641563)))"
34,8.729958e-6,"((omega - (c * 1.665)) / (2.194311 - (c * -0.41321665))) + (exp((d * -0.6596111) + (omega * -0.14009884)) * ((omega * (0.0012311352 * (c - omega))) + ((c * -0.027362993) + -0.1221131)))"
36,8.372467e-6,"((((((omega - c) + 0.65290934) * omega) * -0.0013985636) + ((c * -0.027708896) + -0.122109994)) * exp((d * -0.6594372) + (omega * -0.14590374))) + ((omega - (c * 1.6616904)) / (2.192408 - (c * -0.41395023)))"
37,7.313721e-6,"(((c * -0.027192583) + ((((omega - sin(c + -0.82674044)) * omega) * -0.0018720949) + -0.12122051)) * exp((omega * -0.14888652) + (d * -0.6605121))) + ((omega - (c * 1.6669399)) / (2.1954305 - (c * -0.41286618)))"
39,7.2126627e-6,"(exp((d * -0.6591185) + (omega * -0.14960635)) * ((((omega - (exp(c + -0.5980767) + -1.4750886)) * (omega * -0.0018036731)) + -0.121590026) + (c * -0.027724765))) + ((omega - (c * 1.6658175)) / (2.1967292 - (c * -0.4143832)))"
40,7.0480173e-6,"(((((omega - (exp(sin(c + -0.53329104)) + -1.4750886)) * (omega * -0.0018036731)) + (c * -0.027724765)) + -0.121590026) * exp((d * -0.6591185) + (omega * -0.14960635))) + ((omega - (c * 1.6658175)) / (2.1967292 - (c * -0.4143832)))"
