Complexity,Loss,Equation
1,1.0,"2.4803235e-8"
2,0.8964952,"sin(q)"
3,0.7359562,"-0.5143572 * r"
5,0.4745686,"(r + epsilon) * -0.5143572"
7,0.27842107,"((q - r) - epsilon) * 0.4914194"
9,0.16088405,"((q - r) - epsilon) / (epsilon + 2.7072852)"
10,0.068951696,"exp(((q - r) - epsilon) * 0.4164774) + -1.2921723"
11,0.05663001,"exp(((sin(q) - r) - epsilon) * 0.4521921) + -1.2587609"
12,0.05225511,"exp((((q * 0.73552346) - r) - epsilon) * 0.45875287) + -1.2921723"
13,0.043646798,"(exp(((sin(q) - r) - epsilon) * 0.5574019) * 0.7042653) + -1.0382327"
14,0.04113064,"(exp((((q * 0.7031533) - r) - epsilon) * 0.58202004) / 1.5796677) - 0.9609283"
15,0.028645307,"(((q - r) + -0.6052039) - epsilon) * (1.6978513 / (r + (epsilon + 4.1849957)))"
16,0.0012672105,"-1.1560816 - ((((-0.31760284 / exp(epsilon)) + -0.46253872) * (q + 2.5835228)) / (r + 2.6014614))"
18,0.0011094486,"-1.1539873 - (((-0.29815394 / (exp(epsilon) + -0.0098967)) + -0.4694042) * ((q + 2.6096127) / (r + 2.6023114)))"
20,0.0010649452,"-1.1539873 - (((-0.29815394 / (exp(epsilon) + (0.014301017 * -0.77989614))) + -0.4694042) * ((q + 2.6096127) / (r + 2.6023114)))"
22,1.3604852e-5,"(((epsilon * -0.091445066) - ((-0.18270858 / (exp(epsilon) + -0.062229432)) + -0.5987379)) * ((q + 2.5868757) / (r + 2.597968))) + -1.1513613"
26,1.3014435e-5,"r + (-1.1512524 + (((((epsilon * -0.091646574) - ((-0.18174243 / (-0.06287176 + exp(epsilon))) + -0.5992394)) * (q + 2.5872524)) / (2.5973945 + r)) - r))"
30,1.2629781e-5,"((((-0.090939045 - ((-0.92906404 - (q * epsilon)) * -0.00039005274)) * epsilon) - ((-0.1816395 / (exp(epsilon) + -0.063071944)) + -0.5999225)) * ((q + 2.586829) / (r + 2.5972695))) + -1.151294"
32,1.1304727e-5,"((((-0.09046774 - ((((epsilon + -0.43890175) * epsilon) - 1.9973751) * -0.0013515168)) * epsilon) - ((-0.18224728 / (exp(epsilon) + -0.06255731)) + -0.6000107)) * ((q + 2.5869963) / (r + 2.5977218))) + -1.15088"
34,1.1021223e-5,"((((epsilon * (-0.090939045 - (((-1.3836858 - epsilon) / -0.1816395) * ((1.9147909 - epsilon) * 9.68354e-5)))) - ((-0.1816395 / (exp(epsilon) + -0.063071944)) + -0.5999225)) * (q + 2.586829)) / (r + 2.5972695)) + -1.151294"
35,8.312877e-6,"(((epsilon * (-0.070082426 * (1.0805962 - (sin(epsilon * epsilon) * ((epsilon - 1.0242673) * -0.09941934))))) - ((-0.20415358 / (exp(epsilon) + -0.05269537)) + -0.5755717)) * ((q + 2.5997095) / (r + 2.5992475))) + -1.1544006"
37,6.60274e-6,"(((q + 2.5988603) / (r + 2.5988603)) * ((((1.0806535 - (sin((epsilon - 0.10414929) * epsilon) * ((epsilon - 1.1934733) * -0.09939443))) * epsilon) * -0.070953384) - ((-0.2047245 / (exp(epsilon) + -0.051678155)) + -0.5759101))) + -1.1542969"
