Complexity,Loss,Equation
1,1.0,"0.0"
3,0.8047414,"sin(exp(theta))"
5,0.44227457,"1.0003471 - (theta * theta)"
6,0.41423556,"sin((theta * 1.7427914) + 1.3597164)"
7,0.4113113,"(1.0854222 - theta) * (theta - -0.92165357)"
8,0.3564188,"exp(0.27484623 * Ef) - (theta * theta)"
9,0.3537627,"(0.290647 * (Ef + 3.4405649)) - (theta * theta)"
10,0.26235637,"exp((Ef + p_d) * 0.26500437) - (theta * theta)"
11,0.22477166,"-1.2061985 - ((-2.124949 - sin(p_d)) * sin(theta + 1.4464582))"
12,0.1575682,"(0.4649009 - sin(theta + 1.4534999)) * ((-2.05516 - Ef) - p_d)"
13,0.122590095,"-1.2061985 - ((-2.124949 - (p_d + sin(Ef))) * sin(theta + 1.4464582))"
14,0.03611209,"-0.6195352 - ((sin(theta + 1.4501195) + -0.26850334) * (-2.1069481 - (p_d + Ef)))"
16,0.01970002,"-1.2061985 - (((-3.3764167 - p_d) * ((Ef * 0.18556045) + 0.62935036)) * sin(theta + 1.4464582))"
18,6.724774e-13,"-0.7720876 - ((sin((theta * 1.1562797) + 1.4325756) * (-2.5838892 - p_d)) * ((Ef * 0.25547472) + 0.6653135))"
20,2.561881e-13,"-0.7720854 - ((sin((theta * 1.1562803) + 1.4325756) * ((-2.5838864 - p_d) * ((Ef * 0.2538545) + 0.6610936))) * 1.0063831)"
22,5.5039974e-14,"-0.7720853 - (((-2.5838668 - (0.9999928 * p_d)) * (sin((theta * 1.1562805) + 1.4325757) * ((Ef * 0.25385582) + 0.6610969))) * 1.0063857)"
24,4.796475e-14,"-0.7720853 - (((Ef * 0.25385585) + 0.6610969) * ((sin((theta * 1.1562805) + 1.4325757) * ((-2.5838668 - p_d) - (p_d * -7.2583007e-6))) * 1.0063857))"
26,4.611647e-14,"-0.7720853 - (((((-2.5838668 - p_d) - ((p_d + -0.023557132) * -7.212178e-6)) * 1.0063857) * sin((theta * 1.1562805) + 1.4325757)) * ((Ef * 0.25385585) + 0.6610969))"
28,4.346839e-14,"-0.7720853 - ((((-2.5838668 - (p_d + (((Ef * -0.03171738) + p_d) * -7.211584e-6))) * 1.0063857) * sin((theta * 1.1562805) + 1.4325757)) * ((Ef * 0.25385582) + 0.6610969))"
29,4.3276506e-14,"-0.7720853 - ((sin((theta * 1.1562805) + 1.4325757) * ((-2.5838668 - ((-7.211584e-6 * (p_d + (-0.043918945 * sin(Ef)))) + p_d)) * 1.0063857)) * ((Ef * 0.25385582) + 0.6610969))"
30,4.2683003e-14,"-0.7720853 - ((sin((theta * 1.1562805) + 1.4325757) * ((-2.5838668 - (p_d + ((p_d + ((Ef - theta) * -0.033741713)) * -7.211584e-6))) * 1.0063857)) * (0.6610969 + (0.25385582 * Ef)))"
31,4.216405e-14,"-0.7720853 - ((sin((theta * 1.1562805) + 1.4325757) * ((-2.5838668 - (p_d + ((p_d + ((Ef - sin(theta)) * -0.033741713)) * -7.211584e-6))) * 1.0063857)) * ((Ef * 0.25385582) + 0.6610969))"
32,4.2004272e-14,"-0.7720853 - ((sin((theta * 1.1562805) + 1.4325757) * ((-2.5838668 - (p_d + (((((theta * -0.5470065) + Ef) * -0.033741713) + p_d) * -7.211584e-6))) * 1.0063857)) * ((Ef * 0.25385582) + 0.6610969))"
33,4.1950855e-14,"-0.7720853 - (((((Ef * 0.25385582) + 0.6610969) * (-2.5838668 - (((p_d + ((Ef - sin(theta * 0.7759215)) * -0.033741713)) * -7.211584e-6) + p_d))) * sin((theta * 1.1562805) + 1.4325757)) * 1.0063857)"
34,4.1358352e-14,"-0.7720853 - ((sin((theta * 1.1562805) + 1.4325757) * ((-2.5838668 - (p_d + ((p_d + ((Ef + ((p_d + theta) * -0.45217633)) * -0.033741713)) * -7.211584e-6))) * 1.0063857)) * ((Ef * 0.25385582) + 0.6610969))"
35,4.1101772e-14,"-0.7720853 - (((Ef * 0.25385582) + 0.6610969) * (sin((theta * 1.1562805) + 1.4325757) * (((-2.5838668 - p_d) - ((((((-1.0207275 - theta) / exp(Ef)) + 1.6198595) * -0.02840636) + p_d) * -7.211584e-6)) * 1.0063857)))"
37,4.0898146e-14,"-0.7720853 - (((Ef * 0.25385582) + 0.6610969) * ((((-2.5838668 - p_d) - ((p_d + ((Ef - (theta * ((sin(p_d) * theta) + 0.6759391))) * -0.02840636)) * -7.211584e-6)) * 1.0063857) * sin((theta * 1.1562805) + 1.4325757)))"
38,4.077724e-14,"-0.7720853 - (((Ef * 0.25385582) + 0.6610969) * ((((-2.5838668 - p_d) - ((p_d + ((Ef - ((theta * ((theta * p_d) + 1.1562805)) * 0.613983)) * -0.033741713)) * -7.211584e-6)) * sin((theta * 1.1562805) + 1.4325757)) * 1.0063857))"
39,4.0734922e-14,"-0.7720853 - (((Ef * 0.25385582) + 0.6610969) * ((((-2.5838668 - p_d) - ((p_d + ((Ef - (theta * ((theta * (-0.30182973 + sin(p_d))) + 0.5458317))) * -0.02840636)) * -7.211584e-6)) * 1.0063857) * sin((theta * 1.1562805) + 1.4325757)))"
40,4.0048084e-14,"-0.7720853 - (((Ef * 0.25385582) + 0.6610969) * ((((-2.5838668 - p_d) - ((p_d + ((Ef - (theta * ((sin(exp(theta) + -0.9499928) + p_d) * theta))) * -0.02840636)) * -7.211584e-6)) * 1.0063857) * sin((theta * 1.1562805) + 1.4325757)))"
