Complexity,Loss,Equation
1,0.61366427,"mom"
2,0.5314976,"sin(mom)"
3,0.51951826,"mom / 1.4425067"
4,0.40102255,"sin(n_rho) + mom"
5,0.26522067,"(mom + n_rho) / 1.6487051"
6,0.25635678,"(sin(n_rho) + mom) * 0.6939208"
7,0.249935,"(mom + (n_rho / 1.3362787)) / 1.4441466"
8,0.20339718,"(n_rho / (2.5012565 - mom)) + sin(mom)"
9,0.19191428,"(n_rho / (2.4978502 - mom)) + (mom / 1.4441466)"
10,0.18571904,"(mom + (n_rho / (1.726124 - sin(mom)))) / 1.4204067"
11,0.17929511,"((n_rho + ((T - B) * -0.33853632)) + mom) * 0.60637635"
12,0.1569771,"((B * 0.21671045) + sin(mom)) + (n_rho / (2.4705794 - mom))"
13,0.14107804,"((mom + ((kb + (T - B)) * -0.33853632)) + n_rho) * 0.60637635"
14,0.11801447,"((B - T) * 0.20078464) + ((n_rho / (2.5012565 - mom)) + sin(mom))"
15,0.1065693,"((n_rho / (2.5012565 - mom)) + (mom / 1.4170259)) + ((B - T) * 0.20078464)"
16,0.07870531,"(n_rho / (2.5012565 - mom)) + (sin(mom) + ((B - (kb + T)) * 0.20078464))"
17,0.06833858,"(n_rho / (2.5012565 - mom)) + ((mom + ((B - (T + kb)) * 0.2787384)) / 1.3749142)"
18,0.06134749,"((((T + kb) - B) * 0.29361767) - (mom + (n_rho / (1.7496226 - sin(mom))))) * -0.7010538"
19,0.036982227,"((((n_rho * -0.51756907) + -1.3303838) * ((((kb - B) + T) * 0.29361767) - mom)) + n_rho) * 0.52085733"
20,0.03555417,"(n_rho + ((sin(((kb + T) - B) * 0.3424996) - mom) * ((n_rho * -0.5062307) + -1.3127639))) * 0.52792454"
22,0.026273346,"(((n_rho * -0.26670069) + -0.6967861) * ((sin(((T - 1.2799265) + (kb - B)) * 0.4085183) + -1.5641321) - mom)) + -1.3558093"
24,0.026262145,"((n_rho * 0.42027017) - 0.26306736) + (((n_rho * -0.26749495) + -0.699905) * (sin(((kb + (T - 1.2542992)) - B) * 0.39684308) - mom))"
26,0.026242815,"((n_rho * 0.42027017) - 0.26306736) + (((n_rho * -0.26749495) + -0.699905) * (sin((kb + ((T - 1.2615106) - B)) * 0.39684308) - (mom / 1.0054593)))"
28,0.02622038,"(((n_rho * -0.26803166) + -0.7671599) * (sin((((T - B) + kb) - 1.4262704) * 0.36602232) - mom)) + (((n_rho - (mom * 0.16909204)) * 0.41427314) + -0.31484285)"
29,0.026044643,"(0.16795269 + (((n_rho * -0.26939452) + -0.69586426) * (sin(0.4094545 * (kb + ((T - B) - 1.189269))) - mom))) + ((n_rho - exp(B * -0.036157653)) * 0.41754705)"
30,0.024175791,"(((n_rho - ((mom * B) * -0.13443403)) * 0.41686782) + -0.27107725) + (((n_rho * -0.27265093) + -0.7069772) * (sin((((T - B) + kb) - 1.3856375) * 0.4241078) - mom))"
31,0.021944994,"((sin((((T + kb) - 1.3703729) - B) * 0.35713243) - mom) * ((n_rho * -0.2677885) + -0.75616366)) + (((n_rho * 0.41597953) + -0.28951916) - ((mom * 0.04033866) / exp(B)))"
33,0.019331757,"(((sin(((T + (kb - 1.4262704)) - B) * 0.36602232) - mom) * ((n_rho * -0.26803166) + -0.7671599)) + ((n_rho - (exp(kb - B) * (mom * 0.06285742))) * 0.41427314)) + -0.3140972"
34,0.018245284,"-0.31484285 + (((n_rho - ((mom * exp(sin(kb) - B)) * 0.077171616)) * 0.41427314) + (((n_rho * -0.26803166) + -0.7671599) * (sin(((kb - 1.4262704) + (T - B)) * 0.36602232) - mom)))"
35,0.018073674,"((sin(((T + (kb - 1.4590681)) - B) * 0.3509353) - mom) * ((n_rho * -0.27609965) + -0.767275)) + (-0.30921906 + (0.4079654 * (n_rho - (((kb + exp(T - B)) * mom) * 0.06488288))))"
36,0.015862588,"(((sin((((kb + T) - 1.4994963) - B) * 0.35783538) - mom) * ((n_rho * -0.26389045) + -0.780909)) + ((n_rho - (exp(sin(T + kb) - B) * (mom * 0.10197137))) * 0.41293764)) + -0.34236887"
37,0.014511291,"((((n_rho * -0.26803166) + -0.7671599) * (sin(((kb - 1.4262704) + (T - B)) * 0.36602232) - mom)) + ((n_rho - ((mom * exp((sin(T) - B) + sin(kb))) * 0.06285742)) * 0.41427314)) + -0.3083385"
39,0.014193896,"((((n_rho * -0.2731414) + -0.7873767) * (sin((((kb - 1.573593) - B) + T) * 0.36280936) - mom)) + (((n_rho - ((mom * exp(((T + kb) * 0.4988772) - B)) * 0.21137926)) + n_rho) * 0.20047118)) + -0.34699693"
40,0.014164056,"((((n_rho * -0.2731414) + -0.7873767) * (sin((((kb - 1.573593) - B) + T) * 0.36280936) - mom)) + (((n_rho - (mom * (exp(sin((T + kb) * 0.600717) - B) * 0.21137926))) + n_rho) * 0.20078464)) + -0.34699693"
