Complexity,Loss,Equation
1,0.9999999,"1.2716033e-7"
2,0.8394461,"sin(q)"
3,0.6831624,"r * -0.562695"
4,0.679562,"sin(v - r)"
5,0.45202494,"(r - q) * -0.5233002"
7,0.21784322,"(q - (r - v)) * 0.51099956"
9,0.0875331,"((q + v) - r) / (2.625126 + r)"
11,0.043394204,"(((v + q) - r) / (r + 2.5381143)) - 0.22224952"
13,0.04322146,"((q + (v + 2.5964048)) * (1.0431402 / (r + 2.593632))) + -1.2608343"
14,0.008878264,"((v + 2.6995873) * (exp(q * 0.36310935) / (r + 2.632014))) + -1.3128366"
15,1.072793e-9,"(((v + 2.5964394) * (1.043225 - (q * -0.40180117))) / (r + 2.5936093)) + -1.2609235"
19,7.8605417e-10,"((((r * -5.104965e-5) + (1.0431833 - (q * -0.4018048))) * (v + 2.5964015)) / (r + 2.5936484)) + -1.2608405"
21,6.912472e-10,"((((1.0431299 - (q * -0.40180466)) + ((r - 0.8813341) * -5.165495e-5)) * (v + 2.5964017)) / (r + 2.5936384)) + -1.2608399"
23,6.1716476e-10,"((((v + 2.596408) * (1.043148 - (q * -0.40180522))) + ((r + (r - v)) * -0.000101006)) / (r + 2.593653)) + -1.2608299"
25,2.527084e-10,"((((v + 2.596408) * (1.0431402 - (q * -0.4018021))) + ((((r + r) + -0.6054976) - v) * -7.7427736e-5)) / (r + 2.593632)) + -1.2608343"
27,2.2489587e-10,"((((1.0431368 - (q * -0.40180093)) * (v + 2.5964038)) + (((r + (r + r)) + (2.0493305 - v)) * -7.465095e-5)) / (r + 2.5936217)) + -1.2607597"
29,1.8473675e-10,"((((1.0431402 - (q * -0.4018021)) * (v + 2.5964048)) + (((((q * -0.21588854) - v) + (r + -0.6054976)) + r) * -7.7427736e-5)) / (r + 2.593632)) + -1.2608343"
31,1.2205138e-10,"((((v + 2.5964048) * (1.0431402 - (q * -0.4018021))) + ((((r + r) + -0.6054976) + (((q * v) * 0.29275423) - v)) * -7.7427736e-5)) / (r + 2.593632)) + -1.2608343"
33,4.624946e-11,"((((1.0431402 - (q * -0.4018021)) * (v + 2.5964048)) + (((r + (((q * 0.28301448) * (v + -0.7654903)) + (r - v))) + -0.6054976) * -7.7427736e-5)) / (r + 2.593632)) + -1.2608343"
35,3.042693e-11,"((((r + ((r + (((q * (v + -0.5392219)) * 0.3113756) + r)) + (2.049405 - v))) * -7.627406e-5) + ((1.0431368 - (q * -0.40180093)) * (v + 2.5964038))) / (r + 2.5936217)) + -1.2607597"
37,2.4897877e-11,"((((((r + r) + ((q * (v + -0.5392219)) * 0.3113756)) + ((2.049405 - v) + (r / 1.0297767))) * -7.627406e-5) + ((1.0431368 - (q * -0.40180093)) * (v + 2.5964038))) / (r + 2.5936217)) + -1.2607597"
39,1.5637913e-11,"((((r + (((1.9297237 - v) + (r + r)) + ((v + -0.6583899) * ((q + (r * 0.2549371)) * 0.30708635)))) * -7.627089e-5) + ((1.0431368 - (q * -0.4018009)) * (v + 2.5964038))) / (r + 2.5936248)) + -1.2607597"
40,1.5476877e-11,"(((((((v + -0.6679108) * (q + (sin(r) * 0.36393353))) * 0.30708635) + (((r - v) + (r + r)) + 1.9297237)) * -7.6271266e-5) + ((v + 2.5964038) * (1.0431368 - (q * -0.4018009)))) / (r + 2.5936248)) + -1.2607597"
