Complexity,Loss,Equation
1,1.0,"-2.623422e-16"
3,0.83651227,"L * -0.40455"
4,0.81988966,"sin(theta1 * theta2)"
6,0.78967637,"sin((theta1 / 0.7406927) * theta2)"
7,0.70249575,"sin(exp(theta2) + (theta1 * -1.7279018))"
8,0.4753805,"sin((theta2 - (theta1 + -0.91649204)) / 0.5791341)"
10,0.47508085,"sin((theta2 - (theta1 + -0.9196408)) / 0.5791341) * 1.019954"
11,0.4465829,"sin((theta2 - (theta1 + -0.91649204)) / 0.5791341) - sin(L)"
12,0.3125089,"sin((theta2 - (theta1 + -0.91649204)) / 0.5791341) - (L * 0.39991948)"
14,0.2976369,"sin((theta2 - (theta1 + -0.9115958)) / 0.57360613) - ((L - k_G) * 0.29022315)"
15,0.28399196,"sin((theta2 - (theta1 + -0.90140784)) / 0.5791341) - ((L - sin(k_G)) * 0.35295036)"
16,0.26949656,"sin((theta2 - (theta1 + -0.9115958)) / 0.57360613) - ((L - (m + k_G)) * 0.25416282)"
17,0.17857674,"(exp(L * -0.4538041) * (sin((theta2 - (theta1 + -0.9115958)) / 0.57360613) + 0.9183146)) + -1.0278543"
19,0.15603028,"((sin((theta2 - (theta1 + -0.9115958)) / 0.57360613) + 0.9308866) * exp((m - L) * 0.28586453)) + -1.0464637"
20,0.12309721,"(exp(0.38392517 * (sin(m) - L)) * (sin((theta2 - (theta1 + -0.9115958)) / 0.57360613) + 0.9183146)) + -1.0351577"
21,0.10252846,"((sin((theta2 - (theta1 + -0.91649204)) / 0.5791341) + 0.8721877) * exp(((m - L) - L) * 0.21798193)) + -0.98174906"
22,0.09715476,"((sin((theta2 - (theta1 + -0.9115958)) / 0.57360613) + 0.9308866) * exp((m - (L - sin(k_G))) * 0.28586453)) + -1.0464637"
23,0.044874966,"((sin((theta2 - (theta1 + -0.91649204)) / 0.5791341) + 0.8721877) * exp(((m - (L - k_G)) - L) * 0.21798193)) + -0.98174906"
25,0.042988736,"(exp(((m + (k_G - L)) - L) * 0.20042634) * (sin(((theta1 * -1.7524517) + (theta2 / 0.568504)) + 1.5602541) + 0.92898095)) + -1.0356982"
27,0.031678315,"(((sin((theta2 / 0.5809632) + ((theta1 * -1.7540694) + 1.5759393)) / 1.1658218) + 0.74877095) * exp(((k_G + (m - L)) - L) * 0.23537306)) + -0.8669288"
33,0.029980762,"exp((((k_G + m) - L) - L) * 0.1844711) * ((L / -2.5323913) + ((((m + -1.2258592) + k_G) * 0.1661474) + sin((theta2 / 0.5813213) + ((theta1 * -1.7218829) + 1.5626551))))"
35,0.022168417,"(((sin((theta2 / 0.5786216) + ((theta1 * -1.7042423) + 1.5867068)) + (L / -2.5328913)) * exp(((m - L) + (k_G - L)) * 0.22766069)) + (((m + -1.0904518) + k_G) * 0.18872985)) / 1.1732686"
36,0.021546155,"(((sin((theta2 / 0.5786216) + ((theta1 * -1.7042423) + 1.5867068)) + (L / -2.5328913)) * exp(((m - L) + (k_G - L)) * 0.22766069)) + sin(0.1898686 * (k_G + (m + -1.0904518)))) / 1.1732686"
37,0.021540027,"((((L / -2.8423743) + (sin(((theta2 / 0.58636844) + 1.5822935) + (theta1 * -1.7427665)) / 1.087696)) * exp((m + ((k_G - L) - L)) * 0.23346698)) + (((k_G + m) + -1.1427318) * 0.16904847)) / 1.0791277"
38,0.021038389,"((((L / -2.8423743) + (sin(((theta1 * -1.7427665) + (theta2 / 0.58636844)) + 1.5822935) / 1.087696)) * exp((m + ((k_G - L) - L)) * 0.23346698)) + sin((k_G + (m + -1.1427318)) * 0.16986416)) / 1.0791277"
