Complexity,Loss,Equation
1,0.97491586,"I_0"
2,0.79867953,"sin(I_0)"
3,0.6448155,"delta * -0.5961021"
4,0.57503814,"sin(I_0 - delta)"
5,0.38951614,"(I_0 - delta) * 0.5507024"
7,0.2911409,"((I_0 - delta) - alpha) * 0.485119"
8,0.2696558,"(sin(alpha) + (delta - I_0)) * -0.5344676"
9,0.236701,"((delta * (-1.3136672 - n)) + I_0) * 0.45312682"
10,0.16911185,"((I_0 - (delta * exp(n))) - alpha) * 0.3540765"
11,0.11719789,"((I_0 - alpha) + ((-1.4066532 - n) * delta)) * 0.42098716"
12,0.11311818,"((((-1.2945966 - n) * delta) + I_0) - sin(alpha)) * 0.4566782"
13,0.10551325,"((1.3593819 * I_0) + ((delta * (-1.5789461 - n)) - alpha)) * 0.37432215"
14,0.10423497,"((delta * (-1.5283335 - (n + sin(I_0)))) + (I_0 - alpha)) * 0.38968644"
15,0.080179796,"((I_0 * 0.08063257) + 0.41840112) * ((delta * (-1.4541254 - n)) + (I_0 - alpha))"
16,0.07915651,"((I_0 + ((-1.3778175 - n) * delta)) - sin(alpha)) * ((I_0 * 0.07909946) + 0.44191265)"
17,0.05176013,"(((((delta * (-1.5522164 - n)) + 4.634591) - alpha) * (I_0 + 3.4705355)) * 0.10960968) + -1.765058"
18,0.043971498,"(((I_0 + (3.564831 - sin(alpha))) * ((delta * (-1.4618309 - n)) + 4.493492)) * 0.11158728) + -1.7969581"
19,0.038203444,"(((4.1220574 - alpha) + ((delta - 0.2971553) * (-1.551 - n))) * (0.10983036 * (3.4705355 + I_0))) + -1.7528716"
20,0.029892962,"(((I_0 - sin(alpha)) + 3.6494358) * ((((delta - 0.26922998) * (-1.5045265 - n)) + 4.2859445) * 0.10810632)) + -1.859029"
21,0.027431289,"((I_0 + (3.6664033 - (alpha * 0.74526864))) * ((((delta - 0.26984006) * (-1.5014297 - n)) + 4.2859445) * 0.10810632)) + -1.859029"
23,0.025310189,"(((((((alpha * 0.29630148) - n) + -1.5574185) * (delta - 0.23846522)) - alpha) + 4.1081934) * ((I_0 + 3.32504) * 0.11349373)) + -1.698655"
24,0.02429472,"((((4.0288334 - sin(alpha)) + (((-1.4907293 - n) + (alpha * 0.32091233)) * (delta - 0.31797996))) * 0.11382405) * (I_0 + 3.480384)) + -1.7904667"
25,0.015853288,"(((I_0 + 3.4705355) * 0.10983036) * ((4.1220574 + ((-1.551 - n) * (delta + ((-0.2023193 * (alpha * delta)) - 0.30365956)))) - alpha)) + -1.7551284"
26,0.015831582,"(((((-1.551 - n) * ((sin(alpha * (delta * -0.20984133)) + delta) - 0.30171198)) + 4.1220574) - alpha) * ((I_0 + 3.4705355) * 0.10983036)) + -1.7528716"
27,0.007520838,"(((((-1.5606695 - n) * (delta - ((((delta * alpha) - n) * 0.2235532) + 0.65621936))) + 3.6653805) - alpha) * ((I_0 + 3.3856275) * 0.111591026)) - 1.6861725"
