Complexity,Loss,Equation
1,0.9999999,"6.711554e-5"
3,0.6279642,"r * -0.610083"
5,0.5855223,"0.29059958 / (r + 1.7924479)"
6,0.39891416,"log(1.35273 / (r + 1.7764616))"
7,0.3346158,"(1.0842776 / (r + 1.9577265)) + -0.87679136"
8,0.3310775,"-0.45594993 - (exp(r * -2.4233289) * -0.057193913)"
10,0.24441959,"(exp(-0.2666241 * epsilon) / (r + 1.9460285)) + -0.85974336"
12,0.16170351,"(exp((epsilon - p_d) * -0.23886138) / (r + 1.950138)) + -0.8664832"
14,0.0816781,"(exp(((epsilon - z) - p_d) * -0.2344513) / (r + 1.950138)) + -0.894645"
16,0.08061845,"((exp(((epsilon - z) - p_d) * -0.23665409) / (r + 1.9460285)) + -0.894645) / 1.0336077"
18,0.066575155,"-0.45971522 - ((r * -0.18977718) * (exp((((epsilon - z) - p_d) * -0.30689484) - r) * r))"
19,0.055635933,"-0.4568769 - ((exp((((epsilon - z) - p_d) * -0.30689484) - r) * exp(r * -1.4036162)) * -0.050961833)"
21,0.036143668,"-0.4568769 - ((exp((-0.31358677 * ((epsilon - z) - p_d)) - r) * -0.050961833) * (exp(r * -1.4009225) + y))"
23,0.016477238,"-0.4568769 - ((exp((-0.30438247 * ((epsilon - z) - p_d)) - r) * -0.050961833) * (exp(r * -1.4009225) + (y + x)))"
25,0.01176896,"-0.4768779 - (exp((r * -1.3973209) + ((x + y) * 0.14383972)) * (exp((((epsilon - z) - p_d) * -0.28754815) - r) * -0.052325815))"
27,0.011557043,"-0.46722057 - (exp(((x + y) * 0.13540289) + (r * -1.3973209)) * (-0.05090773 * (exp((((epsilon - z) - p_d) * -0.28754815) - r) / 0.9673071)))"
29,0.011515996,"-0.45985696 - ((((exp((-1.4004083 * r) + (0.14383972 * y)) + x) + (-0.38159752 * epsilon)) * exp((-0.28754815 * ((epsilon - z) - p_d)) - r)) * -0.05090773)"
30,0.011221114,"-0.47747108 - ((((exp((r * -1.4004083) + (y * 0.14383972)) + 0.33529013) - (r * sin(x))) * -0.05090773) * exp((-0.28754815 * ((epsilon - z) - p_d)) - r))"
31,0.010180479,"-0.48185265 - (((x + (exp((r * -1.4004083) + (0.14383972 * y)) + (epsilon * (epsilon * 0.35842064)))) * exp((((epsilon - z) - p_d) * -0.28754815) - r)) * -0.05090773)"
32,0.009399632,"(((exp((((epsilon - z) - p_d) * -0.27566797) - r) - 0.47313502) * (x + ((epsilon * sin(epsilon)) + exp((y * 0.15181686) + (r * -1.4181957))))) * 0.051996756) - 0.4573842"
33,0.0087158345,"-0.44078538 - (((exp((((epsilon - z) - p_d) * -0.2666568) - r) * -0.061932493) - -0.04114932) * (((epsilon * epsilon) * 0.3578902) + (exp((y * 0.15123434) + (r * -1.3566256)) + x)))"
35,0.0086149955,"-0.44078538 - ((((exp((((epsilon - z) - p_d) * -0.2666568) - r) * -0.061932493) - -0.04114932) * (exp((-1.3566256 * r) + (y * 0.15123434)) + (x + ((epsilon * epsilon) * 0.38900036)))) * 0.9942683)"
37,0.008560096,"((-0.47698492 - (((exp((((epsilon - z) - p_d) * -0.2666568) - r) * -0.061932493) - -0.04114932) * (exp((y * 0.15181686) + (r * -1.3566256)) + (((epsilon * epsilon) * 0.38900036) + x)))) * 0.9875506) + 0.03089095"
