Complexity,Loss,Equation
1,1.0,"0.0"
2,0.92528814,"sin(mom)"
3,0.7910684,"kb * -0.4572435"
4,0.7840825,"sin(mom - T)"
5,0.58178574,"(kb + T) * -0.4572435"
7,0.40151557,"((mom - kb) - T) * 0.4477556"
9,0.3187004,"((mom + (H - kb)) - T) * 0.41309488"
10,0.30753502,"(((mom + sin(H)) - T) - kb) * 0.44261009"
11,0.28625938,"((((mom - T) + H) - c) - kb) * 0.3781899"
12,0.2197299,"exp((H + ((mom - kb) - T)) * 0.3274741) + -1.2397273"
14,0.21807788,"(exp((H + ((mom - kb) - T)) * 0.276909) + -1.1739134) * 1.3272481"
16,0.16163352,"(exp((kb - (mom + (H - T))) * -0.3280842) - (c * 0.23834552)) + -1.2289448"
18,0.15437765,"exp((kb - ((mom + H) - T)) * -0.33378136) + (-1.23198 - ((epsilon + c) * 0.18479131))"
19,0.1513563,"exp((kb - (mom + (H - T))) * -0.33378136) + (-1.23198 - ((c + sin(epsilon)) * 0.18479131))"
20,0.15020989,"(-1.23198 + exp(-0.31830037 * (kb - ((mom + H) - T)))) - (0.2108198 * (c + (epsilon * 0.6644693)))"
21,0.13727625,"((H + ((mom - kb) - (log(c + 2.0609627) + T))) * 0.37624183) * exp((kb + T) * -0.29454264)"
22,0.12451841,"((mom + (sin(H) - kb)) - (log(c + 2.0285447) + T)) * (exp((T + kb) * -0.28389913) * 0.40789533)"
24,0.12185792,"((mom + -0.586136) + ((((c * -0.620851) + (H - kb)) - T) * exp(((mom - kb) - T) * 0.26917484))) * 0.35253987"
25,0.11824355,"0.3820234 * ((((((c * -0.6107012) - T) + sin(H)) - kb) * exp(((mom - kb) - T) * 0.2588112)) + (-0.5593928 + mom))"
26,0.113568395,"(((H + ((c * -0.75591284) + ((1.045426 - T) - kb))) * exp(0.26486647 * ((mom - kb) - T))) + (mom - 1.7295283)) * 0.2954545"
28,0.10261,"(H + (((((mom + ((alpha - epsilon) * 0.26608446)) - kb) - (T + 0.50716305)) * 1.5282338) - c)) * (exp((kb + T) * -0.26236945) * 0.27566457)"
29,0.102472395,"(exp((T + kb) * -0.259779) * 0.42357898) * (((alpha - epsilon) * 0.26908302) + (((c * -0.52720445) - (T + 0.52786547)) + ((mom + sin(H)) - kb)))"
30,0.08793956,"(exp((kb + T) * -0.26821697) * ((((((mom + ((alpha - (epsilon - M)) * 0.26608446)) - kb) - (T + 0.5353477)) * 1.7304701) - c) + H)) * 0.24604693"
31,0.086947285,"exp((T + kb) * -0.259779) * (((((mom + sin(H)) - kb) + (((alpha - (epsilon - M)) * 0.26908302) + (c * -0.52720445))) - (T + 0.52786547)) * 0.42357898)"
32,0.07408194,"(((mom + ((H + (((alpha - ((epsilon + c) - M)) * ((c * -0.21053278) - -0.37028113)) - kb)) - T)) * 0.3626549) * exp((T + kb) * -0.26915118)) - 0.28839532"
33,0.071419105,"((exp((kb + T) * -0.27847525) * 0.3626549) * ((mom + ((sin(H) + ((alpha - ((epsilon + c) - M)) * ((c * -0.21053278) - -0.37028113))) - kb)) - T)) - 0.29511067"
34,0.059772514,"(exp((kb + T) * -0.26092055) * (((((c * -0.16676416) - -0.33016798) * (alpha - (c + (c + (epsilon - M))))) + (((H + mom) - kb) - T)) * 0.35930133)) - 0.32689452"
36,0.048716746,"(((((((c * -0.22709309) + 0.34990278) * ((alpha - ((c + -1.4073433) + (epsilon - M))) + mom)) - T) + ((mom + H) - kb)) * exp((kb + T) * -0.29648694)) * 0.3187857) - 0.4469436"
38,0.045442525,"(((exp((kb + T) * -0.29648694) * 0.3187857) * ((((mom - kb) + ((alpha + (mom - (((epsilon - M) + c) + -1.6434288))) * ((c * -0.22709309) + 0.34990278))) - T) + H)) - 0.4755392) / 1.0639803"
