Complexity,Loss,Equation
1,0.59495026,"rho"
2,0.5211977,"sin(rho)"
3,0.20464623,"G + rho"
4,0.12683554,"sin(G) + rho"
5,0.021296743,"(rho + G) * 0.69798505"
9,0.018196048,"(0.70183206 * (rho + G)) + (0.054408785 * d)"
11,0.011411762,"((G * 0.09954644) * rho) + ((G + rho) * 0.69776)"
12,0.011411739,"(G * sin(0.09971159 * rho)) + ((rho + G) * 0.69776)"
13,0.009387728,"(rho + (G + (((rho * G) + d) * 0.11407858))) * 0.69151115"
14,0.008993475,"((sin(d) + (rho * G)) * 0.09829391) + ((G + rho) * 0.69151115)"
15,0.008330496,"(((rho * G) + (d / 1.8183664)) * 0.09971159) + ((G + rho) * 0.69776)"
16,0.0071221925,"(((G + -0.84554815) - sin((0.39947137 * (G - rho)) + -1.6317497)) + rho) / 1.4283289"
18,0.006552371,"-0.8909607 + (((rho + G) / 1.4341468) - sin((((G / -0.9802778) + rho) * -0.33430585) + -1.5619726))"
20,0.0036326787,"((((rho + G) / 1.4155481) - (d * -0.0505828)) + -0.8956629) - sin(((rho - G) * 0.32714403) + -1.5786992)"
21,0.0028789705,"((((rho + (-0.05697226 / exp(d))) + G) / 1.430876) - sin(((rho - G) * 0.32818794) + -1.5738298)) + -0.8308496"
23,0.0028694868,"((((rho + (-0.05697226 / exp(d))) + G) / 1.430876) - sin((((G * -1.0344377) + rho) * 0.32818794) + -1.5738298)) + -0.8308496"
24,0.0027677948,"((((c - d) * -0.0505828) - sin(-1.5786992 + (0.3426565 * (rho + (-0.9532949 * G))))) + ((rho + G) / 1.4155481)) + -0.89131016"
25,0.0025437707,"((((G + rho) / 1.4155481) - sin(-1.5786992 + (0.3426565 * ((-0.9532949 * G) + rho)))) + -0.89131016) + ((d - sin(c)) * 0.054933432)"
26,0.0025435041,"((((G + rho) / 1.4155481) - sin(-1.5786992 + (0.3426565 * ((-0.9532949 * G) + rho)))) + -0.89131016) + ((d - sin(c)) * sin(0.054933432))"
27,0.0013484849,"(((G + ((((-1.7513831 - c) * 0.032408662) / exp(d)) + rho)) / 1.4243556) + -0.8282831) - sin((((G * -1.027472) + rho) * -0.33345625) + -1.5517514)"
28,0.0012712437,"((((G + rho) + ((0.039511953 * (-1.4977483 - sin(c))) / exp(d))) / 1.430876) + -0.8308496) - sin(((rho + (-1.0344377 * G)) * -0.3238295) + -1.5738298)"
29,0.0011695179,"((((rho + G) + ((((d - c) / exp(d)) - alpha) * 0.028329609)) / 1.4365033) + -0.87624365) - sin((-0.3271307 * (rho + (G / -1.0278147))) + -1.5594946)"
30,0.0010661399,"((((rho + G) + ((((-1.4977483 - sin(c)) / exp(d)) - alpha) * 0.039511953)) / 1.430876) + -0.8308496) - sin(((rho + (G * -1.0344377)) * -0.3238295) + -1.5738298)"
31,0.0009878183,"(((rho + G) + ((((d - c) / exp(d)) + (d - alpha)) * 0.028329609)) / 1.4365033) + (-0.87624365 - sin((((G / -1.0278147) + rho) * -0.3271307) + -1.5594946))"
32,0.00095750205,"((rho + (G + ((((d - c) / exp(d)) + (sin(d) - alpha)) * 0.028329609))) / 1.4365033) + (-0.87624365 - sin((((G / -1.0278147) + rho) * -0.3271307) + -1.5594946))"
33,0.00092760863,"(((rho + ((((d - c) / exp(d / 1.0761142)) + (d - alpha)) * 0.028329609)) + G) / 1.4365033) + (-0.87624365 - sin((((G * -1.0278147) + rho) * -0.3271307) + -1.5594946))"
35,0.000799189,"(((((((d + ((rho * 0.33316967) - c)) / exp(d)) + (d - alpha)) * 0.026198814) + G) + rho) / 1.4458183) + (-0.8700401 - sin(((rho + (G * -1.0156646)) * -0.33034936) + -1.5875208))"
37,0.00079193484,"((((rho + G) + ((((((rho * (0.34344253 + 0.016123379)) + (d - c)) / exp(d)) + d) - alpha) * 0.026198814)) / 1.4458183) + -0.8700401) - sin(((rho + (G * -1.0156646)) * -0.33034936) + -1.5875208)"
