Complexity,Loss,Equation
1,0.21543995,"d"
3,0.20383635,"d * 0.892384"
5,0.10584149,"(G * -0.33120808) + d"
7,0.08841473,"(G / (d + -3.2824478)) + d"
8,0.08445732,"d + ((G + sin(m1)) / -3.4510207)"
9,0.071418464,"d + (((m2 + G) + m1) / -4.578125)"
10,0.06393539,"d + ((G + sin(m1)) / (d + -3.5635967))"
11,0.05133534,"(((G + m2) + m1) / (d + -4.491509)) + d"
12,0.04613522,"(((m1 + G) + sin(m2)) / (d + -4.151524)) + d"
13,0.02663001,"d + ((G + ((m2 + m1) * 0.48110014)) / (d + -3.2608895))"
15,0.01539872,"(d + ((((m2 + m1) * 0.49785587) + G) / (d + -3.0732007))) / 1.1169616"
17,0.013441317,"(d / 1.117279) + ((d + 2.3636105) * ((m1 + (m2 + (G / 0.49594605))) * -0.069344476))"
19,0.009975315,"((((m2 + m1) * 0.48590624) + G) / ((d - (G * 0.34212404)) + -3.3699894)) + (d / 1.1514965)"
20,0.008553224,"(((G + ((m2 + m1) * 0.51046824)) / (d + (-3.6927955 - sin(G)))) - 0.076995715) + (d / 1.1727592)"
21,0.007613389,"((d + -0.06858151) / 1.1803666) + ((G + ((m1 + m2) * 0.49777454)) / ((d - (G * 0.49777454)) + -3.4788642))"
23,0.0057517546,"((((G + (m1 + -3.8050811)) * (-0.13073136 / (d + -3.3314953))) * (m2 + (G + -3.8050811))) - (d * -0.6727966)) + -0.6727966"
24,0.005318732,"(((m2 + (G + -3.6924803)) * ((((m1 + G) + -3.7500763) * -0.077643156) / (sin(d) + -2.0533793))) - (d * -0.6457763)) - 0.6510603"
26,0.00461334,"((((G + (m1 + -3.7864785)) / (sin(d / 1.3602319) + -1.9252759)) * ((G + m2) + -3.7864785)) * -0.07533008) + ((d * 0.66150975) - 0.6757624)"
27,0.0045681647,"(d + ((((G + (d * d)) + -6.036238) * ((((G / 0.47962603) + (m1 + m2)) / (d + -2.4030802)) - 0.22971591)) * -0.07516809)) / 1.1656929"
28,0.004498536,"((d * 0.6523932) - 0.6523932) + ((((m1 + (1.0742233 * G)) + -3.7864006) * (-0.0694671 / (-1.8743837 + sin(d / 1.3055712)))) * (-3.8081353 + (G + m2)))"
29,0.003193398,"(d / 1.3480142) + (((m2 + m1) + ((d + (-0.74817115 + (G / -0.52619714))) * -1.1029255)) * (((d / 0.7191703) + 3.9042766) / ((G / -0.21914959) + -25.021473)))"
31,0.00306316,"(d / 1.3039352) + (((((((G * -2.2122734) + d) + -0.81744695) * -0.9038955) + (m1 + m2)) * ((d / -0.35836864) + -7.3845234)) * (-0.25956675 / ((G * -2.3223155) + -12.107212)))"
33,0.002726929,"(((m2 + ((((-0.7575302 + (G / -0.5275615)) + d) * -1.0456493) + m1)) * (-0.25834766 / ((G / -0.22125468) + -25.000732))) * (m2 + ((d / -0.1818958) + -15.630857))) + (d / 1.3477527)"
34,0.0027074323,"((((((G / -0.5275615) + -0.7575302) + d) * -1.0456493) + (m2 + m1)) * ((((sin(m1) + (d / -0.17890492)) + -15.630857) * -0.25834766) / ((G / -0.22125468) + -25.000732))) + (d / 1.3453394)"
35,0.0018804435,"(d / 1.3039352) + ((((m1 * m2) + (((m1 + m2) + ((((G * -2.2291594) + d) + -0.8278567) * -0.9038955)) * ((d / -0.36651987) + -7.3845234))) * -0.25956675) / ((G * -2.3223155) + -12.107212))"
36,0.0013081565,"(d / 1.2850791) + (((((m1 + ((((G * -2.164646) + (d + -1.0528427)) * -0.9465781) + m2)) * ((d / -0.35209996) + -7.414282)) + exp(m1 * m2)) / ((G / -0.40786338) + -12.608275)) * -0.26421678)"
38,0.0012632456,"(d / 1.2850791) + ((((((((G * -2.164646) + (d + -1.0528427)) * -0.9465781) + (m2 + m1)) * ((d / -0.35209996) + -7.414282)) + exp((m1 * m2) * 0.94867337)) * -0.26317343) / ((G / -0.40786338) + -12.608275))"
39,0.0011693027,"(d / 1.2801914) + ((((((((d + -1.1246576) + (G * -2.1060588)) * -0.9519006) + (m1 + m2)) * ((d / -0.35912466) + -7.4112124)) + exp((m2 * sin(m1)) + 0.59243107)) / ((G / -0.41400197) + -12.627964)) * -0.27037752)"
40,0.0010692503,"((((((((((G * -2.158383) + d) + -1.0587403) * -0.9214822) + m1) + m2) * ((d / -0.36966896) + -7.4014215)) + exp((d + (m2 * m1)) / 1.3374685)) * -0.27167717) / ((G / -0.4116286) + -12.627462)) + (d / 1.3311191)"
