Complexity,Loss,Equation
1,0.9999999,"7.787242e-5"
3,0.15186696,"x * -0.9209361"
5,0.14972848,"(0.0013777465 / y) - x"
6,0.12764704,"sin(0.086597934 / y) - x"
8,0.100316115,"(x * sin(-0.07640342 / y)) - x"
9,0.06426598,"x * (-0.44569194 - exp(sin(y * 3.0707393)))"
10,0.052632496,"exp(y * ((y + -0.40943804) * -27.718159)) - x"
11,0.0467799,"x * (-0.39515212 - exp(sin((y + 0.18202183) * 2.7664888)))"
12,0.031633202,"(x * -0.851323) + exp((y + -0.40850973) * (y * -30.393866))"
13,0.031592175,"exp((y * sin(y + -0.40979573)) * -30.393866) + (x * -0.8527553)"
14,0.027537482,"(-0.8493124 * x) + (exp((-20.023891 * y) * (y + -0.40321133)) / 0.65203583)"
15,0.02289175,"(sin(x * -0.45940268) - (x * exp((y * y) * -13.900891))) * 2.1168785"
17,0.016989317,"(sin(x * -0.48391822) - (x * exp(y * ((y * -11.13941) + 1.1973476)))) * 1.9913874"
19,0.014558279,"(sin(x * -0.47827682) - (exp(y * (0.6985795 + (-11.13941 * y))) * (x - y))) * 1.9913874"
20,0.013732497,"(sin(x * -0.47660697) - (((exp(y) * x) - y) * exp((y * y) * -9.958565))) * 1.9615065"
21,0.011421358,"((x - y) * ((exp((y * -7.917656) * y) - (x * 0.062322654)) * -1.9394864)) + sin(x * -0.888467)"
22,0.0103942435,"sin(x * -0.97278863) + (((x - sin(y)) * (exp((y * y) * -8.400124) - (x * 0.07973038))) * -1.9285567)"
23,0.0067982976,"((x - y) * ((exp(y * (y * -9.435515)) - ((x - 0.6511749) * 0.05484766)) * -1.9857118)) + sin(x * -0.87039274)"
24,0.006579574,"(sin(x * -0.5671525) / 0.5951386) + (((exp((y * y) * -9.133663) - (y * -0.04853566)) * -2.0180933) * (x - sin(y)))"
25,0.0048795138,"((x - y) * ((exp(((y * -6.7200894) + 0.81501603) * y) - ((x - 0.4292365) * 0.07072194)) * -1.708003)) + sin(x * -0.881214)"
26,0.0047874,"(((x - y) * -1.8838251) * (exp((y * sin(y - 0.06624181)) * -8.583855) - ((x - 0.5749688) * 0.059784915))) + sin(x * -0.8694805)"
27,0.004079889,"(((x - y) * (exp((y * (y - (x * -0.029567374))) * -8.553251) - (0.05919282 * (x - 0.5641813)))) * -1.8917954) + sin(x * -0.8387061)"
29,0.0032505982,"((exp(y * (-8.553251 * (y - (-0.029567374 * x)))) - ((x - 0.59318376) * 0.059158262)) * (((x - y) * -1.8339595) + 0.15977967)) + sin(x * -0.8386975)"
30,0.0032425446,"((((x - y) * -1.8339595) + 0.15977967) * (exp(y * ((y - (x * -0.029567374)) * -8.553251)) - sin((x - 0.59318376) * 0.05919282))) + sin(x * -0.8341528)"
31,0.0031702914,"sin(x * -0.8341528) + ((((x - (y * 0.9265794)) * -1.8339595) + 0.13309102) * (exp((y - (x * -0.029567374)) * (y * -8.553251)) - ((x - 0.59318376) * 0.05919282)))"
32,0.0021509968,"(sin(x * -0.5546914) / 0.5718333) + (((sin(-0.48347658 - (y + y)) + x) - y) * ((exp(y * (y * -5.6692023)) - ((y + -0.6531928) * -0.10180678)) * -1.4387467))"
33,0.0011561152,"(sin(x * -0.5596962) / 0.5746754) + ((exp(y * (y * -4.721733)) - ((sin(y) + -0.4965711) * -0.16961282)) * ((((x + -0.5710126) - y) - sin(y * 2.587354)) * -1.3178877))"
35,0.00105936,"((exp(y * ((y + -0.015109418) * -4.702125)) - ((sin(y) + -0.46819788) * -0.16961282)) * ((x + ((-0.5596962 - sin(y * 2.615133)) - y)) * -1.3055694)) + (sin(x * -0.5596962) / 0.5726881)"
36,0.0008803426,"((-1.564664 - (x * (y * -0.34555915))) * ((exp(y * (y * -4.5429735)) - ((sin(y) + -0.7884698) * -0.13895619)) * (-0.32057986 + ((x - y) - y)))) + (sin(x * -0.54263246) / 0.5665744)"
37,0.00080416334,"(((-1.5773346 - ((y * x) * -0.32717285)) * (exp((y * -4.543238) * y) - ((sin(y) + -0.7383398) * -0.14382754))) * ((sin(-0.32717285 - y) + x) - y)) + (sin(x * -0.548535) / 0.574494)"
38,0.0007262111,"(((x + ((-0.3294239 - y) - y)) * (-1.6515483 - (x * (0.04760718 + (y * -0.3294239))))) * (exp((y * y) * -4.519686) - ((sin(y) + -0.79963106) * -0.14010233))) + (sin(x * -0.5307748) / 0.5543453)"
39,0.00058917457,"(sin(x * -0.5352545) / 0.5633371) + ((exp((y * y) * -4.5183406) - ((sin(y) + -0.73663694) * -0.14516327)) * ((-1.680054 - ((x * (y + -0.22116394)) * -0.29039884)) * (x + (sin(-0.33046845 - y) - y))))"
40,0.00057819433,"((((sin(-0.32889527 - y) + x) - y) * (exp(y * (y * -4.5183406)) - ((sin(y) + -0.73663694) * -0.14516327))) * (-1.680054 - sin((x * (y + -0.19566257)) * -0.32889527))) + (sin(-0.53593576 * x) / 0.56470245)"
