Complexity,Loss,Equation
1,0.9999998,"3.4034252e-5"
2,0.71492296,"sin(x)"
3,0.12644409,"y / -1.0700073"
4,0.02708266,"1.4774338 - exp(y)"
5,0.017320778,"(x * 0.33671546) - y"
7,0.014014413,"(x * 0.33510512) - (y / 1.0610884)"
9,0.014014411,"((x * 0.19049965) - (y / 1.8665255)) * 1.7590904"
10,0.009219062,"(sin(y) + (x - (y * 3.1512098))) * 0.3861599"
11,0.001986641,"((x * 0.4303475) - y) / ((x * 0.15584278) - -1.1453489)"
13,5.0682247e-5,"(((x * 0.44553915) - y) - -0.051639084) / ((x * 0.16687167) - -1.1511521)"
14,3.963167e-5,"(((x * 0.44087374) - y) / (sin(x * 0.17754155) - -1.1568875)) + 0.048727207"
16,2.9972549e-5,"(((exp(x * -0.36859226) * 0.3497344) - -0.51211214) * ((x * 0.4416915) - y)) + 0.045688115"
18,1.9081568e-5,"(((exp(x * -0.37689307) * 0.34060124) - -0.52106935) * ((x * 0.39560327) - (y - -0.3213753))) + 0.32295915"
20,1.1675246e-5,"((exp(x * -0.36570838) * 0.34283248) - -0.51603323) * (((((y * 0.005503251) + 0.45699653) * x) - y) + 0.051875226)"
21,7.044122e-6,"(((((sin(x) * -0.005869256) + 0.45295304) * x) - y) + 0.054925207) * ((exp(x * -0.38771522) * 0.3297168) - -0.53072715)"
22,7.0441165e-6,"((exp(x * -0.38771522) * 0.3297168) - -0.53072715) * ((0.054925207 + (((sin(x) * sin(-0.005869256)) + 0.45295304) * x)) - y)"
23,1.2508851e-6,"(0.05486799 + ((x * (0.45489275 + (y * (0.0045509967 * sin(x))))) - y)) * ((exp(x * -0.37711406) * 0.34992605) - -0.51114005)"
25,9.137622e-7,"((exp(x * -0.37652594) * 0.35218766) - -0.50917536) * ((x * (0.45504412 + ((sin(x) * 0.005952873) * (y + 0.39490318)))) + (0.053932276 - y))"
27,7.0439893e-7,"((exp(x * -0.37451237) * 0.35288587) - -0.5093119) * ((x * (((sin(x) * 0.005929768) * (y - (x * 0.113935456))) + 0.4544694)) + (0.054896023 - y))"
28,7.043762e-7,"((exp(x * -0.37451237) * 0.35288587) - -0.5093119) * ((x * ((sin(x) * sin(0.005929768 * (y - (x * 0.113935456)))) + 0.4544694)) + (0.054896023 - y))"
29,5.5006456e-7,"((((x * 0.4424539) - y) * ((exp(x * -0.3845834) * 0.3384877) - -0.5231147)) + ((((x * y) + 0.7194943) * sin(x + 0.41672602)) * 0.0058675376)) - -0.045448232"
32,4.4930155e-7,"((sin(x + 0.3834846) * (sin(x + 1.4075445) + (y * x))) * 0.0069018262) + ((((x * 0.44276738) - y) * ((exp(x * -0.38479775) * 0.33760056) - -0.52432173)) - -0.0445059)"
33,1.9668852e-7,"(((x * 0.44231048) - y) * ((exp(x * -0.38521832) * 0.3372337) - -0.52449673)) + (((sin(exp(x * 0.7777318)) + (x * y)) * (sin(x + 0.41666278) * 0.006238027)) - -0.04447546)"
35,1.8732796e-7,"(((exp(x * -0.38521832) * 0.3372337) - -0.52449673) * ((x * 0.44231048) - y)) + ((((sin(exp((x * 0.7381117) - -0.04447546)) + (x * y)) * 0.0062380675) * sin(x + 0.4156291)) - -0.04447546)"
37,1.7416208e-7,"((((sin(exp(x * 0.78713286)) + (y * ((y * 0.041243598) + x))) * 0.006102783) * sin(x + 0.41666546)) - -0.04454959) + (((x * 0.4423082) - y) * ((exp(x * -0.38521984) * 0.3373129) - -0.5243412))"
