Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8516354,"sin(H_G)"
3,0.7741601,"H_G * 0.47515133"
5,0.65979815,"0.41125596 * (H_G + c)"
6,0.6541975,"0.46876022 * (sin(c) + H_G)"
7,0.5425128,"(H_G + alpha) / (2.6718667 - c)"
8,0.52706134,"(H_G + sin(alpha)) / (2.4802785 - c)"
9,0.44915146,"(alpha + (c + H_G)) / (2.979674 - H_G)"
10,0.35605505,"exp(c + ((alpha - G) + H_G)) * 0.037609454"
11,0.28492984,"((c + alpha) + H_G) / ((G - H_G) + 3.699111)"
12,0.2076755,"exp(((alpha + (c + H_G)) - G) * 0.34926796) + -1.2724735"
14,0.13720839,"(exp(H_G + (((c + alpha) - G) * 0.55399585)) - 2.514154) * 0.211392"
16,0.119854204,"(((H_G * 0.29195285) + 0.35158947) * exp(((c + alpha) - G) * 0.5729776)) - 0.5729776"
18,0.11102158,"(exp((((H_G + c) + alpha) - G) * 0.5030777) * ((H_G * 0.110557616) + 0.35669696)) - 0.6805176"
19,0.108233005,"(exp((((H_G - G) + c) + alpha) * 0.50984734) * ((sin(H_G) * 0.16460475) + 0.3346149)) - 0.6499202"
20,0.100094944,"(exp(((c + (H_G - G)) + alpha) * 0.5027383) * (((r + H_G) * 0.07112036) + 0.39607322)) - 0.70515203"
22,0.098331355,"(exp((((alpha + H_G) + c) - G) * 0.49498963) * ((((r / 4.038301) + H_G) * 0.105674684) + 0.38230047)) - 0.6936617"
23,0.081902064,"((exp(c) * (H_G + r)) * 0.08414519) + ((exp(((alpha + (H_G + c)) - G) * 0.5939781) - 1.9874483) * 0.29485133)"
24,0.08179549,"((exp(((alpha + H_G) + (c - G)) * 0.5939781) - 1.9874483) * 0.29485133) + ((H_G + r) * sin(exp(c) * 0.084370516))"
25,0.07677396,"((exp(((c + (H_G + alpha)) - G) * 0.5793237) - 1.915162) * 0.32654607) + ((G + (exp(c) * (r + H_G))) * 0.08052491)"
26,0.0752562,"((exp(0.5793237 * ((alpha + H_G) + (c - G))) - 1.915162) * 0.33609965) + ((H_G + (r + sin(G))) * (0.07629647 * exp(c)))"
27,0.07039033,"((exp((alpha + ((H_G + c) - G)) * 0.5520858) - 1.6425643) + (exp(c - r) * (((G + r) + H_G) * 0.07716606))) * 0.39945975"
28,0.06959336,"((exp(((alpha + (H_G + c)) - G) * 0.5520858) - 1.6425643) + ((exp(c - r) * ((G + r) + sin(H_G))) * 0.07716606)) * 0.39945975"
29,0.0624597,"((((((G + H_G) + r) - k_f) * 0.07328781) * exp(c - r)) + (exp(((alpha + (H_G + c)) - G) * 0.5520858) - 1.6425643)) * 0.39694744"
30,0.05826986,"(0.37473878 * (exp(0.5595943 * (H_G + (c + (alpha - G)))) - 1.6332294)) + (exp(c) * (0.075248905 * ((exp(-0.85174173 - r) * (G + r)) + H_G)))"
31,0.0580225,"((exp((c + ((alpha + H_G) - G)) * 0.5595943) - 1.6263337) * 0.37473878) + (((exp(-0.8369206 - r) * (r + sin(G))) + H_G) * (exp(c) * 0.07795324))"
32,0.050205123,"((exp(c) * 0.07019102) * (H_G + (((G + r) - k_f) * exp(-0.89241683 - r)))) + ((exp(0.5595943 * (c + ((alpha - G) + H_G))) - 1.6668876) * 0.37473878)"
33,0.048929453,"((exp(((alpha + (H_G - G)) + c) * 0.5595943) - 1.6782126) * 0.37473878) + ((exp(c) * (H_G + (exp(-0.8387978 - r) * ((r + G) - sin(k_f))))) * 0.071732484)"
34,0.048921466,"((exp((c + (alpha + (H_G - G))) * 0.5595943) - 1.6803327) * 0.37473878) + (((H_G + ((r + (sin(G) - sin(k_f))) * exp(-0.8369206 - r))) * 0.07795324) * exp(c))"
35,0.048673023,"((exp((((alpha + H_G) - G) + c) * 0.5595943) - 1.6803327) * 0.37473878) + (exp(c) * (((H_G + (exp(-0.8369206 - r) * ((r + G) - sin(k_f)))) * 0.07019102) - -0.0077622244))"
36,0.047570053,"((exp(((H_G + c) + (alpha - G)) * 0.5613716) - 1.6764818) * 0.34877414) + (((H_G + ((r - k_f) * exp(-1.1119046 - r))) * 0.052546907) * exp(c + ((G + -0.7555351) * -0.49762568)))"
37,0.045807227,"((exp((c + ((alpha + H_G) - G)) * 0.5613716) + -1.6595187) * 0.3508765) + ((H_G + ((r - sin(k_f)) * exp(-0.97576517 - r))) * (exp(((G + -0.7555351) * -0.48599386) + c) * 0.052546907))"
39,0.045601554,"((exp((alpha + ((c + H_G) - G)) * 0.5613716) + -1.6595187) * 0.3508765) + (exp(((G + -0.7555351) * -0.48599386) + c) * ((0.052546907 * (((r - sin(k_f)) * exp(-0.9919669 - r)) + H_G)) + 0.002511411))"
